,business_id,name,latitude,longitude,address,stars_y,city,is_recommended,attributes.NoiseLevel,attributes.Open24Hours,attributes.BusinessParking.garage,attributes.BusinessParking.validated,attributes.BikeParking,attributes.BusinessParking.valet,attributes.BusinessParking.street,categories_mexican,categories_american,categories_italian,categories_japanese,categories_seafood,categories_chinese,categories_thai,categories_fast_food,categories_vegan,categories_vegetarian
0,zV_aclADLjx2KOql9F_FTw,Crepe Cafe,40.109986,-88.233777,"313 E Green St, Ste 5",3.0,CHAMPAIGN,0,,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
1,kyXEnWKQGWSThY6EcjORuw,Zorba's Restaurant,40.110085,-88.229304,627 E Green St,3.853211009174312,CHAMPAIGN,1,average,,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0
2,gEJZ5USuvC1r8_QvSvDCNA,K-Bowl,40.109988,-88.24050600000001,39 E Green St,3.74,CHAMPAIGN,1,quiet,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
3,aFJ8NSdpJi9LcaMm6ICowQ,Burger King,40.1421019,-88.2571648,2110 N Prospect Ave,1.5,CHAMPAIGN,0,average,,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
4,qQu--8A6Ic0rytLfI1r4dg,Wendy's,40.0908819198,-88.2463012616,1905 S Neil St,1.6666666666666667,CHAMPAIGN,0,,,,,,,,0,0,0,0,0,0,0,1,0,0
5,fY0Dpw5a3i1CMjMuT2SaDQ,Holy Land Mediterranean Grill,40.1221403,-88.243543,705 N Neil St,3.6296296296296298,CHAMPAIGN,0,quiet,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
6,RQKrr8j4jS_7ubGMfAwnIQ,Garcia's Pizza In A Pan,40.110515,-88.237634,108 E Green St,3.6666666666666665,CHAMPAIGN,0,,,,,,,,0,0,0,0,0,0,0,0,0,0
7,dn9lwYUxmhs_mLKPu7L25Q,Big Grove Tavern,40.1183809,-88.2429963,"1 E Main St, Ste 101",3.4634146341463414,CHAMPAIGN,1,average,,True,True,True,False,True,0,1,0,0,0,0,0,0,0,0
8,a1sp-PiwbAthYG1JR8NfLg,Silver Mine Subs,40.108174,-88.22969300000001,612 E Daniel St,3.611111111111111,CHAMPAIGN,0,quiet,,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
9,KGpsB2dsdkxl8SGVUlJbZw,Outback Steakhouse,40.144995,-88.257184,2402 N Prospect Ave,3.1914893617021276,CHAMPAIGN,0,average,,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
10,9zGkU1ahmYCn3DlnKOXhqA,Arby's,40.13114,-88.2575618,1502 N Prospect Ave,4.333333333333333,CHAMPAIGN,0,quiet,,False,False,,False,False,0,0,0,0,0,0,0,1,0,0
11,o9nGD3J0btXjE9M6IdgZTA,McAlister's Deli,40.14166846,-88.25036014370001,421 Town Center Rd,3.0444444444444443,CHAMPAIGN,0,average,,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
12,F1qPjasn0R6-j8sa6iYNmA,Guido's Bar & Grill,40.1178627014,-88.2433013916,2 E Main St,2.980392156862745,CHAMPAIGN,1,average,,False,False,True,False,True,0,1,0,0,0,0,0,0,0,0
13,1qQ5VkxiBUjbGGdpBN-PUQ,Spicy Tang,40.1107483422,-88.23063163280001,607 S 6th St,2.7058823529411766,CHAMPAIGN,0,average,,True,False,True,False,True,0,0,0,0,0,0,0,0,0,0
14,hP2DOm7E2H4P7MOS7XN_SQ,Hamilton Walker's,40.117490999999994,-88.243875,201 N Neil St,3.0654205607476634,CHAMPAIGN,1,average,,False,False,True,False,True,0,0,0,0,1,0,0,0,0,0
15,SViPlfsmwqvWNxZuVOgOMQ,Subway,40.1106295,-88.2296312,616 E Green St,2.3,CHAMPAIGN,0,quiet,,,,,,,0,0,0,0,0,0,0,1,0,0
16,JoHDOuZ1BnFi63PgC_zYeQ,Amaravati  Indian Royal Cuisine,40.081760816999996,-88.29615814809999,2501 Village Green Pl,3.3636363636363638,CHAMPAIGN,0,,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
17,-LfTBo0oa_uD454ScEW2XA,Merry Ann's Diner,40.1181331448,-88.242899908,1 E Main St,3.1739130434782608,CHAMPAIGN,0,loud,,False,False,True,False,True,0,1,0,0,0,0,0,0,0,0
18,VsLcYJHIat78FUyP08GusA,Boston Pizza,40.145176899999996,-88.258404,2501 N. Prospect Ave,1.6,CHAMPAIGN,0,,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
19,lZ0W0-pQyS35ahsrZezNiw,Natural Gourmet,40.0867848496,-88.2479522377,2225 S Neil St,4.75,CHAMPAIGN,1,,,False,False,True,False,False,0,0,0,0,0,0,1,0,0,0
