,business_id,name,latitude,longitude,address,stars_y,city,is_recommended,attributes.NoiseLevel,attributes.Open24Hours,attributes.BusinessParking.garage,attributes.BusinessParking.validated,attributes.BikeParking,attributes.BusinessParking.valet,attributes.BusinessParking.street,categories_mexican,categories_american,categories_italian,categories_japanese,categories_seafood,categories_chinese,categories_thai,categories_fast_food,categories_vegan,categories_vegetarian
0,75RP4HSsSJOe_e7e2e3jQQ,Rise & Shine - A Steak & Egg Place,36.0243234052,-115.062857419,75 S Valle Verde Dr,3.9655172413793105,HENDERSON,0,average,,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0
1,lHyTZFd8XXtvPwo-_qeTXA,Jersey Mike's Subs,36.0005078,-115.10559199999999,10520 South Eastern,3.5454545454545454,HENDERSON,0,very_loud,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
2,ceVWEkif38SMGNcBR55PNA,Tay-Yo Sushi Seafood Buffet,36.015136299999995,-115.1184733,9570 S Eastern Ave,2.25,HENDERSON,0,,,,,,,,0,0,0,0,1,0,0,0,0,0
3,eoHkKySohgtDqWtHBqJ9xw,Lucky China,36.022945799999995,-115.04655149999999,180 S Stephanie St,3.0,HENDERSON,0,,,,,,,,0,0,0,0,0,1,0,0,0,0
4,qLO9ES3-mKJrodFO1mzgOg,Taco Bell,36.0195785129,-115.050903269,1491 W Horizon Ridge Pkwy,3.0,HENDERSON,0,quiet,,False,False,True,False,False,1,0,0,0,0,0,0,1,0,0
5,UwXOqtr0LCoWsGXP96fOuQ,Fiesta Filipina Cuisine,36.0054036506,-115.117831742,"2980 St Rose Pkwy, Ste 120",3.526315789473684,HENDERSON,0,average,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
6,PBghJox_ZpSSa2nWyYuxpw,Taco Bell,35.9913338911,-115.101586374,199 N Pecos Rd,2.642857142857143,HENDERSON,0,quiet,,False,False,True,False,False,1,0,0,0,0,0,0,1,0,0
7,uCi2ropZuhG4XVcMDaurAw,Rachel's Kitchen,36.021113,-115.08749499999999,2265 Village Walk Dr,3.82370820668693,HENDERSON,1,average,,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
8,sVeSK69iNUUsMU6tpXzl6Q,Angelina's Pizzeria,35.9967416,-115.12468159999999,835 Seven Hills Dr,2.8127853881278537,HENDERSON,0,average,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
9,PPR-7QXDjicPRA5C4rZ5eA,Evos,35.993777,-115.10158200000001,10895 S Eastern Ave,3.75,HENDERSON,0,,False,False,False,,False,False,0,0,0,0,0,0,0,1,0,0
10,MmEV_9-EEiewVQcxPnWUaA,Big Island Boba,36.00574520000001,-115.11244070000001,10100 S Eastern Ave,3.0,HENDERSON,0,,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
