,business_id,name,latitude,longitude,address,stars_y,city,is_recommended,attributes.NoiseLevel,attributes.Open24Hours,attributes.BusinessParking.garage,attributes.BusinessParking.validated,attributes.BikeParking,attributes.BusinessParking.valet,attributes.BusinessParking.street,categories_mexican,categories_american,categories_italian,categories_japanese,categories_seafood,categories_chinese,categories_thai,categories_fast_food,categories_vegan,categories_vegetarian
0,Pd52CjgyEU3Rb8co6QfTPw,Flight Deck Bar & Grill,36.0669136,-115.17084840000001,6730 S Las Vegas Blvd,3.769230769230769,LASVEGAS,0,average,,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
1,4srfPk1s8nlm1YusyDUbjg,Subway,36.0646523,-115.1189541,"6889 S Eastern Ave, Ste 101",2.6666666666666665,LASVEGAS,0,,,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
2,n7V4cD-KqqE3OXk0irJTyA,GameWorks,36.0682585154,-115.1788768,"6587 Las Vegas Blvd S, Ste 171",3.1174785100286533,LASVEGAS,0,very_loud,,True,False,True,False,False,0,1,0,0,0,0,0,0,0,0
3,F0fEKpTk7gAmuSFI0KW1eQ,Cafe Mastrioni,36.111057200000005,-115.2416881,"4250 S Rainbow Blvd, Ste 1007",1.6666666666666667,LASVEGAS,0,,,,,,,,0,0,1,0,0,0,0,0,0,0
4,Wpt0sFHcPtV5MO9He7yMKQ,McDonald's,36.130012799999996,-115.10931000000001,3020 E Desert Inn Rd,2.15,LASVEGAS,0,very_loud,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
5,W1Yr6c2XDx_RBjb6WsV-aQ,Divine Cafe at the Springs Preserve,36.1707064994,-115.19028848100001,333 S Valley View Blvd,4.05,LASVEGAS,0,average,,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
6,vzx1WdVivFsaN4QYrez2rw,Subway,36.112895200000004,-115.06235339999999,5111 Boulder Hwy,3.0,LASVEGAS,0,average,,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
7,Uy3_5nLo3sYkAuSX6mjdmg,Geebee's Bar & Grill,36.0342435,-115.1714093,8560 Las Vegas Blvd S,4.2727272727272725,LASVEGAS,0,average,,False,False,,False,False,0,1,0,0,0,0,0,0,0,0
8,dPxZI9lrKTl5dvFfnb1_Ig,Trattoria Italia,36.010085600000004,-115.11865630000001,"9905 S Eastern Ave, Ste 140",4.485714285714286,LASVEGAS,0,average,,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0
9,WfB_SsYeKy83QQsqAAyGVQ,Cancun Bar & Grill,36.098632099999996,-115.1360793,"5006 S Maryland Pkwy, Ste 17",4.6,LASVEGAS,0,,,,,,,,1,0,0,0,0,0,0,0,0,0
10,u29lf2yPd-qK5ThAS9FRQQ,Kinthai,36.1440231017,-115.195895992,4105 W Sahara Ave,4.475409836065574,LASVEGAS,0,quiet,,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0
11,KYEZATGRY5aD69ZR6VvyWQ,North Forty Saloon and BBQ,36.2718383376,-115.26327939299999,5990 Centennial Center Blvd,3.4838709677419355,LASVEGAS,0,loud,,False,False,,False,False,0,1,0,0,0,0,0,0,0,0
12,W8GVfGILy7an385lZSEvSw,Burger King,36.150372,-115.153558,1736 Las Vegas Blvd S,1.9444444444444444,LASVEGAS,0,,,,,True,,,0,0,0,0,0,0,0,0,0,0
13,wRmPV-RvcqcjeyUeOaJQCg,The Bass Cafe Grill & Terrace,36.140925200000005,-115.1428874,900 Karen Ave,2.3333333333333335,LASVEGAS,0,,,,,,,,0,1,0,0,0,0,0,0,0,0
