,business_id,name,latitude,longitude,address,stars_y,city,is_recommended,attributes.NoiseLevel,attributes.Open24Hours,attributes.BusinessParking.garage,attributes.BusinessParking.validated,attributes.BikeParking,attributes.BusinessParking.valet,attributes.BusinessParking.street,categories_mexican,categories_american,categories_italian,categories_japanese,categories_seafood,categories_chinese,categories_thai,categories_fast_food,categories_vegan,categories_vegetarian
0,kKx8iCJkomVQBdWHnmmOiA,Little Caesars Pizza,33.3948766,-111.60019380000001,10720 E Southern Ave,2.5,MESA,0,,,,,False,,,0,0,0,0,0,0,0,0,0,0
1,MTH-AcNyWfsBa9sXp04HcQ,Firehouse Subs,33.3796209,-111.7571603,"3420 E Baseline Rd, Ste 101",3.6707317073170733,MESA,0,average,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
2,6PwKC0dqP9uI85FEP86iPQ,Red Viet Cuisine - Sushi,33.3210685814,-111.68517183200001,"5221 S Power Rd, Ste 104",3.2560975609756095,MESA,1,quiet,,False,False,True,False,False,0,0,0,1,0,0,0,0,0,0
3,SAae44V24aD7y_HpgxjhPA,Nando's Mexican Cafe,33.4658931,-111.68582659999998,6715 E McDowell Rd,3.3125,MESA,1,average,,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
4,1Nq7GxjvEDgAJxBeOjR_9Q,Burrito Express,33.423595399999996,-111.8568585,450 N Alma School R,2.6451612903225805,MESA,0,average,,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
5,0s0Xthk1JWrBUu74M81Xyg,The Good Egg - Val Vista,33.380479,-111.7533699,1939 S Val Vista Dr,3.963302752293578,MESA,1,average,,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
6,mI5UYpuYxjiumMLgANoa9A,Filiberto's Mexican Food,33.379467445,-111.75299406100001,3636 E. Baseline Rd,2.657142857142857,MESA,0,average,,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
7,3c6FN1VrCAV4s60PsWTCLA,Pho All Seasons,33.3944997,-111.8748402,1116 S Dobson Rd,3.0714285714285716,MESA,0,,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
8,ZyIlYBpGnRsLeoEfXo-mxg,On The Green Sports Grill,33.3997189,-111.6841436,801 S Power Rd,3.2857142857142856,MESA,0,average,,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
9,OsuBqr2L0-5W8LGAsg-p8g,Micky's Hot Dogs,33.4080371,-111.83460590000001,108 W Broadway Rd,3.991304347826087,MESA,1,average,,False,False,True,False,False,1,0,0,0,0,0,0,1,0,0
10,RFj91Y9mk2d824QyD9JTzA,Firehouse Subs,33.3848304749,-111.80675506600001,"1616 S Stapely Dr, Ste 101",3.606060606060606,MESA,0,average,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
11,SSCH4Z2gw-hh2KZy7aH4qw,Worth Takeaway,33.4154308,-111.8374321,218 W Main St,4.755952380952381,MESA,1,average,,False,False,True,False,True,0,1,0,0,0,0,0,0,0,0
12,_9VQUKCkYWHfUTnxbn4O_A,Tom's BBQ,33.3937008292,-111.841277964,1140 S Country Club Dr,3.5454545454545454,MESA,0,average,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
13,9_HgBRUXUg_vKjTT-GSulA,Golden Hawaiian BBQ,33.393802642800004,-111.868804932,"1720 W Southern Ave, Ste C3",3.7976190476190474,MESA,1,quiet,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
14,FGaaHr_krwaPGlD0mHPe4Q,Matta's Grill and Cantina,33.4351659963,-111.866054535,"1033 N Dobson Rd, Ste 101",3.25,MESA,1,average,,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
15,yhcgONZE_flFHrTEM60o3g,Barro's Pizza,33.4359141763,-111.684863082,1066 N Power Rd,4.090909090909091,MESA,0,average,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
16,YjlCXwWr9xx6TnHmTFCKGQ,P.F. Chang's,33.3855705916,-111.68991655100001,6610 E Superstition Springs Blvd,3.4070796460176993,MESA,0,average,,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0
17,NIjZNZCeMwILmFGzXdTLkg,China 1,33.409569899999994,-111.6844493,319 S Power Rd,3.857142857142857,MESA,0,quiet,,False,False,,False,False,0,0,0,0,0,1,0,0,0,0
18,t_9dmtogyjAocFsNW1igag,Starbucks,33.378931300000005,-111.6873472,"6807 E Baseline Rd, Ste 101",2.8846153846153846,MESA,0,,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
19,TvDsoVbGEGtXBCaVcICKVA,Pub'n Grub,33.3638634,-111.8581176,"2815 S Alma School Rd, Ste 101",4.126984126984127,MESA,1,average,,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
20,VoJxPSgdVN8en44bLYEbHA,Binh Duong Quan,33.4134626757,-111.876013912,"66 S Dobson Rd, Ste 124",3.2,MESA,0,,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
21,KCD4AuLXNhbG87fJaX9_gw,Port of Subs,33.453007,-111.68823929999999,"6620 E Mckellips Rd, Ste 101",3.608695652173913,MESA,0,quiet,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
22,PTbnuJ1QqeFpRZfPlwY9wQ,Arby's,33.376822499999996,-111.688404,2130 S Power Rd,3.090909090909091,MESA,0,quiet,,,,True,,,0,0,0,0,0,0,0,1,0,0
23,4STzP1q1uM8ONkKookifsw,Nan Zhou - Hand Drawn Noodle House,33.4125729,-111.8738256,111 S Dobson Rd,3.934959349593496,MESA,1,average,,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0
24,L8QF9uWDBujU9rNOzdLfjg,Steve's Krazy Sub,33.4155386,-111.68268020000001,6853 E Main St,3.911764705882353,MESA,0,average,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
25,9AJcD4UfawSSgc5007SWAw,Ocean Buffet,33.388049699999996,-111.8402882,1450 S Country Club Dr,2.533333333333333,MESA,0,quiet,,False,False,,False,False,0,0,0,0,0,1,0,0,0,0
26,3qgEB0R-5n5A1hOH83FzhA,Hidalgo Mexican Food,33.407534000000005,-111.81385800000001,801 E Broadway,3.125,MESA,0,average,,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
27,0kgib8EeCvEerG1R4T1okg,Posidon Greek Restaurant & Market,33.4149317,-111.85010919999999,961 W Main St,3.96,MESA,0,quiet,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
28,32RDYS1pxMytL1rBSF__UA,Papa Murphy's,33.377528399999996,-111.87698600000002,1955 West Baseline Road,4.105263157894737,MESA,0,quiet,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
29,O5jWRmilHqaW54ChJh1oFg,Peter Piper Pizza,33.4300004,-111.8720821,1906 W Rio Salado,2.638888888888889,MESA,0,loud,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
30,10GxV6JOKPoR1w5KC2iZjA,Soda Bun Thai Food,33.3653600592,-111.860603789,"2740 S Alma School Rd, Ste 5",4.655405405405405,MESA,1,quiet,,False,False,True,False,False,0,0,0,0,0,0,1,0,0,1
31,Yv9zUwWSyig0xhgDsv4qjQ,Popeyes Louisiana Kitchen,33.3173826,-111.68686650000001,5329 S Power Rd,3.4285714285714284,MESA,0,quiet,,False,False,True,False,False,0,1,0,0,1,0,0,1,0,0
32,uWJ9AtXLAlD9OgvY4ZQlIg,Cafe Rio,33.3648254367,-111.60351769,2748 S Signal Butte Rd,2.46875,MESA,0,average,,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
33,MrRu3ZE1QKaXfAzfOtAkDw,Durger Dog,33.375057,-111.687177,"2235 S Power Rd, Ste 120",4.05,MESA,0,quiet,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
34,70Y9Czch3unQubjQYiAY7Q,S'Bistro,33.415473999999996,-111.835051,124 W Main St,3.8333333333333335,MESA,0,,,False,False,,False,True,0,1,0,0,0,0,0,0,0,0
35,5h2DIYpfzc7KDTFg18uuew,China Rice,33.4082532,-111.80146780000001,1352 E Broadway Rd,3.912280701754386,MESA,0,quiet,,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
36,IFr8JOyjuMjf0xrmAJmsVg,Paradise Bakery & Cafe,33.393725,-111.68918980000001,"6555 E Southern Ave, Ste 2014, Superstition Springs Mall",3.0,MESA,0,,,,,False,,,0,0,0,0,0,0,0,0,0,0
37,czzDEma3urPeWdNcItOyPw,Great China Super Buffet,33.3934084,-111.7014499,6005 E Southern Ave,2.625,MESA,0,,,False,False,,False,False,0,0,0,0,0,1,0,0,0,0
38,ckQdUPdUOX18yOhE2aV8sA,Asi Es Mi Tierra,33.4147447,-111.6288033,9333 E Main St,4.113924050632911,MESA,1,average,,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
39,dv2LfEn4p3ncG_1jYIoZ7g,Sonic Drive-In,33.378748,-111.684592,6935 E Baseline Rd,1.3928571428571428,MESA,0,average,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
40,djZua1IbMN9KBEWJXKW1MA,Carl's Jr.,33.3811829,-111.8406862,1850 S Country Club Dr,2.25,MESA,0,quiet,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
41,EnDm1TQPMrVvq0nAZqeWaA,Subway,33.3936997,-111.8710014,"1840 W Southern Ave, Ste 12",2.4285714285714284,MESA,0,,,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
42,Op-nvSmAKWSG5buIecfaag,Pie Five Pizza,33.3794833,-111.8061875,1230 E Baseline,4.142857142857143,MESA,0,average,,,,True,,,0,0,0,0,0,0,0,0,0,0
