,business_id,name,latitude,longitude,address,stars_y,city,is_recommended,attributes.NoiseLevel,attributes.Open24Hours,attributes.BusinessParking.garage,attributes.BusinessParking.validated,attributes.BikeParking,attributes.BusinessParking.valet,attributes.BusinessParking.street,categories_mexican,categories_american,categories_italian,categories_japanese,categories_seafood,categories_chinese,categories_thai,categories_fast_food,categories_vegan,categories_vegetarian
0,rDMptJYWtnMhpQu_rRXHng,McDonald's,33.6070702,-112.0643825,719 E Thunderbird Rd,1.0909090909090908,PHOENIX,0,loud,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
1,1WBkAuQg81kokZIPMpn9Zg,Charr An American Burger Bar,33.60731,-112.063404,"777 E Thunderbird Rd, Ste 107",3.1551724137931036,PHOENIX,0,average,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
2,iPa__LOhse-hobC2Xmp-Kw,McDonald's,33.508764899999996,-112.04624,1635 E Camelback Rd,2.764705882352941,PHOENIX,0,loud,,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
3,YhV93k9uiMdr3FlV4FHjwA,Caviness Studio,33.4499672,-112.07022250000001,,5.0,PHOENIX,1,,,,,,,,0,0,0,0,0,0,0,0,0,0
4,QkG3KUXwqZBW18A9k1xqCA,Red Lobster,33.4787353,-112.2213794,2810 North 75th Ave,2.6486486486486487,PHOENIX,0,quiet,,False,False,True,False,False,0,1,0,0,1,0,0,0,0,0
5,5XejqzaFmtkZMstJS5Iy-w,D'Lish Cafe,33.480301399999995,-112.0805864,503 W Thomas Rd,3.8378378378378377,PHOENIX,0,average,,False,False,,False,False,0,1,0,0,0,0,0,0,1,0
6,2v-8QQfMLX2PCz-0S6gISQ,Papa John's Pizza,33.552869500199996,-112.133711849,3441 W Northern Ave,2.4285714285714284,PHOENIX,0,,,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0
7,M3uV9Y3EDSpy9d4YwyNSAQ,Yakiramen,33.5823628,-112.1498845,10605 N 43rd Ave,4.015151515151516,PHOENIX,0,,,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0
8,U1ZVgF-kfkvv_rcoe0RglQ,Pho Noodles,33.4887595,-112.08240184200001,3417 N 7th Ave,4.313953488372093,PHOENIX,1,average,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
9,FfI9FOaQqzUxixw6_glt3Q,Affinito's Bistro,33.8649643,-112.1388202,"3655 W Anthem Way, Ste C-137",3.1666666666666665,PHOENIX,0,,,False,False,,False,False,0,0,1,0,0,0,0,0,0,0
10,3b4efqz06QrLQ_w2xLc4pA,Olive Garden Italian Restaurant,33.5803023,-112.1196529,10223 N Metro Parkway E,3.225,PHOENIX,0,average,,False,False,,False,False,0,0,1,0,0,0,0,0,0,0
11,irYAkavSVtIEyGOsHK-yPw,Palette,33.4667324,-112.0727233,1625 N Central Ave,3.604651162790698,PHOENIX,0,quiet,,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
12,_eKvk2GoGKb3CoYolHgRlg,Fresko A Mediterranean Kitchen,33.347893,-111.97682179999998,5033 E Elliot Rd,4.5227272727272725,PHOENIX,1,quiet,,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
13,qB15WElGAlI_eGWjn0kT2w,Taco Bell,33.6259,-112.0136,15240 N. 32nd Street,2.0555555555555554,PHOENIX,0,average,,,,True,,,1,0,0,0,0,0,0,1,0,0
14,rSCevr5tQJTxPzMIq3n5Gw,Yoshi's Asian Grill,33.4356207,-112.00954569999999,3800 E Sky Harbor Blvd,2.642857142857143,PHOENIX,0,average,,,,,,,0,0,0,0,0,0,0,0,0,0
