,business_id,name,latitude,longitude,address,stars_y,city,is_recommended,attributes.NoiseLevel,attributes.Open24Hours,attributes.BusinessParking.garage,attributes.BusinessParking.validated,attributes.BikeParking,attributes.BusinessParking.valet,attributes.BusinessParking.street,categories_mexican,categories_american,categories_italian,categories_japanese,categories_seafood,categories_chinese,categories_thai,categories_fast_food,categories_vegan,categories_vegetarian
0,VdlPZg2NAu8t8GkdbPLecg,Tandoori Times Indian Bistro,33.5552118623,-111.900456296,"8140 N Hayden Rd, Ste H115",3.4106463878326996,SCOTTSDALE,1,average,False,False,False,True,False,False,0,0,0,0,1,0,0,0,0,0
1,Qv0OEziLJwyAqcgtrTsA4w,Luke's Of Chicago,33.6228299458,-111.892189979,15223 N Northsight Blvd,3.5,SCOTTSDALE,0,average,,False,False,,False,False,0,0,1,0,0,0,0,0,0,0
2,tCJGEQVqjELLYv3fPNX5Rw,Fleming's Prime Steakhouse-Scottsdale,33.674238,-111.889288,20753 N Pima Rd,3.626315789473684,SCOTTSDALE,1,average,,False,False,True,False,False,0,0,0,0,1,0,0,0,0,0
3,rv9T1qGHbh9eXqFpKEPy_A,Sesame Inn Carefree,33.7983014,-111.9307437,34482 N Scottsdale Rd,3.3222222222222224,SCOTTSDALE,0,quiet,,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
4,LPq-IOpA_VrZ2xRh1A6Ssw,The Saguaro Restaurant,33.494121299999996,-111.92276159999999,4000 North Drinkwater Blvd,3.7,SCOTTSDALE,0,quiet,,False,False,True,True,False,0,1,0,0,0,0,0,0,0,0
5,0LKcSabd5Gd5oz-qrHTzZg,Cin-Cin Restaurant,33.5012604,-111.92336329999999,4425 N Buckboard Trl.,3.2,SCOTTSDALE,0,,,False,False,,False,True,0,0,1,0,0,0,0,0,0,0
6,EC7NrIHKk6i3US_XJlDWDA,Julio's Too,33.501960499999996,-111.92309240000002,7305 E Camelback Rd,4.120481927710843,SCOTTSDALE,1,average,,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
7,7Zmxle5A6XTZACIHgiC98Q,Kashman's Place,33.519588,-111.909524,"23425 N Scottsdale Rd, Ste 6",3.6666666666666665,SCOTTSDALE,0,,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
8,M7N_LeUEcQTfzaeCgJL5mg,Spanish Fly,33.4997252,-111.9197955,4341 N 75th St,3.581818181818182,SCOTTSDALE,0,loud,,False,False,,False,True,1,0,0,0,0,0,0,0,0,0
9,YQFcxE9UXrKc-QuTUu7twQ,Loco Patron,33.4977693,-111.9264149,4228 N Scottsdale Rd,3.4954128440366974,SCOTTSDALE,1,average,,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
10,RMyK2LpfFDty75HE94XN0Q,Positively Frosted,33.4816874,-111.91934760000001,7510 E Thomas Rd,4.833333333333333,SCOTTSDALE,0,,,False,False,False,False,True,0,0,0,0,0,0,0,0,1,0
11,TwriSG0Gq9vr7n_Re1OR1A,The Nile Cafe,33.4656052,-111.9292957,7051 E McDowell Rd,3.857142857142857,SCOTTSDALE,0,quiet,,False,False,,False,False,0,0,0,0,0,0,0,0,0,0
12,HyzHidtQXC4JIULtSbk3NA,Bowl of Greens,33.635464899999995,-111.92372549999999,"16447 N Scottsdale Rd, Ste 101",4.091836734693878,SCOTTSDALE,1,average,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
13,HxWDCU-kKido3ErM31msGQ,"First Watch - Breakfast, Brunch & Lunch",33.635340941799996,-111.92254378,"16455 N Scottsdale Rd, Ste 107",3.890829694323144,SCOTTSDALE,1,average,,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
14,IY09uHwNvznCUDoFZ_su3A,Two Brothers Tap House and Brewery,33.4991113,-111.92579409999999,4321 N Scottsdale Rd,3.654054054054054,SCOTTSDALE,1,average,,False,False,True,False,True,0,1,0,0,0,0,0,0,0,0
