,business_id,name,latitude,longitude,address,stars_y,city,is_recommended,attributes.NoiseLevel,attributes.Open24Hours,attributes.BusinessParking.garage,attributes.BusinessParking.validated,attributes.BikeParking,attributes.BusinessParking.valet,attributes.BusinessParking.street,categories_mexican,categories_american,categories_italian,categories_japanese,categories_seafood,categories_chinese,categories_thai,categories_fast_food,categories_vegan,categories_vegetarian
0,M9fOuiesoUSaouOqNQ3U2w,Wong's Place,33.3779385,-111.9062779,1825 E Baseline Rd.,3.8733333333333335,TEMPE,1,quiet,,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0
1,IqsQRoiVE535Z2JR-7xoWQ,Jack in the Box,33.4217141,-111.89376270000001,2145 E University Dr,2.0833333333333335,TEMPE,0,,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
2,aiX_WP7NKPTdF9CfI-M-wg,Culinary Dropout,33.428533,-111.943955,149 S Farmer,4.049847405900305,TEMPE,1,loud,,False,False,True,True,False,0,1,0,0,0,0,0,0,0,0
3,ObV7olsEsNYjuMGNJ75jNw,Vaqueros Carne Asada,33.3931502,-111.9762132,2602 W Southern Ave,3.7058823529411766,TEMPE,0,,,,,True,,,1,0,0,0,0,0,0,0,0,0
4,VtQxGoCzAFSzCb1JSFV2bQ,Subway,33.421942800000004,-111.94154920000001,"130 E University Dr, Ste C",3.6,TEMPE,0,loud,,False,False,,False,False,0,0,0,0,0,0,0,1,0,0
5,etylBefPKEMjm9nS9c1qiw,Port of Subs,33.3350123,-111.96195159999998,1342 W Warner Rd,2.6944444444444446,TEMPE,0,average,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
6,TAoN9nsibXOxsOnnG7Kd_g,Riazzi's Italian Garden,33.3998762,-111.94008249999999,2700 S Mill Ave,3.5886524822695036,TEMPE,0,quiet,,False,False,True,False,False,0,0,1,0,0,0,0,0,0,0
7,px5RbIZm3rxRzi-g2f83KQ,Burger King,33.36318060000001,-111.9291133,6402 S Rural Rd,1.7916666666666667,TEMPE,0,loud,,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0
8,2rLuOMi6Q6zzqUU8ltreSA,"First Watch - Breakfast, Brunch & Lunch",33.4215708,-111.94166829999999,111 W University Dr,4.535714285714286,TEMPE,1,average,,False,False,True,False,False,0,1,0,0,0,0,0,0,0,0
9,ySRaNkXgv0jmuT4HhmgSog,WisePies Pizza & Salad,33.4246118,-111.93478359999999,"521 S College Ave, Ste 110",3.857142857142857,TEMPE,0,average,,True,False,True,False,True,0,0,0,0,0,0,0,0,0,0
10,H-gllDEH0DHqE-HmzdHtKg,Jersey Mike's Subs,33.380021500000005,-111.9278632,4715 S Rural Rd,2.5454545454545454,TEMPE,0,quiet,,,,True,,,0,0,0,0,0,0,0,1,0,0
11,9hPqmpOpH-POC0D0nlix3A,Silver Mine Subs,33.3329516,-111.94728559999999,655 W Warner Rd,3.7142857142857144,TEMPE,0,quiet,,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0
