x,y,value
Monday,0:00,9
Monday,1:00,39
Monday,2:00,59
Monday,3:00,46
Monday,4:00,48
Monday,5:00,26
Monday,6:00,10
Monday,7:00,1
Monday,8:00,1
Monday,9:00,1
Monday,10:00,0
Monday,11:00,0
Monday,12:00,1
Monday,13:00,0
Monday,14:00,0
Monday,15:00,2
Monday,16:00,1
Monday,17:00,0
Monday,18:00,3
Monday,19:00,16
Monday,20:00,6
Monday,21:00,6
Monday,22:00,3
Monday,23:00,3
Tuesday,0:00,10
Tuesday,1:00,37
Tuesday,2:00,35
Tuesday,3:00,56
Tuesday,4:00,37
Tuesday,5:00,17
Tuesday,6:00,9
Tuesday,7:00,3
Tuesday,8:00,0
Tuesday,9:00,1
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,1
Tuesday,14:00,1
Tuesday,15:00,3
Tuesday,16:00,3
Tuesday,17:00,0
Tuesday,18:00,6
Tuesday,19:00,13
Tuesday,20:00,9
Tuesday,21:00,5
Tuesday,22:00,2
Tuesday,23:00,3
Wednesday,0:00,13
Wednesday,1:00,25
Wednesday,2:00,35
Wednesday,3:00,45
Wednesday,4:00,30
Wednesday,5:00,9
Wednesday,6:00,5
Wednesday,7:00,3
Wednesday,8:00,1
Wednesday,9:00,2
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,2
Wednesday,14:00,2
Wednesday,15:00,1
Wednesday,16:00,0
Wednesday,17:00,4
Wednesday,18:00,4
Wednesday,19:00,15
Wednesday,20:00,10
Wednesday,21:00,10
Wednesday,22:00,2
Wednesday,23:00,4
Thursday,0:00,12
Thursday,1:00,31
Thursday,2:00,53
Thursday,3:00,50
Thursday,4:00,25
Thursday,5:00,16
Thursday,6:00,8
Thursday,7:00,2
Thursday,8:00,0
Thursday,9:00,2
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,2
Thursday,16:00,1
Thursday,17:00,0
Thursday,18:00,5
Thursday,19:00,13
Thursday,20:00,15
Thursday,21:00,7
Thursday,22:00,1
Thursday,23:00,6
Friday,0:00,11
Friday,1:00,31
Friday,2:00,53
Friday,3:00,56
Friday,4:00,47
Friday,5:00,25
Friday,6:00,8
Friday,7:00,6
Friday,8:00,2
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,1
Friday,14:00,1
Friday,15:00,1
Friday,16:00,5
Friday,17:00,1
Friday,18:00,4
Friday,19:00,10
Friday,20:00,19
Friday,21:00,7
Friday,22:00,3
Friday,23:00,3
Saturday,0:00,19
Saturday,1:00,54
Saturday,2:00,83
Saturday,3:00,89
Saturday,4:00,82
Saturday,5:00,40
Saturday,6:00,17
Saturday,7:00,6
Saturday,8:00,2
Saturday,9:00,6
Saturday,10:00,1
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,1
Saturday,15:00,2
Saturday,16:00,2
Saturday,17:00,2
Saturday,18:00,12
Saturday,19:00,9
Saturday,20:00,24
Saturday,21:00,13
Saturday,22:00,10
Saturday,23:00,6
Sunday,0:00,45
Sunday,1:00,93
Sunday,2:00,152
Sunday,3:00,164
Sunday,4:00,133
Sunday,5:00,91
Sunday,6:00,17
Sunday,7:00,12
Sunday,8:00,1
Sunday,9:00,1
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,1
Sunday,13:00,1
Sunday,14:00,1
Sunday,15:00,1
Sunday,16:00,3
Sunday,17:00,1
Sunday,18:00,9
Sunday,19:00,19
Sunday,20:00,24
Sunday,21:00,9
Sunday,22:00,10
Sunday,23:00,3
