x,y,value
Monday,0:00,14
Monday,1:00,22
Monday,2:00,12
Monday,3:00,22
Monday,4:00,21
Monday,5:00,3
Monday,6:00,1
Monday,7:00,1
Monday,8:00,2
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,0
Monday,16:00,0
Monday,17:00,3
Monday,18:00,9
Monday,19:00,17
Monday,20:00,35
Monday,21:00,23
Monday,22:00,10
Monday,23:00,15
Tuesday,0:00,17
Tuesday,1:00,24
Tuesday,2:00,14
Tuesday,3:00,10
Tuesday,4:00,18
Tuesday,5:00,5
Tuesday,6:00,0
Tuesday,7:00,0
Tuesday,8:00,6
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,1
Tuesday,16:00,1
Tuesday,17:00,3
Tuesday,18:00,9
Tuesday,19:00,30
Tuesday,20:00,43
Tuesday,21:00,25
Tuesday,22:00,15
Tuesday,23:00,9
Wednesday,0:00,15
Wednesday,1:00,12
Wednesday,2:00,16
Wednesday,3:00,17
Wednesday,4:00,9
Wednesday,5:00,4
Wednesday,6:00,0
Wednesday,7:00,0
Wednesday,8:00,4
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,1
Wednesday,16:00,0
Wednesday,17:00,3
Wednesday,18:00,5
Wednesday,19:00,18
Wednesday,20:00,36
Wednesday,21:00,32
Wednesday,22:00,9
Wednesday,23:00,16
Thursday,0:00,8
Thursday,1:00,16
Thursday,2:00,14
Thursday,3:00,18
Thursday,4:00,17
Thursday,5:00,5
Thursday,6:00,1
Thursday,7:00,0
Thursday,8:00,2
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,1
Thursday,15:00,1
Thursday,16:00,0
Thursday,17:00,2
Thursday,18:00,14
Thursday,19:00,28
Thursday,20:00,32
Thursday,21:00,17
Thursday,22:00,10
Thursday,23:00,8
Friday,0:00,10
Friday,1:00,18
Friday,2:00,11
Friday,3:00,14
Friday,4:00,25
Friday,5:00,5
Friday,6:00,0
Friday,7:00,1
Friday,8:00,1
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,1
Friday,14:00,0
Friday,15:00,0
Friday,16:00,0
Friday,17:00,1
Friday,18:00,11
Friday,19:00,28
Friday,20:00,38
Friday,21:00,27
Friday,22:00,14
Friday,23:00,10
Saturday,0:00,20
Saturday,1:00,14
Saturday,2:00,13
Saturday,3:00,19
Saturday,4:00,14
Saturday,5:00,5
Saturday,6:00,0
Saturday,7:00,3
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,0
Saturday,16:00,0
Saturday,17:00,1
Saturday,18:00,5
Saturday,19:00,15
Saturday,20:00,24
Saturday,21:00,26
Saturday,22:00,20
Saturday,23:00,14
Sunday,0:00,20
Sunday,1:00,24
Sunday,2:00,22
Sunday,3:00,13
Sunday,4:00,18
Sunday,5:00,3
Sunday,6:00,0
Sunday,7:00,3
Sunday,8:00,4
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,0
Sunday,16:00,0
Sunday,17:00,0
Sunday,18:00,9
Sunday,19:00,18
Sunday,20:00,20
Sunday,21:00,15
Sunday,22:00,15
Sunday,23:00,7
