x,y,value
Monday,0:00,14
Monday,1:00,24
Monday,2:00,27
Monday,3:00,19
Monday,4:00,22
Monday,5:00,32
Monday,6:00,30
Monday,7:00,20
Monday,8:00,9
Monday,9:00,7
Monday,10:00,4
Monday,11:00,0
Monday,12:00,1
Monday,13:00,1
Monday,14:00,0
Monday,15:00,0
Monday,16:00,2
Monday,17:00,2
Monday,18:00,2
Monday,19:00,4
Monday,20:00,1
Monday,21:00,11
Monday,22:00,11
Monday,23:00,13
Tuesday,0:00,13
Tuesday,1:00,21
Tuesday,2:00,9
Tuesday,3:00,10
Tuesday,4:00,26
Tuesday,5:00,27
Tuesday,6:00,15
Tuesday,7:00,16
Tuesday,8:00,9
Tuesday,9:00,5
Tuesday,10:00,1
Tuesday,11:00,4
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,1
Tuesday,17:00,1
Tuesday,18:00,2
Tuesday,19:00,3
Tuesday,20:00,4
Tuesday,21:00,4
Tuesday,22:00,6
Tuesday,23:00,11
Wednesday,0:00,7
Wednesday,1:00,23
Wednesday,2:00,14
Wednesday,3:00,21
Wednesday,4:00,31
Wednesday,5:00,28
Wednesday,6:00,24
Wednesday,7:00,17
Wednesday,8:00,14
Wednesday,9:00,0
Wednesday,10:00,4
Wednesday,11:00,3
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,0
Wednesday,16:00,1
Wednesday,17:00,3
Wednesday,18:00,3
Wednesday,19:00,1
Wednesday,20:00,1
Wednesday,21:00,4
Wednesday,22:00,8
Wednesday,23:00,12
Thursday,0:00,13
Thursday,1:00,26
Thursday,2:00,31
Thursday,3:00,20
Thursday,4:00,32
Thursday,5:00,30
Thursday,6:00,28
Thursday,7:00,19
Thursday,8:00,4
Thursday,9:00,7
Thursday,10:00,5
Thursday,11:00,1
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,0
Thursday,16:00,0
Thursday,17:00,2
Thursday,18:00,0
Thursday,19:00,1
Thursday,20:00,6
Thursday,21:00,5
Thursday,22:00,8
Thursday,23:00,11
Friday,0:00,20
Friday,1:00,19
Friday,2:00,18
Friday,3:00,29
Friday,4:00,39
Friday,5:00,14
Friday,6:00,19
Friday,7:00,19
Friday,8:00,11
Friday,9:00,13
Friday,10:00,5
Friday,11:00,0
Friday,12:00,0
Friday,13:00,1
Friday,14:00,0
Friday,15:00,0
Friday,16:00,1
Friday,17:00,2
Friday,18:00,2
Friday,19:00,6
Friday,20:00,12
Friday,21:00,10
Friday,22:00,15
Friday,23:00,16
Saturday,0:00,24
Saturday,1:00,18
Saturday,2:00,38
Saturday,3:00,62
Saturday,4:00,64
Saturday,5:00,51
Saturday,6:00,52
Saturday,7:00,42
Saturday,8:00,22
Saturday,9:00,17
Saturday,10:00,10
Saturday,11:00,3
Saturday,12:00,2
Saturday,13:00,4
Saturday,14:00,1
Saturday,15:00,1
Saturday,16:00,1
Saturday,17:00,1
Saturday,18:00,0
Saturday,19:00,14
Saturday,20:00,15
Saturday,21:00,18
Saturday,22:00,26
Saturday,23:00,17
Sunday,0:00,28
Sunday,1:00,27
Sunday,2:00,29
Sunday,3:00,54
Sunday,4:00,49
Sunday,5:00,67
Sunday,6:00,55
Sunday,7:00,51
Sunday,8:00,20
Sunday,9:00,18
Sunday,10:00,1
Sunday,11:00,2
Sunday,12:00,2
Sunday,13:00,0
Sunday,14:00,3
Sunday,15:00,0
Sunday,16:00,1
Sunday,17:00,2
Sunday,18:00,1
Sunday,19:00,14
Sunday,20:00,5
Sunday,21:00,17
Sunday,22:00,17
Sunday,23:00,8
