x,y,value
Monday,0:00,21
Monday,1:00,39
Monday,2:00,44
Monday,3:00,64
Monday,4:00,48
Monday,5:00,13
Monday,6:00,2
Monday,7:00,0
Monday,8:00,2
Monday,9:00,1
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,0
Monday,16:00,0
Monday,17:00,1
Monday,18:00,6
Monday,19:00,19
Monday,20:00,20
Monday,21:00,13
Monday,22:00,18
Monday,23:00,11
Tuesday,0:00,19
Tuesday,1:00,25
Tuesday,2:00,26
Tuesday,3:00,38
Tuesday,4:00,32
Tuesday,5:00,15
Tuesday,6:00,6
Tuesday,7:00,0
Tuesday,8:00,1
Tuesday,9:00,0
Tuesday,10:00,1
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,1
Tuesday,18:00,4
Tuesday,19:00,15
Tuesday,20:00,16
Tuesday,21:00,13
Tuesday,22:00,2
Tuesday,23:00,7
Wednesday,0:00,18
Wednesday,1:00,22
Wednesday,2:00,37
Wednesday,3:00,40
Wednesday,4:00,21
Wednesday,5:00,14
Wednesday,6:00,3
Wednesday,7:00,0
Wednesday,8:00,1
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,0
Wednesday,16:00,0
Wednesday,17:00,0
Wednesday,18:00,5
Wednesday,19:00,10
Wednesday,20:00,12
Wednesday,21:00,14
Wednesday,22:00,6
Wednesday,23:00,5
Thursday,0:00,19
Thursday,1:00,28
Thursday,2:00,44
Thursday,3:00,46
Thursday,4:00,25
Thursday,5:00,12
Thursday,6:00,4
Thursday,7:00,1
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,1
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,0
Thursday,16:00,0
Thursday,17:00,0
Thursday,18:00,5
Thursday,19:00,18
Thursday,20:00,17
Thursday,21:00,12
Thursday,22:00,15
Thursday,23:00,11
Friday,0:00,11
Friday,1:00,32
Friday,2:00,39
Friday,3:00,46
Friday,4:00,33
Friday,5:00,11
Friday,6:00,1
Friday,7:00,1
Friday,8:00,0
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,1
Friday,16:00,1
Friday,17:00,0
Friday,18:00,8
Friday,19:00,17
Friday,20:00,15
Friday,21:00,13
Friday,22:00,12
Friday,23:00,14
Saturday,0:00,13
Saturday,1:00,27
Saturday,2:00,49
Saturday,3:00,63
Saturday,4:00,37
Saturday,5:00,25
Saturday,6:00,4
Saturday,7:00,2
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,1
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,0
Saturday,16:00,0
Saturday,17:00,0
Saturday,18:00,9
Saturday,19:00,30
Saturday,20:00,33
Saturday,21:00,35
Saturday,22:00,45
Saturday,23:00,18
Sunday,0:00,21
Sunday,1:00,35
Sunday,2:00,57
Sunday,3:00,45
Sunday,4:00,67
Sunday,5:00,22
Sunday,6:00,9
Sunday,7:00,1
Sunday,8:00,1
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,0
Sunday,16:00,0
Sunday,17:00,1
Sunday,18:00,9
Sunday,19:00,47
Sunday,20:00,39
Sunday,21:00,40
Sunday,22:00,32
Sunday,23:00,20
