x,y,value
Monday,0:00,53
Monday,1:00,66
Monday,2:00,30
Monday,3:00,30
Monday,4:00,4
Monday,5:00,1
Monday,6:00,0
Monday,7:00,0
Monday,8:00,0
Monday,9:00,0
Monday,10:00,1
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,1
Monday,16:00,0
Monday,17:00,0
Monday,18:00,12
Monday,19:00,36
Monday,20:00,30
Monday,21:00,18
Monday,22:00,11
Monday,23:00,14
Tuesday,0:00,29
Tuesday,1:00,58
Tuesday,2:00,52
Tuesday,3:00,23
Tuesday,4:00,4
Tuesday,5:00,0
Tuesday,6:00,0
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,2
Tuesday,13:00,1
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,0
Tuesday,18:00,17
Tuesday,19:00,25
Tuesday,20:00,12
Tuesday,21:00,10
Tuesday,22:00,10
Tuesday,23:00,10
Wednesday,0:00,36
Wednesday,1:00,52
Wednesday,2:00,67
Wednesday,3:00,27
Wednesday,4:00,2
Wednesday,5:00,1
Wednesday,6:00,1
Wednesday,7:00,0
Wednesday,8:00,0
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,3
Wednesday,15:00,0
Wednesday,16:00,1
Wednesday,17:00,6
Wednesday,18:00,25
Wednesday,19:00,44
Wednesday,20:00,31
Wednesday,21:00,13
Wednesday,22:00,11
Wednesday,23:00,12
Thursday,0:00,50
Thursday,1:00,63
Thursday,2:00,71
Thursday,3:00,27
Thursday,4:00,2
Thursday,5:00,3
Thursday,6:00,1
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,0
Thursday,16:00,0
Thursday,17:00,2
Thursday,18:00,18
Thursday,19:00,27
Thursday,20:00,21
Thursday,21:00,14
Thursday,22:00,12
Thursday,23:00,10
Friday,0:00,32
Friday,1:00,54
Friday,2:00,67
Friday,3:00,26
Friday,4:00,5
Friday,5:00,1
Friday,6:00,0
Friday,7:00,0
Friday,8:00,0
Friday,9:00,0
Friday,10:00,1
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,0
Friday,16:00,0
Friday,17:00,2
Friday,18:00,23
Friday,19:00,56
Friday,20:00,27
Friday,21:00,24
Friday,22:00,14
Friday,23:00,10
Saturday,0:00,54
Saturday,1:00,75
Saturday,2:00,78
Saturday,3:00,54
Saturday,4:00,10
Saturday,5:00,0
Saturday,6:00,0
Saturday,7:00,0
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,0
Saturday,16:00,1
Saturday,17:00,4
Saturday,18:00,44
Saturday,19:00,76
Saturday,20:00,72
Saturday,21:00,48
Saturday,22:00,36
Saturday,23:00,40
Sunday,0:00,81
Sunday,1:00,88
Sunday,2:00,81
Sunday,3:00,62
Sunday,4:00,8
Sunday,5:00,0
Sunday,6:00,1
Sunday,7:00,1
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,3
Sunday,16:00,0
Sunday,17:00,4
Sunday,18:00,29
Sunday,19:00,46
Sunday,20:00,67
Sunday,21:00,46
Sunday,22:00,45
Sunday,23:00,38
