x,y,value
Monday,0:00,19
Monday,1:00,21
Monday,2:00,17
Monday,3:00,14
Monday,4:00,6
Monday,5:00,3
Monday,6:00,2
Monday,7:00,7
Monday,8:00,1
Monday,9:00,1
Monday,10:00,2
Monday,11:00,0
Monday,12:00,0
Monday,13:00,1
Monday,14:00,2
Monday,15:00,1
Monday,16:00,7
Monday,17:00,12
Monday,18:00,7
Monday,19:00,12
Monday,20:00,8
Monday,21:00,11
Monday,22:00,9
Monday,23:00,18
Tuesday,0:00,16
Tuesday,1:00,21
Tuesday,2:00,14
Tuesday,3:00,8
Tuesday,4:00,6
Tuesday,5:00,1
Tuesday,6:00,0
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,2
Tuesday,14:00,6
Tuesday,15:00,3
Tuesday,16:00,8
Tuesday,17:00,10
Tuesday,18:00,5
Tuesday,19:00,3
Tuesday,20:00,4
Tuesday,21:00,3
Tuesday,22:00,9
Tuesday,23:00,1
Wednesday,0:00,13
Wednesday,1:00,29
Wednesday,2:00,21
Wednesday,3:00,8
Wednesday,4:00,6
Wednesday,5:00,3
Wednesday,6:00,2
Wednesday,7:00,3
Wednesday,8:00,2
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,1
Wednesday,13:00,1
Wednesday,14:00,4
Wednesday,15:00,3
Wednesday,16:00,6
Wednesday,17:00,3
Wednesday,18:00,2
Wednesday,19:00,9
Wednesday,20:00,7
Wednesday,21:00,8
Wednesday,22:00,4
Wednesday,23:00,4
Thursday,0:00,19
Thursday,1:00,19
Thursday,2:00,10
Thursday,3:00,6
Thursday,4:00,2
Thursday,5:00,4
Thursday,6:00,9
Thursday,7:00,1
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,2
Thursday,14:00,5
Thursday,15:00,5
Thursday,16:00,5
Thursday,17:00,7
Thursday,18:00,2
Thursday,19:00,5
Thursday,20:00,6
Thursday,21:00,2
Thursday,22:00,9
Thursday,23:00,9
Friday,0:00,27
Friday,1:00,23
Friday,2:00,14
Friday,3:00,2
Friday,4:00,6
Friday,5:00,4
Friday,6:00,4
Friday,7:00,3
Friday,8:00,0
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,1
Friday,13:00,5
Friday,14:00,0
Friday,15:00,4
Friday,16:00,2
Friday,17:00,1
Friday,18:00,8
Friday,19:00,4
Friday,20:00,9
Friday,21:00,4
Friday,22:00,12
Friday,23:00,11
Saturday,0:00,12
Saturday,1:00,11
Saturday,2:00,12
Saturday,3:00,13
Saturday,4:00,12
Saturday,5:00,2
Saturday,6:00,2
Saturday,7:00,3
Saturday,8:00,2
Saturday,9:00,2
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,2
Saturday,15:00,5
Saturday,16:00,5
Saturday,17:00,7
Saturday,18:00,6
Saturday,19:00,12
Saturday,20:00,11
Saturday,21:00,14
Saturday,22:00,10
Saturday,23:00,13
Sunday,0:00,15
Sunday,1:00,16
Sunday,2:00,6
Sunday,3:00,9
Sunday,4:00,7
Sunday,5:00,5
Sunday,6:00,1
Sunday,7:00,3
Sunday,8:00,3
Sunday,9:00,4
Sunday,10:00,2
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,1
Sunday,15:00,1
Sunday,16:00,5
Sunday,17:00,5
Sunday,18:00,10
Sunday,19:00,24
Sunday,20:00,28
Sunday,21:00,19
Sunday,22:00,17
Sunday,23:00,15
