x,y,value
Monday,0:00,42
Monday,1:00,38
Monday,2:00,18
Monday,3:00,7
Monday,4:00,4
Monday,5:00,2
Monday,6:00,1
Monday,7:00,0
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,1
Monday,16:00,3
Monday,17:00,8
Monday,18:00,15
Monday,19:00,32
Monday,20:00,54
Monday,21:00,42
Monday,22:00,44
Monday,23:00,32
Tuesday,0:00,31
Tuesday,1:00,31
Tuesday,2:00,20
Tuesday,3:00,23
Tuesday,4:00,14
Tuesday,5:00,4
Tuesday,6:00,3
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,1
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,3
Tuesday,15:00,2
Tuesday,16:00,6
Tuesday,17:00,9
Tuesday,18:00,18
Tuesday,19:00,33
Tuesday,20:00,31
Tuesday,21:00,37
Tuesday,22:00,40
Tuesday,23:00,34
Wednesday,0:00,42
Wednesday,1:00,24
Wednesday,2:00,21
Wednesday,3:00,26
Wednesday,4:00,13
Wednesday,5:00,4
Wednesday,6:00,2
Wednesday,7:00,2
Wednesday,8:00,1
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,0
Wednesday,16:00,7
Wednesday,17:00,10
Wednesday,18:00,16
Wednesday,19:00,30
Wednesday,20:00,37
Wednesday,21:00,35
Wednesday,22:00,34
Wednesday,23:00,21
Thursday,0:00,31
Thursday,1:00,35
Thursday,2:00,33
Thursday,3:00,24
Thursday,4:00,9
Thursday,5:00,0
Thursday,6:00,1
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,1
Thursday,14:00,0
Thursday,15:00,3
Thursday,16:00,5
Thursday,17:00,5
Thursday,18:00,24
Thursday,19:00,52
Thursday,20:00,35
Thursday,21:00,24
Thursday,22:00,34
Thursday,23:00,23
Friday,0:00,27
Friday,1:00,22
Friday,2:00,20
Friday,3:00,19
Friday,4:00,15
Friday,5:00,4
Friday,6:00,3
Friday,7:00,0
Friday,8:00,1
Friday,9:00,1
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,3
Friday,16:00,4
Friday,17:00,11
Friday,18:00,27
Friday,19:00,46
Friday,20:00,54
Friday,21:00,40
Friday,22:00,40
Friday,23:00,52
Saturday,0:00,37
Saturday,1:00,36
Saturday,2:00,35
Saturday,3:00,27
Saturday,4:00,21
Saturday,5:00,5
Saturday,6:00,4
Saturday,7:00,0
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,1
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,1
Saturday,15:00,1
Saturday,16:00,6
Saturday,17:00,17
Saturday,18:00,27
Saturday,19:00,47
Saturday,20:00,55
Saturday,21:00,61
Saturday,22:00,66
Saturday,23:00,53
Sunday,0:00,58
Sunday,1:00,42
Sunday,2:00,31
Sunday,3:00,19
Sunday,4:00,10
Sunday,5:00,2
Sunday,6:00,0
Sunday,7:00,0
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,1
Sunday,16:00,1
Sunday,17:00,16
Sunday,18:00,32
Sunday,19:00,43
Sunday,20:00,44
Sunday,21:00,64
Sunday,22:00,63
Sunday,23:00,40
