x,y,value
Monday,0:00,38
Monday,1:00,56
Monday,2:00,41
Monday,3:00,23
Monday,4:00,8
Monday,5:00,1
Monday,6:00,0
Monday,7:00,1
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,1
Monday,14:00,0
Monday,15:00,2
Monday,16:00,2
Monday,17:00,1
Monday,18:00,5
Monday,19:00,11
Monday,20:00,8
Monday,21:00,8
Monday,22:00,13
Monday,23:00,12
Tuesday,0:00,32
Tuesday,1:00,28
Tuesday,2:00,33
Tuesday,3:00,15
Tuesday,4:00,6
Tuesday,5:00,0
Tuesday,6:00,0
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,1
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,0
Tuesday,18:00,5
Tuesday,19:00,9
Tuesday,20:00,10
Tuesday,21:00,5
Tuesday,22:00,6
Tuesday,23:00,15
Wednesday,0:00,31
Wednesday,1:00,47
Wednesday,2:00,34
Wednesday,3:00,25
Wednesday,4:00,6
Wednesday,5:00,0
Wednesday,6:00,1
Wednesday,7:00,0
Wednesday,8:00,1
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,2
Wednesday,16:00,0
Wednesday,17:00,0
Wednesday,18:00,9
Wednesday,19:00,16
Wednesday,20:00,11
Wednesday,21:00,3
Wednesday,22:00,13
Wednesday,23:00,20
Thursday,0:00,23
Thursday,1:00,25
Thursday,2:00,25
Thursday,3:00,18
Thursday,4:00,7
Thursday,5:00,0
Thursday,6:00,0
Thursday,7:00,1
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,1
Thursday,16:00,2
Thursday,17:00,0
Thursday,18:00,17
Thursday,19:00,20
Thursday,20:00,15
Thursday,21:00,11
Thursday,22:00,14
Thursday,23:00,8
Friday,0:00,36
Friday,1:00,34
Friday,2:00,38
Friday,3:00,20
Friday,4:00,11
Friday,5:00,1
Friday,6:00,0
Friday,7:00,0
Friday,8:00,1
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,1
Friday,14:00,1
Friday,15:00,0
Friday,16:00,1
Friday,17:00,3
Friday,18:00,11
Friday,19:00,17
Friday,20:00,16
Friday,21:00,12
Friday,22:00,10
Friday,23:00,28
Saturday,0:00,67
Saturday,1:00,79
Saturday,2:00,67
Saturday,3:00,57
Saturday,4:00,34
Saturday,5:00,16
Saturday,6:00,3
Saturday,7:00,0
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,0
Saturday,16:00,1
Saturday,17:00,2
Saturday,18:00,12
Saturday,19:00,19
Saturday,20:00,28
Saturday,21:00,18
Saturday,22:00,24
Saturday,23:00,31
Sunday,0:00,38
Sunday,1:00,80
Sunday,2:00,65
Sunday,3:00,50
Sunday,4:00,30
Sunday,5:00,11
Sunday,6:00,1
Sunday,7:00,0
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,0
Sunday,16:00,0
Sunday,17:00,1
Sunday,18:00,4
Sunday,19:00,31
Sunday,20:00,38
Sunday,21:00,24
Sunday,22:00,20
Sunday,23:00,30
