x,y,value
Monday,0:00,34
Monday,1:00,39
Monday,2:00,21
Monday,3:00,6
Monday,4:00,6
Monday,5:00,1
Monday,6:00,2
Monday,7:00,0
Monday,8:00,1
Monday,9:00,0
Monday,10:00,0
Monday,11:00,1
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,2
Monday,16:00,3
Monday,17:00,13
Monday,18:00,21
Monday,19:00,36
Monday,20:00,50
Monday,21:00,51
Monday,22:00,48
Monday,23:00,38
Tuesday,0:00,38
Tuesday,1:00,25
Tuesday,2:00,18
Tuesday,3:00,6
Tuesday,4:00,3
Tuesday,5:00,2
Tuesday,6:00,0
Tuesday,7:00,1
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,2
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,1
Tuesday,16:00,2
Tuesday,17:00,16
Tuesday,18:00,28
Tuesday,19:00,19
Tuesday,20:00,37
Tuesday,21:00,32
Tuesday,22:00,51
Tuesday,23:00,21
Wednesday,0:00,24
Wednesday,1:00,18
Wednesday,2:00,20
Wednesday,3:00,9
Wednesday,4:00,5
Wednesday,5:00,4
Wednesday,6:00,4
Wednesday,7:00,0
Wednesday,8:00,2
Wednesday,9:00,1
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,2
Wednesday,16:00,1
Wednesday,17:00,10
Wednesday,18:00,19
Wednesday,19:00,22
Wednesday,20:00,36
Wednesday,21:00,26
Wednesday,22:00,44
Wednesday,23:00,41
Thursday,0:00,34
Thursday,1:00,16
Thursday,2:00,15
Thursday,3:00,9
Thursday,4:00,6
Thursday,5:00,4
Thursday,6:00,0
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,2
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,0
Thursday,16:00,5
Thursday,17:00,9
Thursday,18:00,26
Thursday,19:00,36
Thursday,20:00,27
Thursday,21:00,25
Thursday,22:00,24
Thursday,23:00,47
Friday,0:00,30
Friday,1:00,21
Friday,2:00,21
Friday,3:00,10
Friday,4:00,2
Friday,5:00,1
Friday,6:00,1
Friday,7:00,0
Friday,8:00,0
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,3
Friday,16:00,6
Friday,17:00,16
Friday,18:00,19
Friday,19:00,37
Friday,20:00,43
Friday,21:00,55
Friday,22:00,41
Friday,23:00,38
Saturday,0:00,27
Saturday,1:00,22
Saturday,2:00,16
Saturday,3:00,25
Saturday,4:00,8
Saturday,5:00,7
Saturday,6:00,1
Saturday,7:00,3
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,1
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,1
Saturday,14:00,1
Saturday,15:00,1
Saturday,16:00,2
Saturday,17:00,21
Saturday,18:00,44
Saturday,19:00,77
Saturday,20:00,86
Saturday,21:00,73
Saturday,22:00,70
Saturday,23:00,64
Sunday,0:00,56
Sunday,1:00,55
Sunday,2:00,40
Sunday,3:00,26
Sunday,4:00,9
Sunday,5:00,4
Sunday,6:00,1
Sunday,7:00,0
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,1
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,1
Sunday,14:00,1
Sunday,15:00,0
Sunday,16:00,5
Sunday,17:00,12
Sunday,18:00,39
Sunday,19:00,56
Sunday,20:00,58
Sunday,21:00,71
Sunday,22:00,65
Sunday,23:00,56
