x,y,value
Monday,0:00,9
Monday,1:00,15
Monday,2:00,12
Monday,3:00,9
Monday,4:00,10
Monday,5:00,2
Monday,6:00,0
Monday,7:00,0
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,0
Monday,16:00,0
Monday,17:00,0
Monday,18:00,3
Monday,19:00,6
Monday,20:00,14
Monday,21:00,18
Monday,22:00,8
Monday,23:00,5
Tuesday,0:00,19
Tuesday,1:00,6
Tuesday,2:00,9
Tuesday,3:00,7
Tuesday,4:00,11
Tuesday,5:00,1
Tuesday,6:00,0
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,0
Tuesday,18:00,9
Tuesday,19:00,14
Tuesday,20:00,5
Tuesday,21:00,14
Tuesday,22:00,13
Tuesday,23:00,4
Wednesday,0:00,11
Wednesday,1:00,13
Wednesday,2:00,20
Wednesday,3:00,13
Wednesday,4:00,7
Wednesday,5:00,2
Wednesday,6:00,0
Wednesday,7:00,0
Wednesday,8:00,0
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,0
Wednesday,16:00,0
Wednesday,17:00,0
Wednesday,18:00,3
Wednesday,19:00,7
Wednesday,20:00,11
Wednesday,21:00,11
Wednesday,22:00,7
Wednesday,23:00,6
Thursday,0:00,8
Thursday,1:00,13
Thursday,2:00,19
Thursday,3:00,10
Thursday,4:00,20
Thursday,5:00,0
Thursday,6:00,0
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,0
Thursday,16:00,0
Thursday,17:00,0
Thursday,18:00,2
Thursday,19:00,7
Thursday,20:00,8
Thursday,21:00,6
Thursday,22:00,9
Thursday,23:00,6
Friday,0:00,9
Friday,1:00,13
Friday,2:00,16
Friday,3:00,12
Friday,4:00,8
Friday,5:00,2
Friday,6:00,0
Friday,7:00,0
Friday,8:00,0
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,0
Friday,16:00,0
Friday,17:00,1
Friday,18:00,1
Friday,19:00,9
Friday,20:00,13
Friday,21:00,12
Friday,22:00,10
Friday,23:00,7
Saturday,0:00,3
Saturday,1:00,12
Saturday,2:00,13
Saturday,3:00,14
Saturday,4:00,9
Saturday,5:00,4
Saturday,6:00,0
Saturday,7:00,0
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,0
Saturday,16:00,0
Saturday,17:00,0
Saturday,18:00,4
Saturday,19:00,5
Saturday,20:00,14
Saturday,21:00,10
Saturday,22:00,16
Saturday,23:00,11
Sunday,0:00,9
Sunday,1:00,15
Sunday,2:00,13
Sunday,3:00,11
Sunday,4:00,8
Sunday,5:00,2
Sunday,6:00,0
Sunday,7:00,0
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,0
Sunday,16:00,0
Sunday,17:00,0
Sunday,18:00,5
Sunday,19:00,13
Sunday,20:00,10
Sunday,21:00,15
Sunday,22:00,6
Sunday,23:00,11
