x,y,value
Monday,0:00,30
Monday,1:00,20
Monday,2:00,31
Monday,3:00,18
Monday,4:00,20
Monday,5:00,13
Monday,6:00,11
Monday,7:00,10
Monday,8:00,2
Monday,9:00,3
Monday,10:00,3
Monday,11:00,1
Monday,12:00,3
Monday,13:00,0
Monday,14:00,5
Monday,15:00,4
Monday,16:00,8
Monday,17:00,14
Monday,18:00,30
Monday,19:00,30
Monday,20:00,26
Monday,21:00,21
Monday,22:00,25
Monday,23:00,23
Tuesday,0:00,22
Tuesday,1:00,24
Tuesday,2:00,28
Tuesday,3:00,22
Tuesday,4:00,20
Tuesday,5:00,22
Tuesday,6:00,17
Tuesday,7:00,10
Tuesday,8:00,9
Tuesday,9:00,3
Tuesday,10:00,1
Tuesday,11:00,1
Tuesday,12:00,2
Tuesday,13:00,2
Tuesday,14:00,1
Tuesday,15:00,9
Tuesday,16:00,11
Tuesday,17:00,10
Tuesday,18:00,13
Tuesday,19:00,19
Tuesday,20:00,25
Tuesday,21:00,23
Tuesday,22:00,22
Tuesday,23:00,20
Wednesday,0:00,25
Wednesday,1:00,28
Wednesday,2:00,25
Wednesday,3:00,28
Wednesday,4:00,11
Wednesday,5:00,9
Wednesday,6:00,12
Wednesday,7:00,9
Wednesday,8:00,12
Wednesday,9:00,8
Wednesday,10:00,1
Wednesday,11:00,1
Wednesday,12:00,1
Wednesday,13:00,2
Wednesday,14:00,5
Wednesday,15:00,6
Wednesday,16:00,9
Wednesday,17:00,18
Wednesday,18:00,21
Wednesday,19:00,24
Wednesday,20:00,13
Wednesday,21:00,21
Wednesday,22:00,30
Wednesday,23:00,21
Thursday,0:00,28
Thursday,1:00,35
Thursday,2:00,30
Thursday,3:00,25
Thursday,4:00,10
Thursday,5:00,14
Thursday,6:00,10
Thursday,7:00,6
Thursday,8:00,8
Thursday,9:00,6
Thursday,10:00,1
Thursday,11:00,3
Thursday,12:00,3
Thursday,13:00,1
Thursday,14:00,4
Thursday,15:00,6
Thursday,16:00,9
Thursday,17:00,17
Thursday,18:00,19
Thursday,19:00,21
Thursday,20:00,25
Thursday,21:00,30
Thursday,22:00,19
Thursday,23:00,25
Friday,0:00,21
Friday,1:00,16
Friday,2:00,23
Friday,3:00,22
Friday,4:00,17
Friday,5:00,18
Friday,6:00,25
Friday,7:00,4
Friday,8:00,8
Friday,9:00,7
Friday,10:00,2
Friday,11:00,1
Friday,12:00,0
Friday,13:00,1
Friday,14:00,3
Friday,15:00,3
Friday,16:00,8
Friday,17:00,20
Friday,18:00,14
Friday,19:00,34
Friday,20:00,21
Friday,21:00,29
Friday,22:00,32
Friday,23:00,24
Saturday,0:00,28
Saturday,1:00,13
Saturday,2:00,31
Saturday,3:00,23
Saturday,4:00,27
Saturday,5:00,13
Saturday,6:00,20
Saturday,7:00,14
Saturday,8:00,9
Saturday,9:00,2
Saturday,10:00,3
Saturday,11:00,5
Saturday,12:00,1
Saturday,13:00,1
Saturday,14:00,10
Saturday,15:00,11
Saturday,16:00,21
Saturday,17:00,22
Saturday,18:00,20
Saturday,19:00,26
Saturday,20:00,29
Saturday,21:00,31
Saturday,22:00,24
Saturday,23:00,23
Sunday,0:00,34
Sunday,1:00,35
Sunday,2:00,19
Sunday,3:00,21
Sunday,4:00,13
Sunday,5:00,25
Sunday,6:00,22
Sunday,7:00,8
Sunday,8:00,2
Sunday,9:00,3
Sunday,10:00,2
Sunday,11:00,4
Sunday,12:00,4
Sunday,13:00,4
Sunday,14:00,4
Sunday,15:00,8
Sunday,16:00,17
Sunday,17:00,25
Sunday,18:00,27
Sunday,19:00,33
Sunday,20:00,31
Sunday,21:00,32
Sunday,22:00,32
Sunday,23:00,33
