x,y,value
Monday,0:00,9
Monday,1:00,5
Monday,2:00,8
Monday,3:00,5
Monday,4:00,12
Monday,5:00,2
Monday,6:00,1
Monday,7:00,5
Monday,8:00,3
Monday,9:00,1
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,2
Monday,14:00,0
Monday,15:00,0
Monday,16:00,0
Monday,17:00,0
Monday,18:00,1
Monday,19:00,4
Monday,20:00,2
Monday,21:00,2
Monday,22:00,4
Monday,23:00,0
Tuesday,0:00,4
Tuesday,1:00,6
Tuesday,2:00,7
Tuesday,3:00,4
Tuesday,4:00,5
Tuesday,5:00,3
Tuesday,6:00,6
Tuesday,7:00,1
Tuesday,8:00,1
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,2
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,1
Tuesday,18:00,2
Tuesday,19:00,0
Tuesday,20:00,0
Tuesday,21:00,2
Tuesday,22:00,1
Tuesday,23:00,4
Wednesday,0:00,16
Wednesday,1:00,5
Wednesday,2:00,11
Wednesday,3:00,7
Wednesday,4:00,5
Wednesday,5:00,2
Wednesday,6:00,2
Wednesday,7:00,4
Wednesday,8:00,0
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,1
Wednesday,12:00,0
Wednesday,13:00,4
Wednesday,14:00,0
Wednesday,15:00,0
Wednesday,16:00,0
Wednesday,17:00,1
Wednesday,18:00,4
Wednesday,19:00,3
Wednesday,20:00,3
Wednesday,21:00,3
Wednesday,22:00,3
Wednesday,23:00,0
Thursday,0:00,4
Thursday,1:00,11
Thursday,2:00,7
Thursday,3:00,12
Thursday,4:00,9
Thursday,5:00,9
Thursday,6:00,7
Thursday,7:00,4
Thursday,8:00,3
Thursday,9:00,4
Thursday,10:00,1
Thursday,11:00,1
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,1
Thursday,16:00,0
Thursday,17:00,0
Thursday,18:00,2
Thursday,19:00,7
Thursday,20:00,3
Thursday,21:00,2
Thursday,22:00,2
Thursday,23:00,2
Friday,0:00,7
Friday,1:00,5
Friday,2:00,5
Friday,3:00,11
Friday,4:00,6
Friday,5:00,3
Friday,6:00,3
Friday,7:00,2
Friday,8:00,1
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,0
Friday,16:00,0
Friday,17:00,1
Friday,18:00,1
Friday,19:00,5
Friday,20:00,5
Friday,21:00,3
Friday,22:00,1
Friday,23:00,2
Saturday,0:00,7
Saturday,1:00,7
Saturday,2:00,16
Saturday,3:00,7
Saturday,4:00,5
Saturday,5:00,6
Saturday,6:00,4
Saturday,7:00,5
Saturday,8:00,5
Saturday,9:00,1
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,2
Saturday,14:00,0
Saturday,15:00,1
Saturday,16:00,1
Saturday,17:00,1
Saturday,18:00,4
Saturday,19:00,6
Saturday,20:00,6
Saturday,21:00,3
Saturday,22:00,5
Saturday,23:00,3
Sunday,0:00,7
Sunday,1:00,9
Sunday,2:00,11
Sunday,3:00,7
Sunday,4:00,4
Sunday,5:00,7
Sunday,6:00,13
Sunday,7:00,7
Sunday,8:00,4
Sunday,9:00,5
Sunday,10:00,1
Sunday,11:00,1
Sunday,12:00,1
Sunday,13:00,1
Sunday,14:00,2
Sunday,15:00,3
Sunday,16:00,3
Sunday,17:00,2
Sunday,18:00,2
Sunday,19:00,2
Sunday,20:00,4
Sunday,21:00,9
Sunday,22:00,7
Sunday,23:00,11
