x,y,value
Monday,0:00,9
Monday,1:00,4
Monday,2:00,11
Monday,3:00,7
Monday,4:00,4
Monday,5:00,3
Monday,6:00,0
Monday,7:00,0
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,4
Monday,12:00,8
Monday,13:00,28
Monday,14:00,36
Monday,15:00,45
Monday,16:00,22
Monday,17:00,18
Monday,18:00,8
Monday,19:00,11
Monday,20:00,11
Monday,21:00,13
Monday,22:00,7
Monday,23:00,7
Tuesday,0:00,3
Tuesday,1:00,5
Tuesday,2:00,10
Tuesday,3:00,6
Tuesday,4:00,8
Tuesday,5:00,3
Tuesday,6:00,0
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,3
Tuesday,12:00,21
Tuesday,13:00,20
Tuesday,14:00,41
Tuesday,15:00,37
Tuesday,16:00,15
Tuesday,17:00,10
Tuesday,18:00,15
Tuesday,19:00,7
Tuesday,20:00,25
Tuesday,21:00,19
Tuesday,22:00,3
Tuesday,23:00,9
Wednesday,0:00,7
Wednesday,1:00,3
Wednesday,2:00,5
Wednesday,3:00,0
Wednesday,4:00,3
Wednesday,5:00,3
Wednesday,6:00,0
Wednesday,7:00,0
Wednesday,8:00,0
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,3
Wednesday,12:00,20
Wednesday,13:00,29
Wednesday,14:00,31
Wednesday,15:00,30
Wednesday,16:00,33
Wednesday,17:00,11
Wednesday,18:00,5
Wednesday,19:00,14
Wednesday,20:00,15
Wednesday,21:00,27
Wednesday,22:00,6
Wednesday,23:00,8
Thursday,0:00,6
Thursday,1:00,6
Thursday,2:00,2
Thursday,3:00,3
Thursday,4:00,5
Thursday,5:00,2
Thursday,6:00,0
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,2
Thursday,12:00,19
Thursday,13:00,25
Thursday,14:00,30
Thursday,15:00,34
Thursday,16:00,25
Thursday,17:00,12
Thursday,18:00,11
Thursday,19:00,8
Thursday,20:00,19
Thursday,21:00,20
Thursday,22:00,17
Thursday,23:00,12
Friday,0:00,9
Friday,1:00,7
Friday,2:00,7
Friday,3:00,6
Friday,4:00,5
Friday,5:00,8
Friday,6:00,0
Friday,7:00,0
Friday,8:00,0
Friday,9:00,0
Friday,10:00,1
Friday,11:00,5
Friday,12:00,24
Friday,13:00,28
Friday,14:00,41
Friday,15:00,24
Friday,16:00,30
Friday,17:00,16
Friday,18:00,12
Friday,19:00,8
Friday,20:00,17
Friday,21:00,18
Friday,22:00,18
Friday,23:00,14
Saturday,0:00,7
Saturday,1:00,9
Saturday,2:00,3
Saturday,3:00,4
Saturday,4:00,8
Saturday,5:00,5
Saturday,6:00,0
Saturday,7:00,0
Saturday,8:00,0
Saturday,9:00,1
Saturday,10:00,0
Saturday,11:00,4
Saturday,12:00,27
Saturday,13:00,12
Saturday,14:00,24
Saturday,15:00,33
Saturday,16:00,38
Saturday,17:00,45
Saturday,18:00,24
Saturday,19:00,18
Saturday,20:00,10
Saturday,21:00,14
Saturday,22:00,9
Saturday,23:00,19
Sunday,0:00,8
Sunday,1:00,3
Sunday,2:00,4
Sunday,3:00,8
Sunday,4:00,5
Sunday,5:00,6
Sunday,6:00,0
Sunday,7:00,0
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,8
Sunday,12:00,11
Sunday,13:00,5
Sunday,14:00,9
Sunday,15:00,27
Sunday,16:00,19
Sunday,17:00,27
Sunday,18:00,24
Sunday,19:00,13
Sunday,20:00,17
Sunday,21:00,19
Sunday,22:00,12
Sunday,23:00,14
