x,y,value
Monday,0:00,24
Monday,1:00,20
Monday,2:00,27
Monday,3:00,24
Monday,4:00,20
Monday,5:00,16
Monday,6:00,13
Monday,7:00,11
Monday,8:00,7
Monday,9:00,7
Monday,10:00,3
Monday,11:00,4
Monday,12:00,8
Monday,13:00,3
Monday,14:00,8
Monday,15:00,11
Monday,16:00,22
Monday,17:00,16
Monday,18:00,18
Monday,19:00,16
Monday,20:00,10
Monday,21:00,15
Monday,22:00,10
Monday,23:00,17
Tuesday,0:00,15
Tuesday,1:00,14
Tuesday,2:00,18
Tuesday,3:00,22
Tuesday,4:00,15
Tuesday,5:00,9
Tuesday,6:00,8
Tuesday,7:00,16
Tuesday,8:00,9
Tuesday,9:00,4
Tuesday,10:00,4
Tuesday,11:00,1
Tuesday,12:00,6
Tuesday,13:00,4
Tuesday,14:00,3
Tuesday,15:00,10
Tuesday,16:00,12
Tuesday,17:00,7
Tuesday,18:00,15
Tuesday,19:00,8
Tuesday,20:00,6
Tuesday,21:00,15
Tuesday,22:00,16
Tuesday,23:00,20
Wednesday,0:00,17
Wednesday,1:00,15
Wednesday,2:00,17
Wednesday,3:00,8
Wednesday,4:00,14
Wednesday,5:00,7
Wednesday,6:00,12
Wednesday,7:00,13
Wednesday,8:00,11
Wednesday,9:00,9
Wednesday,10:00,8
Wednesday,11:00,3
Wednesday,12:00,0
Wednesday,13:00,6
Wednesday,14:00,8
Wednesday,15:00,9
Wednesday,16:00,10
Wednesday,17:00,11
Wednesday,18:00,9
Wednesday,19:00,9
Wednesday,20:00,11
Wednesday,21:00,16
Wednesday,22:00,8
Wednesday,23:00,8
Thursday,0:00,19
Thursday,1:00,19
Thursday,2:00,14
Thursday,3:00,12
Thursday,4:00,16
Thursday,5:00,14
Thursday,6:00,11
Thursday,7:00,8
Thursday,8:00,12
Thursday,9:00,3
Thursday,10:00,3
Thursday,11:00,5
Thursday,12:00,2
Thursday,13:00,3
Thursday,14:00,5
Thursday,15:00,10
Thursday,16:00,9
Thursday,17:00,11
Thursday,18:00,14
Thursday,19:00,16
Thursday,20:00,13
Thursday,21:00,8
Thursday,22:00,16
Thursday,23:00,20
Friday,0:00,16
Friday,1:00,29
Friday,2:00,11
Friday,3:00,15
Friday,4:00,16
Friday,5:00,17
Friday,6:00,17
Friday,7:00,11
Friday,8:00,11
Friday,9:00,12
Friday,10:00,8
Friday,11:00,4
Friday,12:00,6
Friday,13:00,2
Friday,14:00,6
Friday,15:00,16
Friday,16:00,22
Friday,17:00,20
Friday,18:00,21
Friday,19:00,23
Friday,20:00,27
Friday,21:00,24
Friday,22:00,35
Friday,23:00,32
Saturday,0:00,22
Saturday,1:00,36
Saturday,2:00,20
Saturday,3:00,36
Saturday,4:00,23
Saturday,5:00,21
Saturday,6:00,27
Saturday,7:00,34
Saturday,8:00,17
Saturday,9:00,18
Saturday,10:00,13
Saturday,11:00,11
Saturday,12:00,7
Saturday,13:00,12
Saturday,14:00,8
Saturday,15:00,21
Saturday,16:00,24
Saturday,17:00,29
Saturday,18:00,25
Saturday,19:00,36
Saturday,20:00,31
Saturday,21:00,23
Saturday,22:00,27
Saturday,23:00,29
Sunday,0:00,35
Sunday,1:00,32
Sunday,2:00,14
Sunday,3:00,28
Sunday,4:00,27
Sunday,5:00,21
Sunday,6:00,19
Sunday,7:00,23
Sunday,8:00,24
Sunday,9:00,11
Sunday,10:00,14
Sunday,11:00,7
Sunday,12:00,6
Sunday,13:00,9
Sunday,14:00,8
Sunday,15:00,12
Sunday,16:00,22
Sunday,17:00,29
Sunday,18:00,34
Sunday,19:00,38
Sunday,20:00,30
Sunday,21:00,27
Sunday,22:00,24
Sunday,23:00,26
