x,y,value
Monday,0:00,27
Monday,1:00,23
Monday,2:00,27
Monday,3:00,17
Monday,4:00,14
Monday,5:00,10
Monday,6:00,4
Monday,7:00,4
Monday,8:00,1
Monday,9:00,0
Monday,10:00,0
Monday,11:00,2
Monday,12:00,1
Monday,13:00,0
Monday,14:00,0
Monday,15:00,6
Monday,16:00,10
Monday,17:00,11
Monday,18:00,20
Monday,19:00,15
Monday,20:00,14
Monday,21:00,12
Monday,22:00,10
Monday,23:00,10
Tuesday,0:00,24
Tuesday,1:00,12
Tuesday,2:00,13
Tuesday,3:00,8
Tuesday,4:00,9
Tuesday,5:00,11
Tuesday,6:00,9
Tuesday,7:00,5
Tuesday,8:00,1
Tuesday,9:00,0
Tuesday,10:00,2
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,4
Tuesday,15:00,5
Tuesday,16:00,7
Tuesday,17:00,9
Tuesday,18:00,5
Tuesday,19:00,20
Tuesday,20:00,20
Tuesday,21:00,14
Tuesday,22:00,6
Tuesday,23:00,17
Wednesday,0:00,24
Wednesday,1:00,28
Wednesday,2:00,37
Wednesday,3:00,17
Wednesday,4:00,21
Wednesday,5:00,12
Wednesday,6:00,9
Wednesday,7:00,3
Wednesday,8:00,0
Wednesday,9:00,1
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,1
Wednesday,13:00,2
Wednesday,14:00,2
Wednesday,15:00,8
Wednesday,16:00,12
Wednesday,17:00,8
Wednesday,18:00,17
Wednesday,19:00,15
Wednesday,20:00,14
Wednesday,21:00,9
Wednesday,22:00,7
Wednesday,23:00,10
Thursday,0:00,19
Thursday,1:00,16
Thursday,2:00,15
Thursday,3:00,19
Thursday,4:00,11
Thursday,5:00,7
Thursday,6:00,6
Thursday,7:00,2
Thursday,8:00,2
Thursday,9:00,3
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,1
Thursday,14:00,8
Thursday,15:00,16
Thursday,16:00,6
Thursday,17:00,13
Thursday,18:00,14
Thursday,19:00,17
Thursday,20:00,14
Thursday,21:00,15
Thursday,22:00,17
Thursday,23:00,23
Friday,0:00,14
Friday,1:00,14
Friday,2:00,23
Friday,3:00,33
Friday,4:00,20
Friday,5:00,15
Friday,6:00,10
Friday,7:00,8
Friday,8:00,4
Friday,9:00,0
Friday,10:00,1
Friday,11:00,1
Friday,12:00,1
Friday,13:00,3
Friday,14:00,3
Friday,15:00,8
Friday,16:00,11
Friday,17:00,15
Friday,18:00,11
Friday,19:00,21
Friday,20:00,18
Friday,21:00,15
Friday,22:00,23
Friday,23:00,20
Saturday,0:00,27
Saturday,1:00,36
Saturday,2:00,35
Saturday,3:00,24
Saturday,4:00,29
Saturday,5:00,21
Saturday,6:00,9
Saturday,7:00,17
Saturday,8:00,7
Saturday,9:00,2
Saturday,10:00,2
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,4
Saturday,15:00,3
Saturday,16:00,12
Saturday,17:00,18
Saturday,18:00,27
Saturday,19:00,33
Saturday,20:00,36
Saturday,21:00,32
Saturday,22:00,21
Saturday,23:00,25
Sunday,0:00,37
Sunday,1:00,44
Sunday,2:00,49
Sunday,3:00,31
Sunday,4:00,18
Sunday,5:00,33
Sunday,6:00,14
Sunday,7:00,10
Sunday,8:00,13
Sunday,9:00,4
Sunday,10:00,2
Sunday,11:00,0
Sunday,12:00,1
Sunday,13:00,2
Sunday,14:00,8
Sunday,15:00,21
Sunday,16:00,17
Sunday,17:00,26
Sunday,18:00,26
Sunday,19:00,31
Sunday,20:00,27
Sunday,21:00,21
Sunday,22:00,26
Sunday,23:00,23
