x,y,value
Monday,0:00,14
Monday,1:00,15
Monday,2:00,20
Monday,3:00,16
Monday,4:00,11
Monday,5:00,5
Monday,6:00,1
Monday,7:00,1
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,6
Monday,13:00,14
Monday,14:00,42
Monday,15:00,42
Monday,16:00,24
Monday,17:00,10
Monday,18:00,31
Monday,19:00,20
Monday,20:00,20
Monday,21:00,18
Monday,22:00,36
Monday,23:00,21
Tuesday,0:00,39
Tuesday,1:00,54
Tuesday,2:00,82
Tuesday,3:00,63
Tuesday,4:00,23
Tuesday,5:00,15
Tuesday,6:00,10
Tuesday,7:00,6
Tuesday,8:00,3
Tuesday,9:00,2
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,5
Tuesday,13:00,15
Tuesday,14:00,38
Tuesday,15:00,42
Tuesday,16:00,33
Tuesday,17:00,12
Tuesday,18:00,30
Tuesday,19:00,16
Tuesday,20:00,20
Tuesday,21:00,13
Tuesday,22:00,21
Tuesday,23:00,23
Wednesday,0:00,36
Wednesday,1:00,47
Wednesday,2:00,58
Wednesday,3:00,40
Wednesday,4:00,19
Wednesday,5:00,14
Wednesday,6:00,15
Wednesday,7:00,6
Wednesday,8:00,0
Wednesday,9:00,2
Wednesday,10:00,0
Wednesday,11:00,1
Wednesday,12:00,4
Wednesday,13:00,14
Wednesday,14:00,40
Wednesday,15:00,38
Wednesday,16:00,29
Wednesday,17:00,24
Wednesday,18:00,15
Wednesday,19:00,21
Wednesday,20:00,16
Wednesday,21:00,23
Wednesday,22:00,18
Wednesday,23:00,27
Thursday,0:00,37
Thursday,1:00,46
Thursday,2:00,77
Thursday,3:00,65
Thursday,4:00,18
Thursday,5:00,15
Thursday,6:00,12
Thursday,7:00,8
Thursday,8:00,2
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,7
Thursday,13:00,9
Thursday,14:00,40
Thursday,15:00,42
Thursday,16:00,22
Thursday,17:00,25
Thursday,18:00,29
Thursday,19:00,19
Thursday,20:00,16
Thursday,21:00,18
Thursday,22:00,24
Thursday,23:00,23
Friday,0:00,42
Friday,1:00,44
Friday,2:00,37
Friday,3:00,47
Friday,4:00,23
Friday,5:00,12
Friday,6:00,18
Friday,7:00,9
Friday,8:00,1
Friday,9:00,1
Friday,10:00,1
Friday,11:00,0
Friday,12:00,4
Friday,13:00,7
Friday,14:00,35
Friday,15:00,48
Friday,16:00,15
Friday,17:00,22
Friday,18:00,22
Friday,19:00,10
Friday,20:00,15
Friday,21:00,14
Friday,22:00,15
Friday,23:00,24
Saturday,0:00,33
Saturday,1:00,50
Saturday,2:00,62
Saturday,3:00,30
Saturday,4:00,18
Saturday,5:00,11
Saturday,6:00,11
Saturday,7:00,4
Saturday,8:00,1
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,5
Saturday,15:00,24
Saturday,16:00,23
Saturday,17:00,33
Saturday,18:00,33
Saturday,19:00,29
Saturday,20:00,23
Saturday,21:00,9
Saturday,22:00,16
Saturday,23:00,19
Sunday,0:00,22
Sunday,1:00,11
Sunday,2:00,18
Sunday,3:00,25
Sunday,4:00,13
Sunday,5:00,3
Sunday,6:00,1
Sunday,7:00,1
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,1
Sunday,15:00,0
Sunday,16:00,11
Sunday,17:00,14
Sunday,18:00,5
Sunday,19:00,14
Sunday,20:00,8
Sunday,21:00,14
Sunday,22:00,17
Sunday,23:00,13
