x,y,value
Monday,0:00,65
Monday,1:00,44
Monday,2:00,43
Monday,3:00,18
Monday,4:00,26
Monday,5:00,22
Monday,6:00,8
Monday,7:00,16
Monday,8:00,6
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,0
Monday,16:00,0
Monday,17:00,1
Monday,18:00,26
Monday,19:00,92
Monday,20:00,10
Monday,21:00,4
Monday,22:00,4
Monday,23:00,16
Tuesday,0:00,44
Tuesday,1:00,38
Tuesday,2:00,25
Tuesday,3:00,16
Tuesday,4:00,8
Tuesday,5:00,8
Tuesday,6:00,5
Tuesday,7:00,4
Tuesday,8:00,1
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,0
Tuesday,18:00,37
Tuesday,19:00,81
Tuesday,20:00,7
Tuesday,21:00,3
Tuesday,22:00,9
Tuesday,23:00,43
Wednesday,0:00,146
Wednesday,1:00,114
Wednesday,2:00,73
Wednesday,3:00,20
Wednesday,4:00,25
Wednesday,5:00,24
Wednesday,6:00,14
Wednesday,7:00,5
Wednesday,8:00,5
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,0
Wednesday,16:00,0
Wednesday,17:00,0
Wednesday,18:00,26
Wednesday,19:00,106
Wednesday,20:00,13
Wednesday,21:00,7
Wednesday,22:00,4
Wednesday,23:00,48
Thursday,0:00,175
Thursday,1:00,157
Thursday,2:00,87
Thursday,3:00,82
Thursday,4:00,59
Thursday,5:00,17
Thursday,6:00,29
Thursday,7:00,12
Thursday,8:00,3
Thursday,9:00,2
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,1
Thursday,16:00,0
Thursday,17:00,1
Thursday,18:00,51
Thursday,19:00,134
Thursday,20:00,13
Thursday,21:00,4
Thursday,22:00,16
Thursday,23:00,71
Friday,0:00,258
Friday,1:00,218
Friday,2:00,143
Friday,3:00,86
Friday,4:00,90
Friday,5:00,59
Friday,6:00,35
Friday,7:00,28
Friday,8:00,9
Friday,9:00,0
Friday,10:00,0
Friday,11:00,1
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,0
Friday,16:00,0
Friday,17:00,1
Friday,18:00,71
Friday,19:00,244
Friday,20:00,36
Friday,21:00,16
Friday,22:00,54
Friday,23:00,300
Saturday,0:00,857
Saturday,1:00,725
Saturday,2:00,353
Saturday,3:00,178
Saturday,4:00,123
Saturday,5:00,106
Saturday,6:00,134
Saturday,7:00,101
Saturday,8:00,66
Saturday,9:00,7
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,1
Saturday,16:00,1
Saturday,17:00,2
Saturday,18:00,29
Saturday,19:00,41
Saturday,20:00,48
Saturday,21:00,62
Saturday,22:00,100
Saturday,23:00,94
Sunday,0:00,87
Sunday,1:00,115
Sunday,2:00,99
Sunday,3:00,83
Sunday,4:00,109
Sunday,5:00,136
Sunday,6:00,180
Sunday,7:00,162
Sunday,8:00,72
Sunday,9:00,3
Sunday,10:00,2
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,1
Sunday,16:00,2
Sunday,17:00,9
Sunday,18:00,29
Sunday,19:00,35
Sunday,20:00,49
Sunday,21:00,50
Sunday,22:00,45
Sunday,23:00,62
