x,y,value
Monday,0:00,11
Monday,1:00,4
Monday,2:00,7
Monday,3:00,4
Monday,4:00,8
Monday,5:00,22
Monday,6:00,27
Monday,7:00,15
Monday,8:00,18
Monday,9:00,6
Monday,10:00,5
Monday,11:00,2
Monday,12:00,1
Monday,13:00,1
Monday,14:00,0
Monday,15:00,0
Monday,16:00,1
Monday,17:00,2
Monday,18:00,1
Monday,19:00,2
Monday,20:00,2
Monday,21:00,3
Monday,22:00,2
Monday,23:00,2
Tuesday,0:00,2
Tuesday,1:00,1
Tuesday,2:00,7
Tuesday,3:00,4
Tuesday,4:00,2
Tuesday,5:00,5
Tuesday,6:00,9
Tuesday,7:00,11
Tuesday,8:00,4
Tuesday,9:00,1
Tuesday,10:00,1
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,1
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,0
Tuesday,18:00,0
Tuesday,19:00,0
Tuesday,20:00,2
Tuesday,21:00,1
Tuesday,22:00,0
Tuesday,23:00,0
Wednesday,0:00,7
Wednesday,1:00,8
Wednesday,2:00,10
Wednesday,3:00,10
Wednesday,4:00,8
Wednesday,5:00,5
Wednesday,6:00,8
Wednesday,7:00,15
Wednesday,8:00,8
Wednesday,9:00,0
Wednesday,10:00,1
Wednesday,11:00,1
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,0
Wednesday,16:00,0
Wednesday,17:00,0
Wednesday,18:00,4
Wednesday,19:00,3
Wednesday,20:00,0
Wednesday,21:00,2
Wednesday,22:00,1
Wednesday,23:00,1
Thursday,0:00,1
Thursday,1:00,4
Thursday,2:00,8
Thursday,3:00,8
Thursday,4:00,27
Thursday,5:00,111
Thursday,6:00,254
Thursday,7:00,308
Thursday,8:00,174
Thursday,9:00,106
Thursday,10:00,55
Thursday,11:00,16
Thursday,12:00,5
Thursday,13:00,3
Thursday,14:00,0
Thursday,15:00,1
Thursday,16:00,2
Thursday,17:00,3
Thursday,18:00,1
Thursday,19:00,4
Thursday,20:00,0
Thursday,21:00,4
Thursday,22:00,1
Thursday,23:00,0
Friday,0:00,3
Friday,1:00,6
Friday,2:00,5
Friday,3:00,4
Friday,4:00,19
Friday,5:00,73
Friday,6:00,113
Friday,7:00,96
Friday,8:00,63
Friday,9:00,41
Friday,10:00,14
Friday,11:00,5
Friday,12:00,6
Friday,13:00,2
Friday,14:00,1
Friday,15:00,1
Friday,16:00,0
Friday,17:00,3
Friday,18:00,3
Friday,19:00,1
Friday,20:00,8
Friday,21:00,2
Friday,22:00,2
Friday,23:00,8
Saturday,0:00,3
Saturday,1:00,7
Saturday,2:00,8
Saturday,3:00,13
Saturday,4:00,34
Saturday,5:00,215
Saturday,6:00,370
Saturday,7:00,400
Saturday,8:00,260
Saturday,9:00,134
Saturday,10:00,112
Saturday,11:00,32
Saturday,12:00,10
Saturday,13:00,4
Saturday,14:00,2
Saturday,15:00,1
Saturday,16:00,5
Saturday,17:00,5
Saturday,18:00,8
Saturday,19:00,7
Saturday,20:00,5
Saturday,21:00,2
Saturday,22:00,4
Saturday,23:00,6
Sunday,0:00,4
Sunday,1:00,5
Sunday,2:00,3
Sunday,3:00,11
Sunday,4:00,51
Sunday,5:00,316
Sunday,6:00,530
Sunday,7:00,465
Sunday,8:00,235
Sunday,9:00,155
Sunday,10:00,83
Sunday,11:00,22
Sunday,12:00,13
Sunday,13:00,1
Sunday,14:00,1
Sunday,15:00,5
Sunday,16:00,5
Sunday,17:00,6
Sunday,18:00,6
Sunday,19:00,8
Sunday,20:00,7
Sunday,21:00,6
Sunday,22:00,3
Sunday,23:00,4
