x,y,value
Monday,0:00,20
Monday,1:00,21
Monday,2:00,19
Monday,3:00,15
Monday,4:00,4
Monday,5:00,8
Monday,6:00,2
Monday,7:00,0
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,1
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,2
Monday,16:00,7
Monday,17:00,10
Monday,18:00,13
Monday,19:00,10
Monday,20:00,22
Monday,21:00,30
Monday,22:00,17
Monday,23:00,18
Tuesday,0:00,22
Tuesday,1:00,18
Tuesday,2:00,21
Tuesday,3:00,16
Tuesday,4:00,16
Tuesday,5:00,7
Tuesday,6:00,1
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,3
Tuesday,16:00,7
Tuesday,17:00,9
Tuesday,18:00,17
Tuesday,19:00,21
Tuesday,20:00,17
Tuesday,21:00,16
Tuesday,22:00,16
Tuesday,23:00,16
Wednesday,0:00,25
Wednesday,1:00,26
Wednesday,2:00,21
Wednesday,3:00,12
Wednesday,4:00,13
Wednesday,5:00,2
Wednesday,6:00,0
Wednesday,7:00,0
Wednesday,8:00,0
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,3
Wednesday,16:00,11
Wednesday,17:00,19
Wednesday,18:00,8
Wednesday,19:00,25
Wednesday,20:00,22
Wednesday,21:00,25
Wednesday,22:00,11
Wednesday,23:00,22
Thursday,0:00,27
Thursday,1:00,25
Thursday,2:00,31
Thursday,3:00,22
Thursday,4:00,21
Thursday,5:00,10
Thursday,6:00,1
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,1
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,5
Thursday,16:00,9
Thursday,17:00,5
Thursday,18:00,14
Thursday,19:00,15
Thursday,20:00,11
Thursday,21:00,29
Thursday,22:00,12
Thursday,23:00,21
Friday,0:00,21
Friday,1:00,25
Friday,2:00,23
Friday,3:00,24
Friday,4:00,11
Friday,5:00,8
Friday,6:00,0
Friday,7:00,3
Friday,8:00,1
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,1
Friday,13:00,0
Friday,14:00,0
Friday,15:00,4
Friday,16:00,11
Friday,17:00,14
Friday,18:00,24
Friday,19:00,26
Friday,20:00,31
Friday,21:00,24
Friday,22:00,18
Friday,23:00,27
Saturday,0:00,30
Saturday,1:00,28
Saturday,2:00,26
Saturday,3:00,30
Saturday,4:00,28
Saturday,5:00,11
Saturday,6:00,1
Saturday,7:00,0
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,1
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,18
Saturday,16:00,18
Saturday,17:00,20
Saturday,18:00,19
Saturday,19:00,13
Saturday,20:00,26
Saturday,21:00,15
Saturday,22:00,25
Saturday,23:00,31
Sunday,0:00,33
Sunday,1:00,31
Sunday,2:00,22
Sunday,3:00,20
Sunday,4:00,20
Sunday,5:00,9
Sunday,6:00,0
Sunday,7:00,2
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,1
Sunday,13:00,0
Sunday,14:00,1
Sunday,15:00,4
Sunday,16:00,6
Sunday,17:00,13
Sunday,18:00,16
Sunday,19:00,11
Sunday,20:00,21
Sunday,21:00,19
Sunday,22:00,27
Sunday,23:00,17
