x,y,value
Monday,0:00,26
Monday,1:00,47
Monday,2:00,18
Monday,3:00,13
Monday,4:00,0
Monday,5:00,0
Monday,6:00,0
Monday,7:00,0
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,0
Monday,16:00,2
Monday,17:00,0
Monday,18:00,22
Monday,19:00,22
Monday,20:00,11
Monday,21:00,0
Monday,22:00,2
Monday,23:00,3
Tuesday,0:00,15
Tuesday,1:00,28
Tuesday,2:00,28
Tuesday,3:00,7
Tuesday,4:00,2
Tuesday,5:00,0
Tuesday,6:00,0
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,1
Tuesday,17:00,0
Tuesday,18:00,27
Tuesday,19:00,25
Tuesday,20:00,8
Tuesday,21:00,2
Tuesday,22:00,1
Tuesday,23:00,3
Wednesday,0:00,13
Wednesday,1:00,37
Wednesday,2:00,34
Wednesday,3:00,13
Wednesday,4:00,0
Wednesday,5:00,0
Wednesday,6:00,0
Wednesday,7:00,0
Wednesday,8:00,0
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,1
Wednesday,13:00,0
Wednesday,14:00,1
Wednesday,15:00,0
Wednesday,16:00,1
Wednesday,17:00,3
Wednesday,18:00,15
Wednesday,19:00,18
Wednesday,20:00,14
Wednesday,21:00,2
Wednesday,22:00,1
Wednesday,23:00,2
Thursday,0:00,21
Thursday,1:00,44
Thursday,2:00,31
Thursday,3:00,15
Thursday,4:00,2
Thursday,5:00,1
Thursday,6:00,0
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,1
Thursday,14:00,0
Thursday,15:00,1
Thursday,16:00,1
Thursday,17:00,0
Thursday,18:00,24
Thursday,19:00,28
Thursday,20:00,12
Thursday,21:00,2
Thursday,22:00,2
Thursday,23:00,0
Friday,0:00,28
Friday,1:00,32
Friday,2:00,31
Friday,3:00,16
Friday,4:00,0
Friday,5:00,0
Friday,6:00,0
Friday,7:00,0
Friday,8:00,0
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,1
Friday,15:00,1
Friday,16:00,0
Friday,17:00,0
Friday,18:00,39
Friday,19:00,34
Friday,20:00,24
Friday,21:00,5
Friday,22:00,1
Friday,23:00,2
Saturday,0:00,40
Saturday,1:00,53
Saturday,2:00,78
Saturday,3:00,53
Saturday,4:00,28
Saturday,5:00,1
Saturday,6:00,0
Saturday,7:00,0
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,0
Saturday,16:00,1
Saturday,17:00,0
Saturday,18:00,9
Saturday,19:00,19
Saturday,20:00,18
Saturday,21:00,13
Saturday,22:00,11
Saturday,23:00,11
Sunday,0:00,26
Sunday,1:00,54
Sunday,2:00,39
Sunday,3:00,34
Sunday,4:00,16
Sunday,5:00,1
Sunday,6:00,0
Sunday,7:00,0
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,0
Sunday,16:00,0
Sunday,17:00,0
Sunday,18:00,0
Sunday,19:00,19
Sunday,20:00,23
Sunday,21:00,2
Sunday,22:00,6
Sunday,23:00,5
