x,y,value
Monday,0:00,12
Monday,1:00,16
Monday,2:00,8
Monday,3:00,21
Monday,4:00,22
Monday,5:00,19
Monday,6:00,18
Monday,7:00,8
Monday,8:00,1
Monday,9:00,1
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,0
Monday,16:00,0
Monday,17:00,0
Monday,18:00,6
Monday,19:00,8
Monday,20:00,12
Monday,21:00,10
Monday,22:00,10
Monday,23:00,11
Tuesday,0:00,10
Tuesday,1:00,12
Tuesday,2:00,14
Tuesday,3:00,15
Tuesday,4:00,29
Tuesday,5:00,22
Tuesday,6:00,9
Tuesday,7:00,5
Tuesday,8:00,6
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,1
Tuesday,18:00,9
Tuesday,19:00,8
Tuesday,20:00,7
Tuesday,21:00,5
Tuesday,22:00,2
Tuesday,23:00,2
Wednesday,0:00,15
Wednesday,1:00,14
Wednesday,2:00,13
Wednesday,3:00,17
Wednesday,4:00,22
Wednesday,5:00,21
Wednesday,6:00,20
Wednesday,7:00,10
Wednesday,8:00,4
Wednesday,9:00,1
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,0
Wednesday,16:00,0
Wednesday,17:00,1
Wednesday,18:00,1
Wednesday,19:00,8
Wednesday,20:00,5
Wednesday,21:00,4
Wednesday,22:00,4
Wednesday,23:00,10
Thursday,0:00,15
Thursday,1:00,16
Thursday,2:00,32
Thursday,3:00,27
Thursday,4:00,33
Thursday,5:00,21
Thursday,6:00,25
Thursday,7:00,7
Thursday,8:00,5
Thursday,9:00,1
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,1
Thursday,16:00,0
Thursday,17:00,1
Thursday,18:00,9
Thursday,19:00,22
Thursday,20:00,10
Thursday,21:00,2
Thursday,22:00,4
Thursday,23:00,6
Friday,0:00,18
Friday,1:00,23
Friday,2:00,31
Friday,3:00,29
Friday,4:00,33
Friday,5:00,37
Friday,6:00,19
Friday,7:00,10
Friday,8:00,13
Friday,9:00,2
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,0
Friday,16:00,0
Friday,17:00,8
Friday,18:00,16
Friday,19:00,31
Friday,20:00,17
Friday,21:00,6
Friday,22:00,16
Friday,23:00,11
Saturday,0:00,33
Saturday,1:00,28
Saturday,2:00,42
Saturday,3:00,48
Saturday,4:00,71
Saturday,5:00,71
Saturday,6:00,53
Saturday,7:00,48
Saturday,8:00,22
Saturday,9:00,1
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,0
Saturday,16:00,0
Saturday,17:00,6
Saturday,18:00,9
Saturday,19:00,15
Saturday,20:00,15
Saturday,21:00,15
Saturday,22:00,39
Saturday,23:00,29
Sunday,0:00,32
Sunday,1:00,48
Sunday,2:00,38
Sunday,3:00,38
Sunday,4:00,59
Sunday,5:00,69
Sunday,6:00,69
Sunday,7:00,46
Sunday,8:00,33
Sunday,9:00,2
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,0
Sunday,16:00,1
Sunday,17:00,3
Sunday,18:00,5
Sunday,19:00,8
Sunday,20:00,10
Sunday,21:00,19
Sunday,22:00,11
Sunday,23:00,13
