x,y,value
Monday,0:00,17
Monday,1:00,28
Monday,2:00,16
Monday,3:00,5
Monday,4:00,13
Monday,5:00,1
Monday,6:00,2
Monday,7:00,0
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,0
Monday,13:00,0
Monday,14:00,0
Monday,15:00,0
Monday,16:00,0
Monday,17:00,0
Monday,18:00,5
Monday,19:00,6
Monday,20:00,13
Monday,21:00,10
Monday,22:00,3
Monday,23:00,8
Tuesday,0:00,9
Tuesday,1:00,22
Tuesday,2:00,17
Tuesday,3:00,12
Tuesday,4:00,4
Tuesday,5:00,1
Tuesday,6:00,4
Tuesday,7:00,1
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,0
Tuesday,14:00,0
Tuesday,15:00,0
Tuesday,16:00,0
Tuesday,17:00,0
Tuesday,18:00,4
Tuesday,19:00,6
Tuesday,20:00,5
Tuesday,21:00,4
Tuesday,22:00,2
Tuesday,23:00,6
Wednesday,0:00,9
Wednesday,1:00,15
Wednesday,2:00,23
Wednesday,3:00,13
Wednesday,4:00,5
Wednesday,5:00,7
Wednesday,6:00,2
Wednesday,7:00,2
Wednesday,8:00,0
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,1
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,0
Wednesday,16:00,0
Wednesday,17:00,1
Wednesday,18:00,4
Wednesday,19:00,14
Wednesday,20:00,11
Wednesday,21:00,5
Wednesday,22:00,2
Wednesday,23:00,6
Thursday,0:00,13
Thursday,1:00,19
Thursday,2:00,20
Thursday,3:00,11
Thursday,4:00,10
Thursday,5:00,9
Thursday,6:00,3
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,1
Thursday,13:00,0
Thursday,14:00,0
Thursday,15:00,0
Thursday,16:00,1
Thursday,17:00,1
Thursday,18:00,1
Thursday,19:00,6
Thursday,20:00,9
Thursday,21:00,6
Thursday,22:00,2
Thursday,23:00,8
Friday,0:00,15
Friday,1:00,25
Friday,2:00,23
Friday,3:00,16
Friday,4:00,9
Friday,5:00,6
Friday,6:00,5
Friday,7:00,1
Friday,8:00,0
Friday,9:00,0
Friday,10:00,0
Friday,11:00,0
Friday,12:00,0
Friday,13:00,0
Friday,14:00,0
Friday,15:00,1
Friday,16:00,0
Friday,17:00,1
Friday,18:00,6
Friday,19:00,8
Friday,20:00,10
Friday,21:00,6
Friday,22:00,8
Friday,23:00,9
Saturday,0:00,22
Saturday,1:00,36
Saturday,2:00,33
Saturday,3:00,21
Saturday,4:00,8
Saturday,5:00,7
Saturday,6:00,5
Saturday,7:00,5
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,0
Saturday,12:00,0
Saturday,13:00,0
Saturday,14:00,0
Saturday,15:00,0
Saturday,16:00,0
Saturday,17:00,0
Saturday,18:00,1
Saturday,19:00,12
Saturday,20:00,15
Saturday,21:00,13
Saturday,22:00,16
Saturday,23:00,17
Sunday,0:00,15
Sunday,1:00,31
Sunday,2:00,31
Sunday,3:00,16
Sunday,4:00,14
Sunday,5:00,8
Sunday,6:00,7
Sunday,7:00,0
Sunday,8:00,1
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,0
Sunday,15:00,0
Sunday,16:00,0
Sunday,17:00,5
Sunday,18:00,9
Sunday,19:00,8
Sunday,20:00,11
Sunday,21:00,16
Sunday,22:00,15
Sunday,23:00,7
