x,y,value
Monday,0:00,3
Monday,1:00,4
Monday,2:00,6
Monday,3:00,7
Monday,4:00,1
Monday,5:00,0
Monday,6:00,0
Monday,7:00,0
Monday,8:00,0
Monday,9:00,0
Monday,10:00,0
Monday,11:00,0
Monday,12:00,1
Monday,13:00,5
Monday,14:00,2
Monday,15:00,12
Monday,16:00,5
Monday,17:00,20
Monday,18:00,25
Monday,19:00,32
Monday,20:00,31
Monday,21:00,42
Monday,22:00,10
Monday,23:00,14
Tuesday,0:00,16
Tuesday,1:00,9
Tuesday,2:00,3
Tuesday,3:00,4
Tuesday,4:00,0
Tuesday,5:00,0
Tuesday,6:00,0
Tuesday,7:00,0
Tuesday,8:00,0
Tuesday,9:00,0
Tuesday,10:00,0
Tuesday,11:00,0
Tuesday,12:00,0
Tuesday,13:00,2
Tuesday,14:00,2
Tuesday,15:00,3
Tuesday,16:00,9
Tuesday,17:00,14
Tuesday,18:00,4
Tuesday,19:00,21
Tuesday,20:00,13
Tuesday,21:00,24
Tuesday,22:00,10
Tuesday,23:00,8
Wednesday,0:00,4
Wednesday,1:00,5
Wednesday,2:00,5
Wednesday,3:00,1
Wednesday,4:00,0
Wednesday,5:00,0
Wednesday,6:00,0
Wednesday,7:00,0
Wednesday,8:00,0
Wednesday,9:00,0
Wednesday,10:00,0
Wednesday,11:00,0
Wednesday,12:00,0
Wednesday,13:00,0
Wednesday,14:00,0
Wednesday,15:00,2
Wednesday,16:00,9
Wednesday,17:00,10
Wednesday,18:00,12
Wednesday,19:00,14
Wednesday,20:00,4
Wednesday,21:00,5
Wednesday,22:00,5
Wednesday,23:00,0
Thursday,0:00,10
Thursday,1:00,4
Thursday,2:00,3
Thursday,3:00,3
Thursday,4:00,0
Thursday,5:00,0
Thursday,6:00,0
Thursday,7:00,0
Thursday,8:00,0
Thursday,9:00,0
Thursday,10:00,0
Thursday,11:00,0
Thursday,12:00,0
Thursday,13:00,0
Thursday,14:00,3
Thursday,15:00,6
Thursday,16:00,6
Thursday,17:00,3
Thursday,18:00,15
Thursday,19:00,16
Thursday,20:00,9
Thursday,21:00,8
Thursday,22:00,17
Thursday,23:00,10
Friday,0:00,1
Friday,1:00,2
Friday,2:00,2
Friday,3:00,2
Friday,4:00,1
Friday,5:00,0
Friday,6:00,0
Friday,7:00,0
Friday,8:00,0
Friday,9:00,6
Friday,10:00,2
Friday,11:00,5
Friday,12:00,1
Friday,13:00,3
Friday,14:00,2
Friday,15:00,12
Friday,16:00,5
Friday,17:00,16
Friday,18:00,23
Friday,19:00,5
Friday,20:00,4
Friday,21:00,2
Friday,22:00,1
Friday,23:00,3
Saturday,0:00,5
Saturday,1:00,6
Saturday,2:00,2
Saturday,3:00,1
Saturday,4:00,0
Saturday,5:00,0
Saturday,6:00,0
Saturday,7:00,0
Saturday,8:00,0
Saturday,9:00,0
Saturday,10:00,0
Saturday,11:00,1
Saturday,12:00,5
Saturday,13:00,2
Saturday,14:00,12
Saturday,15:00,5
Saturday,16:00,16
Saturday,17:00,10
Saturday,18:00,17
Saturday,19:00,9
Saturday,20:00,7
Saturday,21:00,6
Saturday,22:00,7
Saturday,23:00,2
Sunday,0:00,3
Sunday,1:00,4
Sunday,2:00,5
Sunday,3:00,1
Sunday,4:00,0
Sunday,5:00,0
Sunday,6:00,0
Sunday,7:00,0
Sunday,8:00,0
Sunday,9:00,0
Sunday,10:00,0
Sunday,11:00,0
Sunday,12:00,0
Sunday,13:00,0
Sunday,14:00,6
Sunday,15:00,2
Sunday,16:00,9
Sunday,17:00,4
Sunday,18:00,4
Sunday,19:00,25
Sunday,20:00,23
Sunday,21:00,12
Sunday,22:00,5
Sunday,23:00,3
