id address RestaurantID Checkins Recommended Name range Rating Reviews
0 "627 E Green St" kyXEnWKQGWSThY6EcjORuw 195.0 "Consider this to visit!" "Zorba's Restaurant" 4.0 3.9 109
1 "39 E Green St" gEJZ5USuvC1r8_QvSvDCNA 82.0 "Moderately recommended!" K-Bowl 4.0 3.7 50
2 "2110 N Prospect Ave" aFJ8NSdpJi9LcaMm6ICowQ 52.0 "Not everyone likes it!" "Burger King" 2.0 1.5 14
3 "1905 S Neil St" qQu--8A6Ic0rytLfI1r4dg 15.0 "Not everyone likes it!" Wendy's 2.0 1.7 3
4 "705 N Neil St" fY0Dpw5a3i1CMjMuT2SaDQ 7.0 "Okay-ish Restaurant!" "Holy Land Mediterranean Grill" 4.0 3.6 27
5 "1 E Main St, Ste 101" dn9lwYUxmhs_mLKPu7L25Q 504.0 "Must visit!" "Big Grove Tavern" 3.0 3.5 286
6 "612 E Daniel St" a1sp-PiwbAthYG1JR8NfLg 41.0 "Not everyone likes it!" "Silver Mine Subs" 4.0 3.6 18
7 "2402 N Prospect Ave" KGpsB2dsdkxl8SGVUlJbZw 101.0 "Okay-ish Restaurant!" "Outback Steakhouse" 3.0 3.2 47
8 "1502 N Prospect Ave" 9zGkU1ahmYCn3DlnKOXhqA 41.0 "Not everyone likes it!" Arby's 4.0 4.3 3
9 "421 Town Center Rd" o9nGD3J0btXjE9M6IdgZTA 72.0 "Okay-ish Restaurant!" "McAlister's Deli" 3.0 3.0 45
10 "2 E Main St" F1qPjasn0R6-j8sa6iYNmA 242.0 "Moderately recommended!" "Guido's Bar & Grill" 3.0 3.0 102
11 "607 S 6th St" 1qQ5VkxiBUjbGGdpBN-PUQ 44.0 "Not everyone likes it!" "Spicy Tang" 3.0 2.7 17
12 "201 N Neil St" hP2DOm7E2H4P7MOS7XN_SQ 38.0 "Moderately recommended!" "Hamilton Walker's" 3.0 3.1 106
13 "616 E Green St" SViPlfsmwqvWNxZuVOgOMQ 31.0 "Not everyone likes it!" Subway 2.0 2.3 10
14 "2501 Village Green Pl" JoHDOuZ1BnFi63PgC_zYeQ 5.0 "Not everyone likes it!" "Amaravati  Indian Royal Cuisine" 3.0 3.4 11
15 "1 E Main St" -LfTBo0oa_uD454ScEW2XA 119.0 "Okay-ish Restaurant!" "Merry Ann's Diner" 3.0 3.2 46
16 "2225 S Neil St" lZ0W0-pQyS35ahsrZezNiw 15.0 "Okay-ish Restaurant!" "Natural Gourmet" 5.0 4.8 8
17 "2301 North Prospect Avenue" 9HP13JaP9nmN3qX5v0jamw 69.0 "Not everyone likes it!" "Ruby Tuesday" 3.0 2.9 32
18 "33 E Green St" sYf2auhosrx8trbyP9nGyw 50.0 "Okay-ish Restaurant!" "DP Dough" 3.0 3.0 50
19 "623 E Green St" yLKoESPQ8BN7dn6ADzZicQ 73.0 "Okay-ish Restaurant!" "Casablanca Kabab House" 3.0 3.4 42
20 "100 Trade Centre Dr" SvxSoyZn0WW0c7bFLIYfMA 27.0 "Okay-ish Restaurant!" "Baxter's American Grille" 4.0 4.1 31
21 "1901 N Prospect Ave" nsSfCKW9KDB4COj9bzXApw 176.0 "Okay-ish Restaurant!" "Red Lobster" 3.0 3.0 48
22 "901 W Anthony Dr" _zviKOPGw65MAnNjzFXSug 3.0 "Not everyone likes it!" "Lone Star Steakhouse & Saloon" 3.0 3.0 3
23 "100 Trade Centre Dr, Ste 1" rQX6RVr6E4Zg9hx8GBFGHQ 26.0 "Not everyone likes it!" "TGI Friday's" 3.0 3.1 16
24 "528 E Green St, Ste 101" kUICYu0N_TbtCz0Z8ynPFw 217.0 "Moderately recommended!" "Chipotle Mexican Grill" 3.0 3.1 73
25 "2501 Village Green Pl" uzpdcxvlKx5BuoWU3NRHbA 50.0 "Okay-ish Restaurant!" "Minneci's at the Crossing" 3.0 3.3 41
26 "408 E Green St, Ste 1" Z2W3K8x9cRGXvlGWerZH-w 3.0 "Not everyone likes it!" "Big Mouth's" 3.0 2.9 19
27 "55 E Green St" 8GUMO244E8CxfJcyJIWFOA 84.0 "Moderately recommended!" "El Charro" 4.0 3.8 54
28 "601 N Country Fair Dr" QayRAyqw0tvQR27rqLxPFQ 14.0 "Okay-ish Restaurant!" Leadbelly's 5.0 4.8 4
29 "2000 N. Neil Street, Space 706" Mc9sMBVNi53lqxHLCiLWiA 28.0 "Not everyone likes it!" "Taco Bell" 2.0 2.5 6
30 "1605 S Neil St" CObgcxFJuEXZZpm4Mw3z1A 111.0 "Not everyone likes it!" McDonald's 2.0 2.3 19
31 "116 N Neil St" PTQVaWA-I5ZLzwy5oBbVMg 323.0 "Consider this to visit!" "Pekara Bakery and Bistro" 3.0 3.4 141
32 "907 W Marketview Dr, Ste 8" Bfh_ON-LQUcJerjcDF5KNA 18.0 "Okay-ish Restaurant!" "Best Wok" 4.0 3.9 20
33 "601 S 6th St, Ste 104" oD1PPb-TfMIkkg77u1zCAw 6.0 "Okay-ish Restaurant!" "Salad Meister" 5.0 4.8 13
34 "1211 S Mattis" I2EHSRP50SXxvfoWc8MIWw 23.0 "Not everyone likes it!" "Little Caesar's Pizza" 3.0 2.8 6
35 "907 West Marketview Drive" 3B74iILT_W1ptfQeW7pIYQ 162.0 "Not everyone likes it!" "Buffalo Wild Wings" 3.0 2.5 33
36 "1511 W Springfield Ave" R32Yh0XxxanldkIp11fuRg 18.0 "Okay-ish Restaurant!" "BoBo's BBQ" 3.0 3.2 36
37 "211 N Neil St" S_9OaE_RBWBIXnUKvxJKsQ 139.0 "Consider this to visit!" "Watson's Shack & Rail" 4.0 4.0 125
38 "2501 N Prospect Ave" 5jXwI9WpDxGDmzmkmE0RTg 199.0 "Moderately recommended!" Oishi 3.0 3.2 103
39 "1713 W Kirby Ave" TpxCGW68bkqS5T0wnurOfw 4.0 "Not everyone likes it!" Subway 2.0 2.3 3
40 "1401 S Neil St" NpNSOfnPxJKa8_qh83NArw 6.0 "Not everyone likes it!" Subway 1.0 1.4 7
41 "32 E Chester St" L2c-qKZWumCmOCR-dqBLrg 720.0 "Must visit!" "Seven Saints" 4.0 3.9 288
42 "2101 N Prospect Ave" hHVovM_cr6GSrjDTyWfsuQ 8.0 "Not everyone likes it!" "Cheddar's Casual Cafe" 3.0 3.4 5
43 "132 W Church St" 0-WocGTpO3Zm4q1Zzz49Rw 227.0 "Consider this to visit!" "Sushi Kame" 4.0 3.6 131
44 "512 S Neil St" u_MdwAj7eGenc0YhqQy6nA 20.0 "Not everyone likes it!" Wingstop 3.0 2.6 34
45 "39 E Green St" RdwJXTQo3Ez9DAbGpybl_w 1.0 "Not everyone likes it!" "Six Minute Chinese" 1.0 1.2 8
46 "1905 S Neil St" nG59soBP2SaQ25rf2n-0bA 123.0 "Okay-ish Restaurant!" "Atlanta Bread" 3.0 3.0 44
47 "904 N 4th St, Ste B" k441Clzdv9Ia4QZanEne3g 26.0 "Moderately recommended!" "Wood N' Hog Barbecue" 5.0 4.6 28
48 "1813 N Neil St" 5uvf3QpmrdU2aiqmF4278A 80.0 "Not everyone likes it!" "Bob Evans" 3.0 2.8 30
49 "410 E Green St, Ste 3" rwuMWGqt7L5l5lDsOYv1dw 7.0 "Okay-ish Restaurant!" Zyggyz 4.0 3.7 26
50 "134 W Church St" RofPcfgxItpYw1eQ3e1Hjw 41.0 "Okay-ish Restaurant!" "Nitaya Thai Restaurant" 3.0 3.1 51
51 "115 S 1st St" O4-tpRbaMfrdx_okiVAbaw 3.0 "Not everyone likes it!" "Manzella's Italian Patio Restaurant" 3.0 3.0 30
52 "703 S Neil St, Ste A" ks6JgGsz7phkGEVh9hoHkg 1.0 "Not everyone likes it!" "Little Caesars Pizza" 2.0 2.0 4
53 "410 East University Ave, Ste 101" Zjv2tMXDaIGd-13tgOoKAA 8.0 "Okay-ish Restaurant!" "Hybrid Fit Food" 4.0 4.4 9
54 "401 S 1st St" EoPd4SI9-mnkyb2CJcgkLA 27.0 "Okay-ish Restaurant!" "Minneci's Ristorante" 3.0 3.4 34
55 "1753 West Kirby Avenue" hPc-mAHv4jfKeXqOxYJuAw 23.0 "Not everyone likes it!" "Papa Murphy's" 3.0 3.2 8
56 "415 N Neil St" vqEtZ7CtNB9G8WMzjwJA2g 127.0 "Consider this to visit!" "Wedge Tequila Bar & Grill" 3.0 3.3 120
57 "510 E John St" ky0cUgRt1Bye3cxgxXpgYA 8.0 "Not everyone likes it!" "Fire Station Pizza and Pub" 2.0 1.8 12
58 "617 E Green St" MpAhuv_BBhYHDElgx1pD4g 29.0 "Not everyone likes it!" "Qdoba Mexican Grill" 2.0 2.2 15
59 "411 E Green St" b8iHKolCsC4ZTM8X9-L01A 10.0 "Not everyone likes it!" "Pizza Hut" 2.0 2.4 14
60 "103 W Kirby Ave" bVt5eOVdpZzg83qlW9Rl2g 38.0 "Okay-ish Restaurant!" "Monical's Pizza" 4.0 3.5 25
61 "2502 Village Green Pl" 7m8MoWuudrxU98fEw7iBIw 14.0 "Okay-ish Restaurant!" "Sairam Om" 4.0 3.9 18
62 "906 W Town Center Blvd" Hw0hdZnM7z5uBTwbW8jHMA 67.0 "Okay-ish Restaurant!" "Penn Station" 4.0 3.7 18
63 "2006 W Springfield Ave" FUr2uEolARu7rv2TQYKPqg 129.0 "Okay-ish Restaurant!" "Za's Italian Cafe" 3.0 3.2 49
64 "2312 W Springfield Ave" Frbldz6phswVyMNvwherhA 195.0 "Consider this to visit!" "My Thai" 4.0 3.6 93
65 "2145 S Neil St" EKQiKd7EMZjsa4JokFaeAg 6.0 "Not everyone likes it!" "China King" 4.0 3.8 14
66 "403 E Green St" -zEpEmDfFQL-ph0N3BDlXA 2372.0 "Must visit!" "Sakanaya Restaurant" 4.0 4.3 314
67 "49 E Green St, Ste B" mvhokWwVKgfE-koLlc4VEw 3.0 "Not everyone likes it!" "Auntie Lee's Chinese Kitchen" 3.0 2.7 19
68 "2101 N Prospect Ave" bkh5o6bCzDCovSkRYBsU1w 105.0 "Okay-ish Restaurant!" "LongHorn Steakhouse" 3.0 2.9 56
69 "711 S 6th St" OyBStpjF5e_iRCMXflFasQ 43.0 "Okay-ish Restaurant!" "Evo Cafe" 2.0 2.5 53
70 "910 W Bloomington Rd" 4SGa5HFu7Q4rrsAAWJa-ew 45.0 "Not everyone likes it!" "Popeyes Louisiana Kitchen" 3.0 3.0 28
71 "522 E Green St" UUsS7SrTQQ2AvvpslfrvFA 211.0 "Moderately recommended!" Legends 3.0 3.4 75
72 "2909 W Kirby Ave" tCCBl_sHPQsJg37g2fjRpA 90.0 "Not everyone likes it!" McDonald's 1.0 1.5 11
73 "912 1/2 W Bloomington Rd" hvPPw19VdGRsOEkxgyD7tg 263.0 "Must visit!" "Thara Thai" 4.0 4.2 172
74 "912 W Bloomington Rd" PUe3Oz-VAPMXbu_zQ51dYQ 5.0 "Not everyone likes it!" "Guadalajara Bar & Grill" 4.0 3.5 14
75 "1811 W Kirby Ave" doEpdTg3l55-IWemTlG3tg 38.0 "Not everyone likes it!" "Jimmy John's" 3.0 2.9 17
76 "1804 Sangamon Dr" ltqvLrYq9QjeQjQ1NlqLcA 14.0 "Not everyone likes it!" "Ming Garden" 4.0 3.6 13
77 "40 E Springfield Ave" cjdX2cwSmp47ia47V3YySg 2.0 "Not everyone likes it!" "Layalina Mediterranean Grill" 4.0 3.9 11
78 "2501 Village Green Pl" L57D-jGExAu6HwjByT8BOQ 13.0 "Not everyone likes it!" "Uncle Jack's Family Restaurant" 4.0 3.6 9
79 "1913 W Springfield Ave" yRKrMWQxQaMeR18s5ajcYw 25.0 "Not everyone likes it!" Arby's 2.0 2.5 4
80 "627 S Wright St" tQaIWc9qeiB1IU163LKlAw 7.0 "Not everyone likes it!" "Panda Express" 3.0 3.2 17
81 "301 N Neil St" -fiUXzkxRfbHY9TKWwuptw 822.0 "Must visit!" "DESTIHL Restaurant & Brew Works" 4.0 3.8 490
82 "2041 S Neil St" C3d4HqDjWq9e_0cPfmPykg 27.0 "Not everyone likes it!" "Moe's Southwest Grill" 3.0 3.4 21
83 "4910 N Market St" m8qGdllgcUSqZmcryQWM9A 7.0 "Not everyone likes it!" McDonald's 1.0 1.3 3
84 "43 E Green St" dKncjeWnvdqYiNC8l26fog 29.0 "Not everyone likes it!" "Jimmy John's" 3.0 3.2 17
85 "30 E Anthony Dr" 7B-suS0RHxqxZBBfVfiPLA 218.0 "Okay-ish Restaurant!" "Olive Garden Italian Restaurant" 3.0 2.9 58
86 "607 S 6th St" vAUDxhbsWZKI8NJlsYwCMA 133.0 "Moderately recommended!" "Flat Top Grill" 3.0 2.8 86
87 "402 E Green St, Ste A" jKxES7iLV63H_PfyGVGIDw 176.0 "Consider this to visit!" "Lai Lai Wok" 4.0 4.1 101
88 "1805 S Neil St" EmezZdxbvjydG5FkN6Mecw 9.0 "Not everyone likes it!" "Fiesta Ranchero" 2.0 2.0 4
89 "10 E Chester St" CrIWqmuO2uQWwl3z11K_BA 71.0 "Consider this to visit!" "Pizzeria Antica" 4.0 3.8 101
90 "505 E Green St" w2xwgqHM7dJlHfyu4ouhBg 47.0 "Moderately recommended!" "Azzip Pizza" 4.0 4.5 50
91 "404 E Green St" _zCwyuW5XrRKw8oK8EM49A 20.0 "Not everyone likes it!" "Burrito King" 3.0 3.4 23
92 ", 508 E Green St" o-xFcSeSycAfqplklC222Q 8.0 "Not everyone likes it!" "One World Pizza" 4.0 3.7 13
93 "301 N Neil St" VHsNB3pdGVcRgs6C3jt6Zg 148.0 "Consider this to visit!" "Dublin O'Neil's" 3.0 3.4 121
94 "113 N Walnut St" jeTfL2kCyBtmFGSrSQHqVw 194.0 "Consider this to visit!" Bacaro 4.0 4.0 150
95 "1407 S Neil St" Pj8n8jDPRdXi7RdOABJkWA 2.0 "Okay-ish Restaurant!" "Amano's Pizza" 5.0 4.7 10
96 "301 E Green St" CKqHfvcqx73-Uz0xGMHL6Q 16.0 "Okay-ish Restaurant!" "Wingin Out" 3.0 3.0 33
97 "6 E Columbia Ave" e9shtyZ7-9GYcbPIVV--XQ 161.0 "Consider this to visit!" "Escobar's Restaurant" 4.0 3.9 147
98 "1501 S Neil St" Icj9QzQxqvzOmPm_liAq1Q 74.0 "Okay-ish Restaurant!" "Hilton Garden Inn" 4.0 3.6 34
99 "403 W Kirby Ave" bQ8ndy52Rcdv3uYvoJWQ_w 46.0 "Okay-ish Restaurant!" Seaboat 3.0 3.4 47
100 "313 N Mattis Ave" xeN57OX3lJfY96nfEx63fg 45.0 "Okay-ish Restaurant!" "Garcia's Pizza In A Pan" 3.0 3.0 37
101 "630 S 5th St" B9W60PTxn7XOZfk4BiTvyw 10.0 "Okay-ish Restaurant!" "BrewLab Coffee" 5.0 4.7 11
102 "706 S 5th St" uvVOuCbo4_5z_J5WJVG4QQ 114.0 "Okay-ish Restaurant!" "Joe's Brewery" 3.0 3.1 44
103 "302 S 1st St" RTmIbq33chUSa-etGiF8Lg 64.0 "Moderately recommended!" "Bombay Indian Grill" 4.0 3.6 58
104 "2501 N Prospect Ave" i9M6oO2LMUrrEytHnHjyLA 1.0 "Not everyone likes it!" "Kaiyo Japaneese Restaurant" 4.0 3.7 15
105 "508 E Green Street" NXERVbjRdwe0Deg4d_fVlA 26.0 "Not everyone likes it!" "Koto Ramen" 2.0 1.9 30
106 "308 E Green St" MV2sYTXcBz7bH4a960ac7w 38.0 "Not everyone likes it!" IHOP 2.0 2.4 13
107 "705 N Neil St" 62Ibju8UmUZtPIBLDS_nUw 1.0 "Not everyone likes it!" "Tasty Fish Chicken & Grill" 3.0 3.3 6
108 "903 W Anthony Dr, Ste A" JbWQtVLQDEOBlvbVWk2OFg 213.0 "Okay-ish Restaurant!" "Chipotle Mexican Grill" 3.0 3.1 40
109 "601 N Mattis Ave" 2BEJCBkNzOBXaydBJf5k0A 71.0 "Not everyone likes it!" Sonic 3.0 2.8 16
110 "601 S 6th St, Ste 101" dtKy808TwAgtOcwSCbXFJw 62.0 "Moderately recommended!" "Jipbap Taste of Korea" 4.0 4.2 52
111 "2037 S Neil St" eJtmOfqwGj5sYKQrB01oWQ 33.0 "Okay-ish Restaurant!" "Slim Chickens" 3.0 3.0 47
112 "502 E John St" zp3rZNu-5qonTL3ByPYOUg 85.0 "Moderately recommended!" "Fat Sandwich Company" 3.0 3.3 84
113 "2506 Village Green Pl" zUayeEQ3_1fM_71X_1PdGQ 47.0 "Okay-ish Restaurant!" "Let's Take a Seat: Thai Cuisine" 4.0 3.6 30
114 "211 N Neil St" PGUuVJEzM0H-ZMB6m1D6Ig 215.0 "Moderately recommended!" "Boltini Lounge" 4.0 3.8 74
115 "308 N Randolph St" kNtToQSP_Y5U8tznLXuCaw 345.0 "Must visit!" "Farren's Pub & Eatery" 4.0 4.1 237
116 "301 N Neil St" XuByFsXXhnKmZ6hxucOj7A 99.0 "Moderately recommended!" "301 Mongolia" 3.0 3.3 59
117 "503 E John St" Tiu3iRXMlzEEI6Epp3I8lg 4.0 "Okay-ish Restaurant!" "Cafe Sababa" 5.0 5.0 5
118 "715 S Neil St, Ste A" WTu8B3igPYJlkJ2gHzrBYw 157.0 "Moderately recommended!" "M Sushi & Grill" 4.0 4.4 38
119 "2010 N Neil St" y2V42mxWvVoH4NvUT_n8eg 52.0 "Okay-ish Restaurant!" "Red Robin Gourmet Burgers" 3.0 2.6 54
120 "2028 N Prospect Ave" MRE5_phUbPZFcNOsBjIUyQ 4.0 "Not everyone likes it!" "HoneyBaked Ham & Cafe" 4.0 3.8 5
121 "302 S Neil St" Q8kTugdx8Iw5AzRzz6qd8w 4.0 "Not everyone likes it!" "Chester's BBQ" 4.0 4.3 7
122 "60 E Green Street" VIJ2KiDKhUVhhpNylEIfog 645.0 "Must visit!" "Maize Mexican Grill" 4.0 4.4 470
123 "505 S Chestnut St" b8zjLuBTk3SfqcNEMJUnDA 26.0 "Not everyone likes it!" "Fat City Saloon" 2.0 2.3 3
124 "616 E Green St" SFh9uHtGR1lVPH2RTS2SWQ 35.0 "Not everyone likes it!" McDonalds 3.0 3.0 21
125 "708 S 6th St" jK8PNNtv4RI6m-xd-tGjPQ 264.0 "Moderately recommended!" Firehaus 3.0 3.3 83
126 "1765 W Kirby Ave" S7TY9oCMqK-TffWrygetcw 140.0 "Not everyone likes it!" "Panera Bread" 3.0 2.6 36
127 "1409 S Neil St" AtLv64FV-Pw6JuT3XUKU1g 9.0 "Okay-ish Restaurant!" "Gumby's Pizza" 4.0 3.6 41
128 "629 E Green St" abA0s0uxoeOn7zNm-1dDxw 158.0 "Moderately recommended!" "Mia Za's Cafe" 3.0 3.3 80
129 "301 N Neil St, Ste 104" boIILzBqhjWhq4G0BsB5_A 339.0 "Consider this to visit!" Miga 4.0 3.9 135
130 "118 N Neil St" 0FrYsoVHheQGoXEQsH2d2Q 300.0 "Consider this to visit!" "Aroma Cafe" 4.0 4.2 124
131 "40 E Springfield Ave" gaR5jDvZsOC0RQeY-W1eqQ 136.0 "Moderately recommended!" "Mas Amigos" 4.0 4.2 59
132 "2000 N Neil St" BU44MZzM82yPiBhMyj9r7w 14.0 "Not everyone likes it!" "Sarku Japan" 3.0 2.6 13
133 "1001 S Wright St" aKiE0aZ6vGyOlH-uVOHONw 15.0 "Okay-ish Restaurant!" "The Y Eatery" 4.0 3.7 31
134 "1510 S Neil St" wsuzuLD3KV7L8oMinLCI0A 116.0 "Moderately recommended!" "Merry Ann's Diner" 3.0 3.0 70
135 "2018 S Neil St" 4hWDMVtfnpyY72_5QMbthA 34.0 "Moderately recommended!" "Old Time Meat & Deli Shoppe" 5.0 4.8 45
136 "301 S Mattis Ave" -hliqBp7tq7Z5XLaTLAXAg 19.0 "Not everyone likes it!" "Taffies Restaurant" 3.0 2.6 16
137 "611 E Green St" DS3-yphtWDHAdXLtIoqdAA 14.0 "Not everyone likes it!" "The Pita Pit" 4.0 3.7 3
138 "1511 N Prospect Ave" g_oOjzFgqmSEAD4crxBirA 34.0 "Not everyone likes it!" "Jimmy John's" 2.0 2.5 12
139 "619 E Green St" BoTQepQTjGbTXA4g4Hj-WA 62.0 "Moderately recommended!" "Antonio's Pizza" 4.0 3.8 77
140 "106 E Green St" oYMsq2Xvzw6UbrIlMWjb-A 10.0 "Not everyone likes it!" "Papa John's Pizza" 2.0 2.3 29
141 "103 W Marketview Dr" iO86eCaZJBHqi1sZ1ELk6A 97.0 "Okay-ish Restaurant!" "TGI Fridays" 3.0 2.9 51
142 "2506 Village Green Pl" zMcmS7YojvNbmJCa-iTSYw 6.0 "Not everyone likes it!" "Istanbul Mediterranean Cuisine" 3.0 3.2 11
143 "119 N Walnut St" lWmDrnqgU6w3gFaJyn_1Uw 451.0 "Must visit!" "Radio Maria" 3.0 3.4 292
144 "415 N Neil St" epvLkQNL6MOvk3s6JlTntA 17.0 "Moderately recommended!" "Carmon's Restaurant" 4.0 3.7 45
145 "49 E Green St" YJ8Ehqq4Jr2_xmtRe5aXLQ 7.0 "Not everyone likes it!" Mirsung 4.0 3.6 12
146 "601 S 6th St, Ste 105" Epr8Ft7LwYAzotFwxQX6uw 281.0 "Moderately recommended!" "Latea Bubble Tea Lounge" 4.0 3.9 56
147 "100 N Chestnut St" tqxS-gA5zhBvdI5lk7kDGg 27.0 "Okay-ish Restaurant!" "Maize at the Station" 4.0 4.1 23
148 "6 E Columbia Ave" m6nLTIrEJHtHSYJjVavnzw 170.0 "Consider this to visit!" "Kohinoor Indian Restaurant and Lounge" 4.0 4.2 115
149 "803 W Anthony Dr" HvRWUE3yP3mY4mZiG6UtJg 163.0 "Okay-ish Restaurant!" "Einstein Bros Bagels" 4.0 4.2 10
150 "2502 Village Green Pl" 1S6eB9Ag2VMx3Ab7LHORJw 51.0 "Okay-ish Restaurant!" "Aroma Curry House" 4.0 3.5 32
151 "2000 N Neil St" MA5R-mV6ljRM1MK6Mdiv5g 11.0 "Not everyone likes it!" "Panda Express" 4.0 3.5 8
152 "505 S Neil St, Unit 4" Sp32-I-Ej0CBVJvFCghyPw 7.0 "Okay-ish Restaurant!" "Fresh International Market" 5.0 4.8 16
153 "1201 S Neil St" 9A1C1f0m4nQltQrOOTl-Kw 28.0 "Not everyone likes it!" "Orange & Brew" 3.0 2.8 38
154 "501 N Mattis Ave" beBdNA6cEuDLvrhTi_EjKQ 57.0 "Not everyone likes it!" McDonald's 1.0 1.4 12
155 "515 S Neil St" 5r-kh_n_ivSmkrfGMtbtog 8.0 "Not everyone likes it!" "Baskin Robbins" 2.0 2.2 6
156 "2302 S Neil St" 0Tiq09V_kdMFPa1cL6I0AA 103.0 "Not everyone likes it!" Culver's 3.0 3.4 19
157 "134 W Church St" LyGab6ITDEMDI5E0YcC0Ng 40.0 "Moderately recommended!" "The Himalayan Chimney" 4.0 4.2 62
158 "905 S Neil St" ECKXHrl2GqNKRMG9jp4trg 44.0 "Okay-ish Restaurant!" "Good Fella Korean Bistro" 3.0 3.5 35
159 "2510 Village Green Pl" syP9qsN2-TiMbxh2zv1_NQ 48.0 "Okay-ish Restaurant!" "Papa Del's Pizza At the Crossing" 4.0 3.7 30
160 "109 N Walnut St" e0prCZXtHGQIKeQ_wTW3uw 562.0 "Consider this to visit!" "Cafe Kopi" 4.0 4.0 158
161 "2504 Village Green Pl" ZxQlHVm0pj0ERqpwhEHc6w 63.0 "Moderately recommended!" "San Maru" 4.0 4.4 47
162 "611 E Green St, Ste B" cDGaMsCAx8guR1IUrxLxWA 94.0 "Moderately recommended!" "Pho Cafe" 4.0 4.1 45
163 "616 E Green St" cFp-Kr831uIA3F6o5aeV2Q 7.0 "Not everyone likes it!" Sliders 2.0 1.8 12
164 "906 W Bloomington Rd" DysXlYb_WVlksoip8atIvQ 56.0 "Not everyone likes it!" McDonald's 1.0 1.3 15
165 "508 E Green St" CPjWjKn4bj3QQFQ1nUlXUg 18.0 "Okay-ish Restaurant!" "8F Ice Cream & Crepe" 4.0 3.9 17
166 "320 N Chestnut St" pMiz7SP82Tknv1NbVqoSfg 319.0 "Must visit!" "Black Dog Smoke & Ale House" 4.0 4.0 185
167 "204 N. Country Fair Dr" NSzhahVpI_B32snhJHM0HA 273.0 "Consider this to visit!" "Texas Roadhouse" 4.0 3.6 89
168 "401 E Green St" kj44upIDaMIPlYvsuweP4g 46.0 "Okay-ish Restaurant!" Geovanti's 3.0 3.3 33
169 "523 W Town Center Blvd" aqTdhZDTSjA42_Uh2E6V7A 55.0 "Okay-ish Restaurant!" "Taco Loco" 4.0 3.8 30
170 "2235 S Neil St" qeJnMI5RmyJ2TZvkqvjn6Q 273.0 "Consider this to visit!" "Biaggi's Ristorante Italiano" 4.0 3.7 166
171 "216 S 1st St" _a6jhRFIgOe74U73T5B-Ww 86.0 "Moderately recommended!" "Fiesta Cafe" 4.0 3.8 77
172 "2504 Village Green Pl" d51qbs6CitHbFD--G-AEVw 14.0 "Not everyone likes it!" "Shanghai 1938" 3.0 2.9 23
173 "2201 West Springfield Avenue" BKNPoWf3bQoxFWf-Kjt3wQ 28.0 "Not everyone likes it!" KFC 3.0 3.0 5
174 "1703 S Neil St" r9xW1wXycs4MPpqB-Vknzg 47.0 "Not everyone likes it!" Hardee's 2.0 2.3 15
175 "405 E University Ave" QdganL5AW9E_fNoRVroLig 136.0 "Consider this to visit!" "Golden Wok" 4.0 3.8 107
176 "604 E Green St" mklo4H47YWK7f18YXTCEoA 404.0 "Consider this to visit!" "Murphy's Pub" 4.0 3.7 107
177 "12 E Green St" 6vVkSaymw-4MOTPh68HN3Q 11.0 "Not everyone likes it!" "Number One Wok" 3.0 3.4 15
178 "2009 S Neil St" k6m3Msok7bto6biv5guEzg 18.0 "Not everyone likes it!" "Pancheros Mexican Grill" 2.0 2.4 12
179 "1103 W Windsor" DO9Wp7zXwc2ZNEb8cXaqbg 22.0 "Okay-ish Restaurant!" "Station 6 Pizza" 4.0 3.8 23
180 "1902 Center Dr" UPCTlq-r-yZcWFFH2qOlWg 2.0 "Not everyone likes it!" "Ginger Asian Bistro" 4.0 3.9 8
181 "2306 N Prospect Ave" 6d82R41sVNDVS0I-c1Ghkg 79.0 "Moderately recommended!" Portillo's 4.0 3.6 87
182 "1737 W Kirby Ave" ezFZVzNCtPdFATNGzCumjw 12.0 "Not everyone likes it!" "Super Wok" 3.0 2.8 6
183 "1609 W Springfield Ave" nyI3q0CseFbPbTobHuzgkw 59.0 "Not everyone likes it!" "Pia's Sports Bar & Grill" 3.0 3.1 9
