	RestaurantID	Name	address	Checkins	Reviews	Recommended	Rating	range	
0	fNMVV_ZX7CJSDWQGdOM8Nw	Showmars Government Center	600 E 4th St	28.0	7	At your own risk	3.3	3.0	
1	HAX1zec191t7QkT2sBZ76A	La Isla Cuban Restaurant	1816 Galerea Blvd, Ste D	3.0	4	At your own risk	3.2	3.0	
2	c7X2SdKxVJMaOnFROO8WEg	Finga Lickin' Caribbean Eatery	2838 The Plz	29.0	21	Worth Visiting	4.4	4.0	
3	WUiDaFQRZ8wKYGLvmjFjAw	China Buffet	8630 University Executive Park Dr	145.0	76	Worth Visiting	3.3	3.0	
4	5q6Xh-UcJa78bp6dzyaE7w	Duck Donuts	1710 Kenilworth Ave, Ste 220	756.0	373	Jewel of a place!	4.5	5.0	
5	0v984vlPQfb4VZWvBJSsfg	Cosmos Cafe	300 N College St	192.0	59	Worth Visiting	3.1	3.0	
6	9YiIVnH_QokhOCqho28CPg	McDonald's	7051 South Blvd	9.0	5	Its your say finally!	1.4	1.0	
7	wtazPNyIbsRMHmrpEYbqZA	Golden Krust Caribbean Bakery & Grill	440 E McCullough Dr, Ste 126	57.0	38	At your own risk	3.1	3.0	
8	om4t1hDJRQqTRS9VT7ADhA	Q Tavern	201 S McDowell St	35.0	27	At your own risk	3.1	3.0	
9	Ka3z0iudeviL2nEKZ4BeYg	Tijuana Flats	1608 E Blvd	109.0	50	Worth Visiting	3.8	4.0	
10	IDW4QFw-fN_wk81G9OV-Mg	Nothing But Noodles	1605 Elizabeth Ave	605.0	75	Must Visit!	4.1	4.0	
11	Q_RpxG-YEMOk_yniWZfHCA	Bojangles' Famous Chicken 'n Biscuits	5525 E Independence Blvd	20.0	3	At your own risk	3.0	3.0	
12	_csgqOCUWhaS4KAwm9Rcag	Chick-fil-A	14111 Rivergate Pkwy	199.0	46	Its your say finally!	2.3	2.0	
13	h5ihGbkb8127_lk9iNnV4Q	Arby's	311 S Kings Dr	67.0	11	At your own risk	3.3	3.0	
14	3vkP6t_kKN3JT8MMUaBVEA	Original Pancake House	915 Charlottetowne Ave	888.0	226	Jewel of a place!	4.1	4.0	
15	n2WtavwwYZyOr0ImiImquQ	Jack in the Box	220 N Hoskins Rd	57.0	11	Its your say finally!	2.6	3.0	
16	EX60HoNJRs3ALidmEGDgWA	Jimmy John's	350 E McCullough Dr	216.0	33	Worth Visiting	3.9	4.0	
17	CwRPGB3WzV3IE4IukRFI2g	Pizza Hut	8800 Pineville Matthews Rd	12.0	11	Its your say finally!	1.9	2.0	
18	irx72bUk68BCHmKN9ZYHCA	Dolce Vita Wine Bar	3205 N Davidson St	293.0	53	Must Visit!	4.1	4.0	
19	ObcMSGc1uotvpnwydoStIg	Earl's Grocery	1609 Elizabeth Ave	529.0	152	Jewel of a place!	4.3	4.0	
20	-vP9rja8YzbRRTX5C1K3dQ	Tacos La Hidalguense	2635 Little Rock Rd	11.0	6	Worth Visiting	3.8	4.0	
