	address	RestaurantID	Checkins	Recommended	Name	range	Rating	Reviews	
0	4110 Lee Road	GDOAg680Gmi6S1MlhU7B1g	5.0	Its your say finally!	Taco Bell	2.0	1.8	5	
1	11680 Snow Rd	Svs-B-a5-13D2dGTKxLsyw	9.0	At your own risk	Mr Chicken	3.0	3.2	4	
2	2105 Ontario St	VGRn5KgYKMkqdIKtBUzQQA	100.0	Worth Visiting	Wahlburgers	3.0	3.0	100	
3	13114 Shaker Square	oHeiAs-mnDJU1_4BD8_5Dg	132.0	Worth Visiting	Señor Tequila Mexican Grill & Cantina	4.0	3.5	49	
4	14516 Broadway Ave	tpG_KqvR1v2GrlLKNAChBw	5.0	At your own risk	Wings Sports Bar & Grill	3.0	2.8	4	
5	11490 Euclid Ave	kyphxFtMIC6w7ktg-fwxWA	266.0	Its your say finally!	Panera Bread	2.0	2.0	41	
6	5319 Broadway Ave	rwKSKNRKXVERaltnjVltEA	10.0	At your own risk	Arcade Pizza	3.0	3.3	18	
7	1121 W 10th St	HIvLwkEYuGRtI17H2x7RuQ	127.0	Must Visit!	Bold Food & Drink	4.0	4.1	114	
8	15170 Bagley Rd	y4giWpQy1TYYX7sZOk9NNg	11.0	Its your say finally!	Wendy's	2.0	2.2	5	
9	11609 Detroit Ave	_wpUUDnJwrn7eSYAjnv7WA	343.0	Must Visit!	Brothers Lounge	4.0	4.0	60	
10	5300 Riverside Dr	Ub-RrbQWAV_JuVyYixynfg	10.0	Its your say finally!	Villa Fresh Italian Kitchen	2.0	2.5	11	
11	5607 Turney Rd	CvP516pjOdcJJkaMjl8rPw	23.0	At your own risk	China Kitchen II	4.0	3.5	10	
12	1109 Starkweather Ave	Ur4eYOFq4qVLHkZJNmcqfQ	520.0	Jewel of a place!	Prosperity Social Club	4.0	4.0	182	
13	4163 Mayfield Rd	TXcVQfX4J0NqKRqgDBgWOA	6.0	Worth Visiting	Marco's Pizza	4.0	4.0	6	
14	3463 Fulton Rd	JYVCQhZU4g-vXrISzUJFUA	2.0	Its your say finally!	Benny's Sports Cafe	2.0	2.5	4	
15	7565 Pearl Rd	2alo9GzeOsbg4jeKYFQmxQ	100.0	Must Visit!	Santo's Pizza & Pasta	4.0	3.8	61	
16	2084 W 25th St	g9i9xFh9HtPWNLMB3ru3ug	167.0	Must Visit!	Campbell's Sweets Factory	5.0	4.6	62	
17	6504 Detroit Ave	j4170xdQJTwSvXFpsQzWtg	137.0	Worth Visiting	Rincón Criollo	3.0	3.4	64	
18	12021 Lorain Ave	CF2abR1isMzLfRPzjTvIkg	18.0	Worth Visiting	Ali Baba Restaurant	5.0	4.7	3	
19	3951 St Clair Ave NE	Tm2dKN_-DCdZfF2xMWrX7w	620.0	Jewel of a place!	Siam Cafe	4.0	3.8	187	
20	All Over Cleveland	RadvHxEGJLdp9IvNWzv30g	8.0	Worth Visiting	Sweet! Mobile Cupcakery	4.0	4.1	10	
21	16700 Lorain Ave	lJU19A8gxyNT1gU8y4pv1w	21.0	Must Visit!	Hatfield's Goode Grub	4.0	4.5	47	
22	8701 Brookpark Rd	QAN6zr-IzPD04G9clSGtBw	2.0	At your own risk	Dragon Gate Restaurant	3.0	3.0	4	
23	651 E 185th St	dUV3Wdu2dB7HMdwS6Hg3JA	3.0	Must Visit!	Sammich	5.0	5.0	4	
24	3108 Mayfield Rd	sYMAijY2oRrd71KRHKoIDA	6.0	At your own risk	Pizza House	3.0	3.4	7	
25	19800 S Waterloo Rd	XriJk1yVLlBd2rIhk0s_eA	29.0	At your own risk	Pacer's Bar & Grill	3.0	3.1	9	
26	1404 W 29th St	1zKjojtmAHuVOHhtGVxC2Q	245.0	Must Visit!	Jukebox	4.0	4.3	55	
27	850 Euclid Ave, Ste 110	uSRgegdEFHHasT5BbRkcFA	425.0	Must Visit!	A Bar and Kitchen	4.0	3.9	124	
28	1481 W 117th St	ris62LHWvRJt5j9FhHU03Q	17.0	Its your say finally!	Rally's	2.0	2.2	6	
29	18950 Brook Park Rd	dxD8j20MkodieZLc7fZRsA	17.0	Worth Visiting	Circle K	4.0	3.8	5	
30	230  Huron Street	S57rr30za_KzIUGkFqg3mw	361.0	Worth Visiting	Hard Rock Cafe	3.0	3.3	83	
31	12502 Larchmere Blvd	ddlnpDxGDDxGGoG_dVXwiw	272.0	Must Visit!	Felice	4.0	3.8	141	
32	6850 Biddulph Plz	QG37umIGrDFzkdmBqFLAYQ	55.0	Worth Visiting	Steve's Diner	4.0	4.0	25	
33	11434 Uptown Ave	uYl_QBtb7bXhu9sgb4kCrg	362.0	Worth Visiting	ABC the Tavern	3.0	3.4	61	
34	1301 E 9th St	CiGefVc9Uc-4H_aNgOMWhQ	4.0	Worth Visiting	Sakkio Japan	4.0	4.0	4	
35	5300 Riverside Dr	nJVDHjoTilGmhLjXAOwiyg	29.0	At your own risk	Hemispheres	3.0	2.9	14	
36	1938 Euclid Ave	VHchdLl_QVtStqx13vENbA	1.0	Worth Visiting	Moe's Southwest Grill	4.0	3.7	3	
37	1852 E 6th St	oxx6LBeBMr3xLkj3jq6rFw	16.0	Must Visit!	Tabu Coffee Company	5.0	4.9	9	
38	15115 Puritas Ave	PBSnhhjJ9X2uMRgx4QhTcw	3.0	Worth Visiting	Sirius Pizza	4.0	3.9	8	
39	5300 Riverside Dr	mLjDh0vQYBCY6g9T1HczVw	701.0	Must Visit!	Great Lakes Brewing Co	3.0	3.2	133	
40	11636 Clifton Blvd	nDKX55KbERSd_KzYHPgEdw	52.0	Its your say finally!	Gepetto's And Johnny Malloy's	2.0	2.5	12	
41	2999 Payne Ave, Ste 142	zKJ4KcZAfTNBIM7OvkVv3A	42.0	At your own risk	E 30th Street Cafe	3.0	3.1	22	
42	785 Som Center Rd	Y3RWEmu4ykuc2LvG3Qv9Ew	8.0	Worth Visiting	Pizza Roma	4.0	3.7	20	
43	16729 Lorain Ave	-kTHAUKuzh7cFZjVAW55Ug	108.0	At your own risk	Chipotle Mexican Grill	3.0	2.5	37	
44	2207 Chester Ave	WngnIN7vi2KYo4doqK51zA	3.0	Worth Visiting	Joe Maxx Coffee	4.0	4.4	7	
45	468 Richmond Rd	COszO5BlwqjRbZ_IUqExZg	9.0	At your own risk	Little Caesars	3.0	3.2	6	
46	10001 E Chester Ave	uKCCJB-OkAtLBunNFDIrxw	8.0	At your own risk	Penn Station	3.0	3.3	3	
47	2300 Euclid Ave	osfBW9AMuOqX3aDsA6Rzmg	73.0	Worth Visiting	Elements Bistro	4.0	4.5	12	
48	1735 E 36th St	JX1_mKHN38bjgQP0JB3fkg	6.0	At your own risk	Tink Holl Seafood	3.0	3.0	7	
49	3900 Lorain Ave	DhD1sFqgtjg1rsIWuIeTng	45.0	Must Visit!	Palookaville Chili	4.0	4.2	30	
50	2801 Bridge Ave	jA3xcba82t8x06H8NzG4VQ	183.0	Must Visit!	The Black Pig	4.0	4.2	105	
51	1112 Kenilworth Ave	PvyJ2gv3baPyqqmLoGLY-A	6.0	Worth Visiting	Dish Deli & Catering	4.0	3.7	6	
52	1000 East 9th St	uBGPTzye3wrxZPf54AXuFg	166.0	Must Visit!	Nuevo Modern Mexican & Tequila Bar	3.0	2.9	165	
53	1059 Old River Rd	FeigEbRVs3d_WoMVUhIT7g	26.0	At your own risk	Crop Sticks	3.0	2.6	41	
54	6604 Detroit Ave	MAXMZMUEprc7rUMeoXrarw	117.0	Must Visit!	Daily Press	5.0	4.7	26	
