	RestaurantID	Name	address	Checkins	Reviews	Recommended	Rating	range	
0	Pd52CjgyEU3Rb8co6QfTPw	Flight Deck Bar & Grill	6730 S Las Vegas Blvd	63.0	13	Worth Visiting	3.8	4.0	
1	4srfPk1s8nlm1YusyDUbjg	Subway	6889 S Eastern Ave, Ste 101	34.0	6	Its your say finally!	2.7	3.0	
2	n7V4cD-KqqE3OXk0irJTyA	GameWorks	6587 Las Vegas Blvd S, Ste 171	1836.0	349	Worth Visiting	3.1	3.0	
3	F0fEKpTk7gAmuSFI0KW1eQ	Cafe Mastrioni	4250 S Rainbow Blvd, Ste 1007	11.0	3	Its your say finally!	1.7	2.0	
4	Wpt0sFHcPtV5MO9He7yMKQ	McDonald's	3020 E Desert Inn Rd	194.0	20	Its your say finally!	2.1	2.0	
5	W1Yr6c2XDx_RBjb6WsV-aQ	Divine Cafe at the Springs Preserve	333 S Valley View Blvd	674.0	140	Worth Visiting	4.0	4.0	
6	vzx1WdVivFsaN4QYrez2rw	Subway	5111 Boulder Hwy	11.0	3	At your own risk	3.0	3.0	
7	Uy3_5nLo3sYkAuSX6mjdmg	Geebee's Bar & Grill	8560 Las Vegas Blvd S	167.0	33	Worth Visiting	4.3	4.0	
8	dPxZI9lrKTl5dvFfnb1_Ig	Trattoria Italia	9905 S Eastern Ave, Ste 140	246.0	210	Must Visit!	4.5	4.0	
9	u29lf2yPd-qK5ThAS9FRQQ	Kinthai	4105 W Sahara Ave	149.0	61	Worth Visiting	4.5	4.0	
10	KYEZATGRY5aD69ZR6VvyWQ	North Forty Saloon and BBQ	5990 Centennial Center Blvd	170.0	31	At your own risk	3.5	3.0	
11	W8GVfGILy7an385lZSEvSw	Burger King	1736 Las Vegas Blvd S	33.0	18	Its your say finally!	1.9	2.0	
12	EgGdnaotJpPvxCFyZPJeUw	Pizza Hut	4945 W. Craig Road	10.0	13	Its your say finally!	2.2	2.0	
13	AfL8Ds7ex73tfVbq3EFWKg	Baja Fresh	8780 W Charleston Blvd, Ste 100	1.0	6	Must Visit!	5.0	5.0	
14	WMj5Uj04pAqFxLMnJQcQqw	Panda Express	3355 Las Vegas Blvd S	312.0	61	At your own risk	2.7	3.0	
15	RGmBfqdFb0giLPG-SZbQUQ	Christy Candy Shop	3542 S Maryland Pkwy	5.0	4	At your own risk	3.0	3.0	
16	NoSj3hV8Rlz_gUsOL4_EjQ	Jack's Pub	2416 W Sahara Ave	111.0	21	Its your say finally!	2.4	2.0	
17	sUMi2q41l4AzOsmJMRY8zQ	Del Mar Deli	9777 Las Vegas Blvd S	537.0	119	At your own risk	3.4	3.0	
18	_ewxwEwJM-IYfIYnKpQOZw	Mexicali Raspados	4865 S Pecos Rd	55.0	47	Worth Visiting	4.4	4.0	
19	EEePiBwchl-TIBVcTdE0RA	McDonald's	Excalibur Food Court, 3850 Las Vegas Blvd S	177.0	26	Its your say finally!	2.2	2.0	
20	yIZROHhe6hfmmzLCtTIEJQ	Tootie's Place	6601 Las Vegas Blvd S	7.0	3	Its your say finally!	2.0	2.0	
21	KhWl4Mwhm_Oqq0zIIz-0wQ	Carnival World & Seafood Buffet	3700 W Flamingo Rd	835.0	508	At your own risk	2.5	3.0	
22	v0byOL8VL6v6muGa1anxFA	The Hummus Factory	7875 W Sahara Ave, Ste 101	803.0	214	Must Visit!	4.6	5.0	
23	aNe8ofTYrealxqv7VtFTuw	Sierra Gold	6515 S Jones Blvd	2157.0	215	Worth Visiting	3.4	3.0	
24	pidpBdWsOFfe7pWypBIoiQ	Miga Korean Bistro	6112 W Flamingo Rd	52.0	42	Worth Visiting	4.2	4.0	
25	PgJgpW4TKQ8IoALH2Yq-zA	Bayside Buffet at Mandalay Bay	3950 S Las Vegas Blvd	2051.0	1033	Must Visit!	2.8	3.0	
26	w55IYhyLHUdsRlo_EvMmNQ	Table 89	7160 North Durango Dr, Ste 110	90.0	76	At your own risk	3.2	3.0	
27	7kO8bObVGFa-T3mj6PVYsg	Quiznos	730 E Flamingo Rd	16.0	4	Must Visit!	5.0	5.0	
28	hJX8WoV-KbFVHojZ6i83Cg	Quiznos	901 S Rancho Dr	78.0	17	At your own risk	3.6	4.0	
29	gwYt_q3Ob7aQJIefIBsZiQ	Raising Cane's	7135 S Rainbow Blvd	3029.0	264	Worth Visiting	4.0	4.0	
30	kiU9C58n7dgygdrpjOQXMQ	Los Jarochos Restaurant	4811 S Rainbow Blvd	252.0	62	Worth Visiting	3.8	4.0	
31	bAdwf-n52f46-ZjlfJ1Hwg	Roberto's Taco Shop	7251 W Azure Dr	41.0	26	Its your say finally!	2.4	2.0	
32	ijg7qQCYnhUWBd5JUxbfvA	Roxy's Diner	2000 Las Vegas Blvd S	853.0	357	At your own risk	2.9	3.0	
33	crGdKSRKi25R2vorZ7skzg	Tortilleria San Diego	235 N Eastern Ave	8.0	3	Worth Visiting	4.7	5.0	
34	l_eFv9Q9Q8RBLqfJJXi9ug	Subway	1196 E Tropicana Ave	22.0	4	Its your say finally!	2.0	2.0	
35	ZPZYNq9fNu2GyeCSz7U-fg	Five Star Tavern	4220 E Charleston Blvd	10.0	6	At your own risk	3.2	3.0	
36	AYe8rS3qBPuLHSwNOZSbcA	Sushi Loca	10965 Lavender Hill Dr	444.0	229	At your own risk	3.1	3.0	
37	5_MrPFw9E0cMJ1Q0DJFZOQ	Tilted Kilt Pub & Eatery	3545 Las Vegas Blvd, Unit L-26	788.0	288	At your own risk	2.8	3.0	
38	KPsu_1Q9XYRKWs_ZBTtlTg	Sky Lounge	3745 S Las Vegas Blvd	10.0	6	Its your say finally!	2.3	2.0	
39	tSbs8i_9Hlaommupjgn63Q	Panda Express	4416 E Bonanza Blvd	43.0	14	At your own risk	3.2	3.0	
40	wwEg_6bHfTrOpn_bygIQZg	Little Ceasars	4388 E Craig Rd, Ste 135	16.0	20	Its your say finally!	1.8	2.0	
41	OFw59czUoeeosFMKfRawmg	Gordon Biersch Brewery Restaurant	3987 Paradise Rd	2186.0	352	Worth Visiting	3.3	3.0	
42	9CNObWIk7w8poCo5IAtgmw	Raising Cane's	3535 W Tropicana Ave	289.0	55	Worth Visiting	4.0	4.0	
43	7KkgMcbVaetryW1wwpzvvA	Cafe Rio	5765 Centennial Center Blvd	863.0	153	At your own risk	3.3	3.0	
