	RestaurantID	Name	address	Checkins	Reviews	Recommended	Rating	range		
0	kKx8iCJkomVQBdWHnmmOiA	Little Caesars Pizza	10720 E Southern Ave	22.0	4	At your own risk	2.5	2.0		
1	MTH-AcNyWfsBa9sXp04HcQ	Firehouse Subs	3420 E Baseline Rd, Ste 101	343.0	82	Worth Visiting	3.7	4.0		
2	6PwKC0dqP9uI85FEP86iPQ	Red Viet Cuisine - Sushi	5221 S Power Rd, Ste 104	400.0	164	Worth Visiting	3.3	3.0		
3	SAae44V24aD7y_HpgxjhPA	Nando's Mexican Cafe	6715 E McDowell Rd	515.0	192	Worth Visiting	3.3	3.0		
4	1Nq7GxjvEDgAJxBeOjR_9Q	Burrito Express	450 N Alma School R	147.0	92	At your own risk	2.6	3.0		
5	0s0Xthk1JWrBUu74M81Xyg	The Good Egg - Val Vista	1939 S Val Vista Dr	336.0	109	Worth Visiting	4.0	4.0		
6	mI5UYpuYxjiumMLgANoa9A	Filiberto's Mexican Food	3636 E. Baseline Rd	181.0	70	At your own risk	2.7	3.0		
7	3c6FN1VrCAV4s60PsWTCLA	Pho All Seasons	1116 S Dobson Rd	60.0	14	At your own risk	3.1	3.0		
8	ZyIlYBpGnRsLeoEfXo-mxg	On The Green Sports Grill	801 S Power Rd	154.0	36	At your own risk	3.3	3.0		
9	OsuBqr2L0-5W8LGAsg-p8g	Micky's Hot Dogs	108 W Broadway Rd	195.0	115	Worth Visiting	4.0	4.0		
10	RFj91Y9mk2d824QyD9JTzA	Firehouse Subs	1616 S Stapely Dr, Ste 101	170.0	33	At your own risk	3.6	4.0		
11	SSCH4Z2gw-hh2KZy7aH4qw	Worth Takeaway	218 W Main St	506.0	336	Jewel of a place!	4.8	5.0		
12	_9VQUKCkYWHfUTnxbn4O_A	Tom's BBQ	1140 S Country Club Dr	302.0	88	Worth Visiting	3.5	4.0		
13	9_HgBRUXUg_vKjTT-GSulA	Golden Hawaiian BBQ	1720 W Southern Ave, Ste C3	583.0	84	Worth Visiting	3.8	4.0		
14	FGaaHr_krwaPGlD0mHPe4Q	Matta's Grill and Cantina	1033 N Dobson Rd, Ste 101	405.0	148	Worth Visiting	3.2	3.0		
15	yhcgONZE_flFHrTEM60o3g	Barro's Pizza	1066 N Power Rd	46.0	10	At your own risk	4.1	4.0		
16	YjlCXwWr9xx6TnHmTFCKGQ	P.F. Chang's	6610 E Superstition Springs Blvd	453.0	113	Worth Visiting	3.4	3.0		
17	NIjZNZCeMwILmFGzXdTLkg	China 1	319 S Power Rd	10.0	7	At your own risk	3.9	4.0		
18	t_9dmtogyjAocFsNW1igag	Starbucks	6807 E Baseline Rd, Ste 101	14.0	26	At your own risk	2.9	3.0		
19	TvDsoVbGEGtXBCaVcICKVA	Pub'n Grub	2815 S Alma School Rd, Ste 101	280.0	63	Worth Visiting	4.1	4.0		
20	VoJxPSgdVN8en44bLYEbHA	Binh Duong Quan	66 S Dobson Rd, Ste 124	16.0	5	At your own risk	3.2	3.0		
21	KCD4AuLXNhbG87fJaX9_gw	Port of Subs	6620 E Mckellips Rd, Ste 101	133.0	23	At your own risk	3.6	4.0		
22	PTbnuJ1QqeFpRZfPlwY9wQ	Arby's	2130 S Power Rd	37.0	11	At your own risk	3.1	3.0		
23	4STzP1q1uM8ONkKookifsw	Nan Zhou - Hand Drawn Noodle House	111 S Dobson Rd	300.0	122	Worth Visiting	3.9	4.0		
24	L8QF9uWDBujU9rNOzdLfjg	Steve's Krazy Sub	6853 E Main St	60.0	34	Worth Visiting	3.9	4.0		
25	9AJcD4UfawSSgc5007SWAw	Ocean Buffet	1450 S Country Club Dr	22.0	15	At your own risk	2.5	3.0		
