	RestaurantID	Name	address	Checkins	Reviews	Recommended	Rating	range	
0	rDMptJYWtnMhpQu_rRXHng	McDonald's	719 E Thunderbird Rd	54.0	10	Its your say finally!	1.1	1.0	
1	1WBkAuQg81kokZIPMpn9Zg	Charr An American Burger Bar	777 E Thunderbird Rd, Ste 107	269.0	232	Worth Visiting	3.2	3.0	
2	iPa__LOhse-hobC2Xmp-Kw	McDonald's	1635 E Camelback Rd	202.0	34	Its your say finally!	2.8	3.0	
3	QkG3KUXwqZBW18A9k1xqCA	Red Lobster	2810 North 75th Ave	171.0	37	Its your say finally!	2.6	3.0	
4	5XejqzaFmtkZMstJS5Iy-w	D'Lish Cafe	503 W Thomas Rd	59.0	37	Worth Visiting	3.8	4.0	
5	2v-8QQfMLX2PCz-0S6gISQ	Papa John's Pizza	3441 W Northern Ave	4.0	7	Its your say finally!	2.4	2.0	
6	M3uV9Y3EDSpy9d4YwyNSAQ	Yakiramen	10605 N 43rd Ave	84.0	66	Worth Visiting	4.0	4.0	
7	U1ZVgF-kfkvv_rcoe0RglQ	Pho Noodles	3417 N 7th Ave	375.0	172	Must Visit!	4.3	4.0	
8	FfI9FOaQqzUxixw6_glt3Q	Affinito's Bistro	3655 W Anthem Way, Ste C-137	7.0	6	At your own risk	3.2	3.0	
9	3b4efqz06QrLQ_w2xLc4pA	Olive Garden Italian Restaurant	10223 N Metro Parkway E	220.0	40	At your own risk	3.2	3.0	
10	irYAkavSVtIEyGOsHK-yPw	Palette	1625 N Central Ave	141.0	43	At your own risk	3.6	4.0	
11	_eKvk2GoGKb3CoYolHgRlg	Fresko A Mediterranean Kitchen	5033 E Elliot Rd	52.0	88	Must Visit!	4.5	5.0	
12	qB15WElGAlI_eGWjn0kT2w	Taco Bell	15240 N. 32nd Street	50.0	18	Its your say finally!	2.1	2.0	
13	rSCevr5tQJTxPzMIq3n5Gw	Yoshi's Asian Grill	3800 E Sky Harbor Blvd	88.0	14	Its your say finally!	2.6	3.0	
14	to2cGMKdaw7ZHbXMzpfhlA	Filiberto's Mexican Rest	3218 E Mcdowell Rd	16.0	7	At your own risk	3.1	3.0	
15	X2oxkKB-wlu8xV0P8fbfiQ	Mo's Chicken	3505 W Thomas Rd	1.0	10	At your own risk	3.1	3.0	
16	vhKUBKcOm8zOLxeS3XM9iA	Rosati's Pizza	4010 E Bell Rd, Ste 101	120.0	67	At your own risk	2.8	3.0	
17	frCxZS7lPhEnQRJ3UY6m7A	La Santisima	1919 N 16th St	3435.0	1694	Jewel of a place!	4.2	4.0	
18	l0WauZ92kRg9bu2oxHj4TQ	Aiello's East Coast Italian	777 E Thunderbird Rd, Ste 100	214.0	130	Must Visit!	4.0	4.0	
