	RestaurantID	Name	address	Checkins	Reviews	Recommended	Rating	range	
0	EJFdWX908N8Yc2XG0Lky8A	River Moon Cafe	104 43rd St	6.0	5	At your own risk	3.8	4.0	
1	o1fTwfqN0sDFNpV1CkOPPg	Crazy Mocha Coffee	4032 Butler St	173.0	16	At your own risk	3.4	3.0	
2	-nHkhiuerqmfBG3v2v9O-g	Bruegger's Bagels	5217 Clairton Blvd	20.0	5	Its your say finally!	2.4	2.0	
3	mLP-jIIRdoaYM7fJqqFurw	Napoli Pizzeria	2006 Murray Ave	63.0	53	Worth Visiting	3.9	4.0	
4	j37Z4LIXTH9j6KOq9aX8DQ	Beer Emporium	302 S Saint Clair St	431.0	169	Must Visit!	3.4	3.0	
5	575BoZY8tDPcfSRcdsUNLw	Eat'n Park	1250 Banksville Rd	166.0	42	At your own risk	3.0	3.0	
6	2cfzQGANxuIGcCUrlwnV7w	Popeyes Louisiana Kitchen	3420 William Penn Hwy	33.0	18	Its your say finally!	2.2	2.0	
7	J9f-9Prw2YVM-fiZqv2fmQ	Original Hot Dog Shop	3901 Forbes Ave	350.0	210	Must Visit!	3.5	3.0	
8	a5xUI7TvsNhM5gZr6KowDg	Sesame Inn	711 Browns Ln	200.0	93	Worth Visiting	3.6	4.0	
9	SCDym9EeJT8YUkaqVO4cZQ	Camille's Sidewalk Cafe	4596 5th Ave	16.0	7	At your own risk	3.3	3.0	
10	v0KawuAO7clhXCDKobFs0g	Currito - Burritos Without Borders	Pittsburgh International Airport	169.0	71	Worth Visiting	3.2	3.0	
11	R06MTQpLNdsnr5wrCkMXfQ	Doubleday's	121 6th St	100.0	23	At your own risk	3.3	3.0	
12	nF5TXLMmC6IJgQxE9CEZPw	Sun Penang	5829 Forbes Ave	229.0	148	Worth Visiting	3.2	3.0	
13	Fbycyr3KEjDQ4wO9AStmvQ	Cafe Sam	5242 Baum Blvd	91.0	70	Worth Visiting	3.8	4.0	
14	j4jsgp-e315s11ehJfRzAA	The Carlton	500 Grant St	145.0	82	Worth Visiting	3.7	4.0	
15	vn0wYNms_5PseeYZ6pfLmA	S&D Cafe	1425 Forbes Ave	19.0	6	Worth Visiting	4.8	5.0	
16	QI0PGXbGkIdInOOBeq6ieQ	TJ Buffet Sushi and Grill	4801 McKnight Rd	22.0	36	At your own risk	3.1	3.0	
