	address	RestaurantID	Checkins	Recommended	Name	range	Rating	Reviews	
0	8140 N Hayden Rd, Ste H115	VdlPZg2NAu8t8GkdbPLecg	537.0	Must Visit!	Tandoori Times Indian Bistro	3.0	3.4	263	
1	15223 N Northsight Blvd	Qv0OEziLJwyAqcgtrTsA4w	167.0	Worth Visiting	Luke's Of Chicago	4.0	3.5	50	
2	20753 N Pima Rd	tCJGEQVqjELLYv3fPNX5Rw	455.0	Must Visit!	Fleming's Prime Steakhouse-Scottsdale	4.0	3.6	190	
3	34482 N Scottsdale Rd	rv9T1qGHbh9eXqFpKEPy_A	118.0	Worth Visiting	Sesame Inn Carefree	3.0	3.3	90	
4	4000 North Drinkwater Blvd	LPq-IOpA_VrZ2xRh1A6Ssw	16.0	Worth Visiting	The Saguaro Restaurant	4.0	3.7	10	
5	4425 N Buckboard Trl.	0LKcSabd5Gd5oz-qrHTzZg	4.0	At your own risk	Cin-Cin Restaurant	3.0	3.2	5	
6	7305 E Camelback Rd	EC7NrIHKk6i3US_XJlDWDA	1280.0	Must Visit!	Julio's Too	4.0	4.1	166	
7	23425 N Scottsdale Rd, Ste 6	7Zmxle5A6XTZACIHgiC98Q	2.0	Worth Visiting	Kashman's Place	4.0	3.7	21	
8	4341 N 75th St	M7N_LeUEcQTfzaeCgJL5mg	669.0	Worth Visiting	Spanish Fly	4.0	3.6	55	
9	4228 N Scottsdale Rd	YQFcxE9UXrKc-QuTUu7twQ	2719.0	Must Visit!	Loco Patron	3.0	3.5	327	
10	7051 E McDowell Rd	TwriSG0Gq9vr7n_Re1OR1A	40.0	Worth Visiting	The Nile Cafe	4.0	3.9	14	
11	16447 N Scottsdale Rd, Ste 101	HyzHidtQXC4JIULtSbk3NA	122.0	Worth Visiting	Bowl of Greens	4.0	4.1	99	
12	16455 N Scottsdale Rd, Ste 107	HxWDCU-kKido3ErM31msGQ	897.0	Must Visit!	First Watch - Breakfast, Brunch & Lunch	4.0	3.9	229	
13	4321 N Scottsdale Rd	IY09uHwNvznCUDoFZ_su3A	1097.0	Must Visit!	Two Brothers Tap House and Brewery	4.0	3.7	185	
14	6501 E Greenway Pkwy, Ste 131	TkXbFJtFCdM_WTLkHa6Erw	159.0	Its your say finally!	Panda Express	2.0	2.5	18	
15	7055 E Camelback Rd	4q6Kob6zvMoLq2pO-DtAPg	46.0	At your own risk	Cafe Nordstrom	3.0	3.0	4	
16	6910 E Main St	oxv2UyI5yF6yawPU20tOxA	655.0	Must Visit!	Old Town Tortilla Factory	3.0	2.9	381	
17	8700 E Pinnacle Peak Rd, Ste 115	Kq2fw7SAKOLOmiJyVCbeFA	163.0	Must Visit!	Preston's Steakhouse	4.0	4.0	144	
18	34522 N Scottsdale Rd	OMf69ePEdHXvaqAlCCI01A	63.0	At your own risk	Cibo E Vino	3.0	2.6	90	
19	8340 E McDonald Dr	oPZBmtQnESS5VAGl31knTw	1.0	Worth Visiting	Brooklyn Cafe	4.0	4.5	6	
20	2200 N Scottsdale Rd	TqBrg3OpIJZo772EOA0I1g	417.0	Worth Visiting	Lao Thai	4.0	3.9	66	
21	Hilton Village, 6137 N Scottsdale Rd	ls9OapWdKvheW60_qq54Vw	228.0	Worth Visiting	Blue Wasabi Sushi and Martini Bar	4.0	3.7	65	
22	4014 Goldwater Blvd	MFEFshl-YZ1lsbtOd8xA-Q	109.0	Worth Visiting	Kaleidoscope Juice	5.0	4.7	44	
23	4005 N Scottsdale Rd	8nP8ghEpT6WFcM6tfqAaGA	1792.0	Jewel of a place!	Sugar Bowl	4.0	3.5	513	
24	7025 E 1st Ave	j2X3hMTiwLhhAMlDUyasXQ	15.0	Worth Visiting	Arcadia Farms Marketplace	4.0	4.1	7	
25	20707 N Pima Rd, Ste 140-145, DC Ranch	LpHi2ooFxVn5Ntttw_IcaQ	802.0	Must Visit!	The Herb Box	4.0	4.0	303	
26	7001 N Scottsdale Rd	4gwh0q7JsdzHIm_pdYUlZg	212.0	Must Visit!	ShinBay	5.0	4.6	158	
27	3915 N Scottsdale Rd	yA6dKNm_zl1ucZCnwW8ZCg	559.0	Must Visit!	Italian Grotto	3.0	2.7	460	
28	8989 N Scottsdale Rd, Ste 608	DpCdZ3EfAoGgJzcvaR0quQ	38.0	Worth Visiting	6 Degrees Urban Kitchen	4.0	4.1	56	
29	7366 E Shea Blvd, Ste 102	IkLAUX7lZIWqE9_YC66SRw	782.0	Must Visit!	il Capo Pizzeria	4.0	4.2	214	
30	7216 E Shoeman Ln	B56AYe5GNuavMDtwFsXqzA	793.0	Must Visit!	Petite Maison	4.0	4.1	286	
31	32619 N Scottsdale Rd, Ste 110	4P0X_Mfb0HEmvXR47w_xWg	4.0	Worth Visiting	Adaptive Force Performing Arts	5.0	4.7	13	
32	20567 N Hayden Rd, Ste 100	R1oI13c1oNxE91wkjYDeow	604.0	Must Visit!	Pure Sushi	4.0	3.8	270	
33	8623 E Thompson Peak Pkwy	dSnQTUJC0tCHadU1AGzvrw	512.0	Worth Visiting	Isabella's Kitchen	3.0	3.3	217	
34	8620 E Thompson Peak Pkwy	7SBa8bkHyHV3ZqSxTOYiew	77.0	Worth Visiting	Quill Creek Cafe	4.0	3.6	22	
35	7353 E Indian School Rd	ZLuWpmvO41w2bSwufgfUlQ	8.0	At your own risk	Cielo Restaurant	4.0	3.5	18	
36	16403 N Scottsdale Rd	65iIzq80WQ1nMqj_rLWNYQ	11.0	Its your say finally!	Benihanna of Tokyo	3.0	2.7	11	
37	23417 N Pima Rd	gc78dwGe4EP6resjJHJEbA	89.0	Worth Visiting	Nick's	4.0	3.7	59	
38	20511 N Hayden Rd	Wj_48yqBXHLgkmMh8QYhaA	117.0	Worth Visiting	Jaspers Peak Bistro Bar & Grille	4.0	3.7	52	
39	8787 N Scottsdale Rd, Ste 228	m9aFZk1f8tSv248YErbpQA	547.0	Must Visit!	Chez Vous	4.0	4.1	262	
40	10629 N Scottsdale Rd, Ste 105	ZmLYXTXXrrIA9qMx8rVsTA	167.0	Worth Visiting	Yogis Grill Teriyaki & Roll	3.0	3.3	55	
41	7369 N Via Paseo Del Sur	nJPEadWQ0ijyPhACS1PyVQ	61.0	At your own risk	McDonald's	4.0	3.8	4	
42	Promenade Shopping Center, 7325 E Frank Lloyd Wright Blvd, Ste 104	_zchrm88jpFZGXPyIaLFzg	95.0	Worth Visiting	Inca's Peruvian Cuisine	4.0	3.8	41	
43	6316 N Scottsdale Rd	PswFC6CVWsKKTeh5knTnwA	231.0	Worth Visiting	Davanti Enoteca	4.0	3.9	75	
44	6316 N Scottsdale Rd	F73T-N5lRNL2Gcpg0Q4KKw	151.0	Must Visit!	Fat Ox	4.0	3.9	160	
45	11291 E Via Linda, Ste 128	idotH1un0AYxoEWTQP_bRg	21.0	Its your say finally!	Pizza Hut	2.0	2.4	11	
46	16459 N Scottsdale Rd	RpACxIC538ZRDjkviyNgZQ	5.0	Its your say finally!	Fatburger	3.0	2.6	7	
47	10989 E Dynamite Blvd, Ste 102	PmkXtqIcjQGpNShB8yTSrA	75.0	Its your say finally!	Rosati's Pizza	2.0	2.2	62	
48	Scottsdale Promenade Center, 16447 N Scottsdale Rd, Ste 119	2V5ZcFDQzv1MN-31eMVhZQ	287.0	Worth Visiting	Hot Dog Stop	4.0	3.7	75	
49	9015 E Via Linda	I9Dwxq-6jzYbmEpc8BYQaQ	15.0	Its your say finally!	Seattle's Best Fish and Chips	3.0	2.7	10	
50	6900 E Camelback Rd	PJVVjbmwNbxqfvFi3f3hVA	58.0	At your own risk	NM Cafe	4.0	3.6	18	
51	7500 E Doubletree Ranch Rd	K_ngcfNoxGFIG1bnqQdMWw	59.0	Worth Visiting	Noh	4.0	4.0	20	
52	14880 N Northsight Blvd, Ste 103	yTpTTSw_h2I4WgzRkWJs1w	4.0	Its your say finally!	Kabob Inn	3.0	2.8	4	
53	15147 N Scottsdale Rd, Ste 102	6pQ1DpZo6zygNc3qTch-iA	2005.0	Must Visit!	Press Coffee	4.0	4.2	303	
54	8763 E Bell Rd	TiYTxiykhJdPZvNnXgLcJQ	4.0	Its your say finally!	Oggi's Pizza & Brewing Company	3.0	2.6	7	
55	8876 E Pinnacle Peak Rd, Ste 100	sGZg_8t5I5WopNwsW7riAQ	19.0	At your own risk	Wild Ocean Seafood Market & Grille	3.0	2.9	27	
56	17025 N Scottsdale Rd, Ste 190	oMtdUzMdo5W5qrldiOGROg	1424.0	Must Visit!	Sushi Brokers	4.0	3.5	420	
57	16495 N Scottsdale Rd, Ste 105	e5S5E2iGFs0fU1XMPmhWBw	200.0	Must Visit!	The Chicken Scoop	4.0	4.2	143	
58	7605 E Indian Bend Rd	Uhbs7zrcrNtfljFs0jJjGw	2.0	Worth Visiting	Silverado Grill	4.0	4.0	3	
59	1617 N Granite Reef Rd	FkR-QfbmFeHVxU3A6Oehaw	8.0	Worth Visiting	Big D's	4.0	4.4	5	
60	20553 N Hayden Rd	Ch0Y0E-QHxFOgcU-GDeNzg	48.0	Its your say finally!	Subway	2.0	2.0	6	
61	17007 N Scottsdale Rd	b3zsV44_SBz5JLwyfiHsRA	437.0	Worth Visiting	Carrabba's Italian Grill	4.0	3.6	121	
62	8777 N Scottsdale Rd	Yl05MqCs9xRzrJFkGWLpgA	1792.0	Jewel of a place!	Hash Kitchen	4.0	4.2	801	
63	15255 N 64th St	8Qmu5M-RIB-5z1MjC8pshg	11.0	Its your say finally!	El Pollo Loco	3.0	2.6	11	
64	7500 E Doubletree Ranch Rd	XqSN1PtZkJ6QorOUa9AAdA	184.0	Worth Visiting	Alto Ristorante e Bar	4.0	3.8	123	
65	13910 N Frank Lloyd Wright Blvd	QDvUdj36I_oAzXoFzCQnNA	408.0	Worth Visiting	Nick's	4.0	3.7	131	
66	7240 E Main St	ahGtKEHYxY3igWrTHh7FVQ	88.0	Must Visit!	Top Marks Cafe	5.0	4.9	83	
67	2765 N Scottsdale Rd, Ste 105	MhnihE0alud0ereVInSt8Q	176.0	Worth Visiting	Yummy Yummy Chinese Restaurant	3.0	3.0	154	
68	7111 E Thomas Rd	iN3SrF5NO0xSf6umeUws-Q	327.0	Worth Visiting	Filiberto's	3.0	3.3	61	
