x,y,value
Monday,1AM,3.1610140317890965
Monday,2AM,0.9075695440623942
Monday,3AM,0.1296454803177811
Monday,4AM,
Monday,5AM,
Monday,6AM,
Monday,7AM,
Monday,8AM,
Monday,9AM,
Monday,10AM,0.5709024568447734
Monday,11AM,0.8689875977541086
Monday,12PM,0.90
Monday,1PM,0.99
Monday,2PM,1.20
Monday,3PM,1.50
Monday,4PM,3.026783469350332
Monday,5PM,4.5472217416389179
Monday,6PM,5
Monday,7PM,6.026783469350332
Monday,8PM,7.5472217416389179
Monday,9PM,6.5
Monday,10PM,3.9472375734686518
Monday,11PM,3.9472375734686518
Monday,12AM,2.3129545439964723
Tuesday,1AM,3.1610140317890965
Tuesday,2AM,0.9075695440623942
Tuesday,3AM,1.1296454803177811
Tuesday,4AM,
Tuesday,5AM,2.6193568568512493
Tuesday,6AM,0.08748279136251946
Tuesday,7AM,2.943858242639327
Tuesday,8AM,1.3356914547843943
Tuesday,9AM,0.31390905400247027
Tuesday,10AM,0.5709024568447734
Tuesday,11AM,0.8689875977541086
Tuesday,12PM,
Tuesday,1PM,
Tuesday,2PM,
Tuesday,3PM,
Tuesday,4PM,6.026783469350332
Tuesday,5PM,0.5472217416389179
Tuesday,6PM,
Tuesday,7PM,6.026783469350332
Tuesday,8PM,5.5472217416389179
Tuesday,9PM,
Tuesday,10PM,1.9472375734686518
Tuesday,11PM,1.9472375734686518
Tuesday,12AM,2.3129545439964723
Wednesday,1AM,3.1610140317890965
Wednesday,2AM,0.9075695440623942
Wednesday,3AM,1.1296454803177811
Wednesday,4AM,
Wednesday,5AM,2.6193568568512493
Wednesday,6AM,0.08748279136251946
Wednesday,7AM,2.943858242639327
Wednesday,8AM,1.3356914547843943
Wednesday,9AM,0.31390905400247027
Wednesday,10AM,0.5709024568447734
Wednesday,11AM,0.8689875977541086
Wednesday,12PM,
Wednesday,1PM,
Wednesday,2PM,
Wednesday,3PM,
Wednesday,4PM,6.026783469350332
Wednesday,5PM,0.5472217416389179
Wednesday,6PM,
Wednesday,7PM,6.026783469350332
Wednesday,8PM,5.5472217416389179
Wednesday,9PM,
Wednesday,10PM,1.9472375734686518
Wednesday,11PM,1.9472375734686518
Wednesday,12AM,2.3129545439964723
Thursday,1AM,3.1610140317890965
Thursday,2AM,0.9075695440623942
Thursday,3AM,1.1296454803177811
Thursday,4AM,
Thursday,5AM,2.6193568568512493
Thursday,6AM,0.08748279136251946
Thursday,7AM,2.943858242639327
Thursday,8AM,1.3356914547843943
Thursday,9AM,0.31390905400247027
Thursday,10AM,0.5709024568447734
Thursday,11AM,0.8689875977541086
Thursday,12PM,
Thursday,1PM,
Thursday,2PM,
Thursday,3PM,
Thursday,4PM,6.026783469350332
Thursday,5PM,0.5472217416389179
Thursday,6PM,
Thursday,7PM,6.026783469350332
Thursday,8PM,5.5472217416389179
Thursday,9PM,
Thursday,10PM,1.9472375734686518
Thursday,11PM,1.9472375734686518
Thursday,12AM,2.3129545439964723
Friday,1AM,3.1610140317890965
Friday,2AM,0.9075695440623942
Friday,3AM,1.1296454803177811
Friday,4AM,
Friday,5AM,2.6193568568512493
Friday,6AM,0.08748279136251946
Friday,7AM,2.943858242639327
Friday,8AM,1.3356914547843943
Friday,9AM,0.31390905400247027
Friday,10AM,0.5709024568447734
Friday,11AM,0.8689875977541086
Friday,12PM,
Friday,1PM,
Friday,2PM,
Friday,3PM,
Friday,4PM,6.026783469350332
Friday,5PM,0.5472217416389179
Friday,6PM,
Friday,7PM,6.026783469350332
Friday,8PM,5.5472217416389179
Friday,9PM,
Friday,10PM,1.9472375734686518
Friday,11PM,1.9472375734686518
Friday,12AM,2.3129545439964723
Saturday,1AM,3.1610140317890965
Saturday,2AM,0.9075695440623942
Saturday,3AM,1.1296454803177811
Saturday,4AM,
Saturday,5AM,2.6193568568512493
Saturday,6AM,0.08748279136251946
Saturday,7AM,2.943858242639327
Saturday,8AM,1.3356914547843943
Saturday,9AM,0.31390905400247027
Saturday,10AM,0.5709024568447734
Saturday,11AM,0.8689875977541086
Saturday,12PM,
Saturday,1PM,
Saturday,2PM,
Saturday,3PM,
Saturday,4PM,6.026783469350332
Saturday,5PM,0.5472217416389179
Saturday,6PM,
Saturday,7PM,6.026783469350332
Saturday,8PM,5.5472217416389179
Saturday,9PM,
Saturday,10PM,1.9472375734686518
Saturday,11PM,1.9472375734686518
Saturday,12AM,2.3129545439964723
Sunday,1AM,3.1610140317890965
Sunday,2AM,0.9075695440623942
Sunday,3AM,1.1296454803177811
Sunday,4AM,
Sunday,5AM,2.6193568568512493
Sunday,6AM,0.08748279136251946
Sunday,7AM,2.943858242639327
Sunday,8AM,1.3356914547843943
Sunday,9AM,0.31390905400247027
Sunday,10AM,0.5709024568447734
Sunday,11AM,0.8689875977541086
Sunday,12PM,
Sunday,1PM,
Sunday,2PM,
Sunday,3PM,
Sunday,4PM,6.026783469350332
Sunday,5PM,0.5472217416389179
Sunday,6PM,
Sunday,7PM,6.026783469350332
Sunday,8PM,5.5472217416389179
Sunday,9PM,
Sunday,10PM,1.9472375734686518
Sunday,11PM,1.9472375734686518
Sunday,12AM,2.3129545439964723
