	address	RestaurantID	Checkins	Recommended	Name	range	Rating	Reviews
0	1825 E Baseline Rd.	M9fOuiesoUSaouOqNQ3U2w	277.0	Worth Visiting	Wong's Place	4.0	3.9	149
1	2145 E University Dr	IqsQRoiVE535Z2JR-7xoWQ	41.0	Its your say finally!	Jack in the Box	2.0	2.1	12
2	149 S Farmer	aiX_WP7NKPTdF9CfI-M-wg	2393.0	Jewel of a place!	Culinary Dropout	4.0	4.0	984
3	2602 W Southern Ave	ObV7olsEsNYjuMGNJ75jNw	39.0	At your own risk	Vaqueros Carne Asada	4.0	3.7	17
4	130 E University Dr, Ste C	VtQxGoCzAFSzCb1JSFV2bQ	37.0	At your own risk	Subway	4.0	3.6	5
5	1342 W Warner Rd	etylBefPKEMjm9nS9c1qiw	87.0	Its your say finally!	Port of Subs	3.0	2.7	36
6	2700 S Mill Ave	TAoN9nsibXOxsOnnG7Kd_g	233.0	Worth Visiting	Riazzi's Italian Garden	4.0	3.6	141
7	6402 S Rural Rd	px5RbIZm3rxRzi-g2f83KQ	82.0	Its your say finally!	Burger King	2.0	1.8	24
8	111 W University Dr	2rLuOMi6Q6zzqUU8ltreSA	236.0	Must Visit!	First Watch - Breakfast, Brunch & Lunch	5.0	4.5	140
9	521 S College Ave, Ste 110	ySRaNkXgv0jmuT4HhmgSog	16.0	At your own risk	WisePies Pizza & Salad	4.0	3.9	14
10	4715 S Rural Rd	H-gllDEH0DHqE-HmzdHtKg	16.0	Its your say finally!	Jersey Mike's Subs	3.0	2.5	22
11	655 W Warner Rd	9hPqmpOpH-POC0D0nlix3A	84.0	At your own risk	Silver Mine Subs	4.0	3.7	14
12	33 W Baseline Rd	ef28eNdWA3g7OMsnf_fbSA	13.0	Worth Visiting	Water Ice Cream & More	5.0	5.0	5
13	690 S Mill Ave	qMJyOW1FdPOf8sli8DIq_A	329.0	Worth Visiting	Délice Bistro	4.0	3.5	174
14	6428 S Mcclintock Rd, Ste 104	AtSEe-B2mFmLFHBf4PLTrw	1331.0	Must Visit!	Wildflower Bread Company	4.0	3.9	234
15	15 E 6th St	L2iT7pipc455Tgpbo35_mw	953.0	At your own risk	CASA Sunbá	3.0	2.8	220
16	1335 W University Dr, Ste 6	EuPaczO6rMpDMrn-GtE_eA	301.0	Worth Visiting	Tokyo Stop	4.0	3.8	81
17	2535 E University Dr	fQclKmk5G2_g98cDNPvj0g	109.0	Worth Visiting	El Tlacoyo	4.0	4.2	49
18	2700 W Baseline Rd	HvsTnw0GhhQaBuB45FJJag	62.0	At your own risk	Subway	4.0	3.7	14
19	1831 E Baseline Rd	UK2sK9SkdBdK1uxv8TcWGg	21.0	At your own risk	Chuy's Mesquite Broiler	3.0	3.0	13
20	920 E University Dr, Ste 103	MqJCtE12yfzQZCg8KGzNTw	13.0	At your own risk	Nick's NY Pizzeria	3.0	3.3	27
21	5350 S Lakeshore Dr	Gw-ozqLSHoP3BQPKaiXJGg	483.0	Must Visit!	The Watershed	3.0	3.1	380
22	1035 E Lemon St	p6FPcgLymnpk_gAyQuW_Mw	81.0	Worth Visiting	El Paisano Market and Laila Check Cashing	5.0	4.6	70
23	2000 E Rio Salado Pkwy, Ste 1215	PK_yJS579FjaNiCkGGa6iA	284.0	Worth Visiting	MAD Greens - Tempe	4.0	3.7	99
24	2020 E Elliot Rd, Suite 101	-Gy0BAMgRN4sGlY7theqxQ	304.0	Worth Visiting	MOD Pizza	4.0	4.2	90
25	5000 S Arizona Mills Cir	kWNdx7NBa5Kx2NDKWYzUWA	21.0	Its your say finally!	South Philly Steak & Fries	1.0	1.5	32
26	3401 S McClintock Dr	Cwv0Mv70w8fNMd-ApwSnUQ	26.0	At your own risk	Mandalay Noodle World Restaurant	3.0	3.0	14
27	601 W Rio Salado Pkwy	Dz5NDfPpXcID1qJbEfre4g	141.0	Worth Visiting	Press Coffee	4.0	4.5	50
28	555 North Scottsdale Rd, Ste 103	tamr4J75GguGhF1hm1wEaA	496.0	At your own risk	Jersey Mike's Subs	3.0	3.4	85
29	515 W Warner Rd	xJxfGReFZqZ1DDppESxMVA	63.0	Its your say finally!	Wendy's	2.0	1.6	11
30	502 S College Ave	pTCyou_1EKkm1MUeejFLag	99.0	Worth Visiting	Royal Coffee Bar and Roasting	4.0	4.5	47
31	933 E University Dr, Ste 115	dmLMOm9mXO-Hd41UxihOqQ	144.0	At your own risk	Tsom Vegetarian Flavors	4.0	3.6	54
32	525 S Mill Ave	JwyH48vqADWY6HieOMDxgQ	711.0	Must Visit!	My Big Fat Greek Restaurant	4.0	3.6	267
33	2323 W 14th St	qYGJCgG24rQlNwWkFFZ3og	116.0	At your own risk	Cafe @ Rio	4.0	4.1	9
34	9954 S Rural Rd	g5Y4swQmgMPjeIyBNEo1xA	18.0	At your own risk	Arby's	3.0	3.2	9
35	655 W Warner Rd, Ste 114	5lZpyuWjC7L9uJfLfqIQ_w	168.0	Worth Visiting	Hachi Ramen	4.0	4.1	129
36	115 E Baseline Rd, Ste 5	tduDcM1hWHPeyQ9SRPTQmQ	270.0	Worth Visiting	Tom's BBQ	3.0	3.5	170
37	690 South Mill Ave	ycd3DfIYG-oAiyHXPPZjBA	106.0	At your own risk	Pita Pit	3.0	2.9	55
38	909 E Elliot Rd	V6WEgXWlYmOnH0a1FrH43A	8.0	At your own risk	John Henry's	3.0	3.2	14
39	222 S Mill Ave, Ste 125	FFy_b5ylhCYUrAjbJSEvOw	388.0	At your own risk	Which Wich	4.0	3.6	48
40	1831 E Baseline Rd	lpD3xIYuVaQA8xRSlKwn-Q	270.0	At your own risk	La Fonda Mexican Restaurant & Cantina	3.0	3.0	128
41	403 W University Dr	QYIhMNwxXejDoCr-F1BxDg	1064.0	Must Visit!	Thai Basil	4.0	4.1	362
42	922 E Apache Blvd, Ste 106	1zgcF2M_rXYdK03BTewM4g	9.0	Its your say finally!	NY Bagels	3.0	2.6	9
43	615 S College Ave	qgAZPDQStZP_Y5XTiQ6UqA	1964.0	Jewel of a place!	Postino Annex	4.0	4.3	513
44	1219 W Baseline Rd	zS3-CKZVVvUYvasJnAg-aA	333.0	Worth Visiting	Poliberto's Taco Shop	4.0	4.0	168
45	1734 E Southern Ave	yeTKcKUlTq-W7EJ5hPkqbw	653.0	Worth Visiting	Outback Steakhouse	3.0	3.5	131
46	2210 N Scottsdale Rd	SzHP4_x-ECuBDVK6npb-Ow	137.0	At your own risk	Lo Cascio's Italian Restaurant	3.0	3.4	64
47	2000 E Rio Salado Pkwy, Ste 1064	Dk3H2CPh_yb6CaN11XEFMA	241.0	Worth Visiting	Sydney's Cafe & Market	4.0	4.1	114
48	933 E University Dr	Yoc9_4sv6AT1AIohPPiGbA	76.0	At your own risk	Chennai Express	4.0	3.6	38
49	2000 E Rio Salado Pkwy, Ste 1213	x60RbvQEFlvImnqzuBVk3Q	224.0	Worth Visiting	Nekter Juice Bar	4.0	4.2	61
50	1730 E Warner Rd	ZrucPqD_AGAZM53BwtsdTw	25.0	At your own risk	Rosatis Pizza	3.0	3.4	53
51	105 W University Dr	_uMRu3765QYo0Qg1z1LKqw	215.0	Worth Visiting	Blaze Fast-Fire'd Pizza	4.0	4.4	113
52	1804 E Southern Ave, Ste 1	rhKzcgMm8CDhu7RZz_XxqQ	410.0	Must Visit!	Sahara Middle Eastern Restaurant	4.0	4.2	173
